Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
AERO,201,500,8,17,14,2,0,41,2.756,0,0,0,2,0,43,SHRYOCK K,ENGINEERING,SPRING,2024
AERO,211,500,12,9,12,0,1,34,2.911,0,0,0,1,0,35,SANJUAN MUNOZ J,ENGINEERING,SPRING,2024
AERO,212,500,3,13,16,3,2,37,2.324,0,0,0,1,0,38,GROOT K,ENGINEERING,SPRING,2024
AERO,214,200,6,3,0,0,0,9,3.666,0,0,0,0,0,9,NARAGHI M,ENGINEERING,SPRING,2024
AERO,214,501,9,8,1,0,0,18,3.444,1,0,0,0,0,19,NARAGHI M,ENGINEERING,SPRING,2024
AERO,214,502,7,11,1,0,0,19,3.315,0,0,0,0,0,19,NARAGHI M,ENGINEERING,SPRING,2024
AERO,214,503,7,10,1,1,0,19,3.210,0,0,0,0,0,19,NARAGHI M,ENGINEERING,SPRING,2024
AERO,214,504,8,8,2,0,0,18,3.333,0,0,0,0,0,18,NARAGHI M,ENGINEERING,SPRING,2024
AERO,214,505,2,9,7,1,0,19,2.631,0,0,0,0,0,19,LAGOUDAS D,ENGINEERING,SPRING,2024
AERO,214,506,6,8,1,5,0,20,2.750,0,0,0,0,0,20,LAGOUDAS D,ENGINEERING,SPRING,2024
AERO,214,507,2,12,4,2,1,21,2.571,0,0,0,0,0,21,LAGOUDAS D,ENGINEERING,SPRING,2024
AERO,214,508,5,9,5,1,0,20,2.900,0,0,0,0,0,20,LAGOUDAS D,ENGINEERING,SPRING,2024
AERO,214,509,1,4,0,0,0,5,3.200,0,0,0,1,0,6,NARAGHI M,ENGINEERING,SPRING,2024
AERO,222,500,8,9,4,3,0,24,2.916,0,0,0,3,0,27,WHITCOMB J,ENGINEERING,SPRING,2024
AERO,222,501,10,12,4,1,0,27,3.148,0,0,0,1,0,28,WHITCOMB J,ENGINEERING,SPRING,2024
AERO,222,502,10,11,2,1,0,24,3.250,0,0,0,2,0,26,WHITCOMB J,ENGINEERING,SPRING,2024
AERO,222,503,27,4,0,0,0,31,3.870,0,0,0,0,0,31,MORTARI D,ENGINEERING,SPRING,2024
AERO,222,504,22,6,1,0,1,30,3.600,0,0,0,1,0,31,MORTARI D,ENGINEERING,SPRING,2024
AERO,222,505,30,1,0,0,0,31,3.967,0,0,0,0,0,31,MORTARI D,ENGINEERING,SPRING,2024
AERO,301,200,12,5,0,0,0,17,3.705,0,0,0,0,0,17,TROPINA A,ENGINEERING,SPRING,2024
AERO,301,500,37,27,6,0,0,70,3.442,0,0,0,1,0,71,TROPINA A,ENGINEERING,SPRING,2024
AERO,301,502,26,37,16,2,3,84,2.964,0,0,0,4,0,88,WHITE E,ENGINEERING,SPRING,2024
AERO,303,500,2,0,14,5,3,24,1.708,0,0,0,1,0,25,GROOT K,ENGINEERING,SPRING,2024
AERO,303,501,0,7,17,5,5,34,1.764,1,0,0,3,0,38,GROOT K,ENGINEERING,SPRING,2024
AERO,304,500,11,46,9,1,1,68,2.955,0,0,0,1,0,69,LE GRAVEREND J,ENGINEERING,SPRING,2024
AERO,306,500,81,0,2,0,0,83,3.951,0,0,0,2,0,85,STROUBOULIS T,ENGINEERING,SPRING,2024
AERO,306,501,15,23,9,3,0,50,3.000,0,0,0,6,0,56,WHITCOMB J,ENGINEERING,SPRING,2024
AERO,307,900,18,1,1,0,0,20,3.850,0,0,0,0,0,20,SANJUAN MUNOZ J,ENGINEERING,SPRING,2024
AERO,307,901,14,7,0,0,0,21,3.666,0,0,0,0,0,21,SANJUAN MUNOZ J,ENGINEERING,SPRING,2024
AERO,307,902,12,7,1,1,0,21,3.428,0,0,0,0,0,21,SANJUAN MUNOZ J,ENGINEERING,SPRING,2024
AERO,307,903,3,9,1,1,0,14,3.000,0,0,0,2,0,16,SANJUAN MUNOZ J,ENGINEERING,SPRING,2024
AERO,307,904,6,10,2,0,0,18,3.222,0,0,0,0,0,18,SANJUAN MUNOZ J,ENGINEERING,SPRING,2024
AERO,307,905,10,7,2,1,0,20,3.300,0,0,0,0,0,20,SANJUAN MUNOZ J,ENGINEERING,SPRING,2024
AERO,307,906,5,12,1,0,0,18,3.222,0,0,0,0,0,18,SANJUAN MUNOZ J,ENGINEERING,SPRING,2024
AERO,310,502,12,19,9,3,1,44,2.863,1,0,0,2,0,47,CHAKRAVORTY S,ENGINEERING,SPRING,2024
AERO,321,200,3,5,1,0,0,9,3.222,0,0,0,0,0,9,VALASEK J,ENGINEERING,SPRING,2024
AERO,321,500,14,42,24,7,1,88,2.693,0,0,0,2,0,90,VALASEK J,ENGINEERING,SPRING,2024
AERO,321,501,11,33,33,4,4,85,2.505,0,0,0,5,0,90,VADALI S,ENGINEERING,SPRING,2024
AERO,351,500,25,36,23,5,1,90,2.877,0,0,0,0,0,90,KARPETIS A,ENGINEERING,SPRING,2024
AERO,351,501,26,52,17,5,0,100,2.990,0,0,0,0,0,100,JACKSON S,ENGINEERING,SPRING,2024
AERO,401,930,38,30,0,0,0,68,3.558,0,0,0,0,0,68,CONNOLLY J,ENGINEERING,SPRING,2024
AERO,402,500,4,1,0,0,0,5,3.800,0,0,0,0,0,5,HARTL D,ENGINEERING,SPRING,2024
