Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
AGCJ,105,501,18,24,1,0,0,43,3.395,0,0,0,0,0,43,CHIVVIS J,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,105,502,20,20,7,0,0,47,3.276,0,0,0,0,0,47,CHIVVIS J,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,281,500,45,10,1,2,0,58,3.689,0,0,0,0,0,58,LEGGETTE H,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,306,700,22,6,1,0,0,29,3.724,0,0,0,0,0,29,PEDIGO M,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,307,599,14,3,2,0,0,19,3.631,0,0,0,1,0,20,PEDIGO M,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,307,700,9,1,0,0,0,10,3.900,0,0,0,0,0,10,PEDIGO M,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,308,501,24,0,0,0,0,24,4.000,0,0,0,0,0,24,REDWINE T,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,312,500,26,9,2,1,1,39,3.487,0,0,0,0,0,39,SAUNDERS C,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,313,901,13,7,3,0,0,23,3.434,1,0,0,0,0,24,MCGRATH P,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,313,902,13,5,3,0,0,21,3.476,0,0,0,1,0,22,MCGRATH P,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,314,901,15,7,1,0,0,23,3.608,0,0,0,0,0,23,FANNIN B,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,314,902,4,1,2,0,1,8,2.875,0,0,0,0,0,8,FANNIN B,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,405,501,9,1,1,0,1,12,3.416,0,0,0,0,0,12,SAUNDERS C,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,406,500,6,6,0,0,0,12,3.500,0,0,0,1,0,13,WALD D,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,408,700,6,18,1,0,0,25,3.200,0,0,0,0,0,25,WEGENER R,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,410,500,7,3,1,0,0,11,3.545,0,0,0,0,0,11,WALD D,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,413,500,10,4,0,0,0,14,3.714,0,0,0,0,0,14,SAUNDERS C,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGCJ,481,500,5,3,0,1,0,9,3.333,0,0,0,0,0,9,LEGGETTE H,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGSC,302,900,14,3,2,0,0,19,3.631,1,0,0,1,0,21,BRIERS G,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGSC,363,500,17,1,0,0,0,18,3.944,0,0,0,0,0,18,LUND R,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGSC,373,500,8,3,1,0,0,12,3.583,0,0,0,0,0,12,HANCOCK J,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGSC,383,501,6,5,1,0,0,12,3.416,0,0,0,0,0,12,HANCOCK J,AGRICULTURE & LIFE SCIENCES,FALL,2023
AGSC,402,900,22,11,5,0,0,38,3.447,0,0,0,0,0,38,MURPHY T,AGRICULTURE & LIFE SCIENCES,FALL,2023
ALEC,350,500,21,1,1,0,0,23,3.869,1,0,0,0,0,24,QUIJADA LANDAVERDE,AGRICULTURE & LIFE SCIENCES,FALL,2023
ALEC,370,500,26,29,8,1,0,64,3.250,0,0,0,0,0,64,ETTEKAL A,AGRICULTURE & LIFE SCIENCES,FALL,2023
ALEC,372,500,23,0,0,0,2,25,3.680,0,0,0,0,0,25,NELSON C,AGRICULTURE & LIFE SCIENCES,FALL,2023
ALEC,375,500,17,5,2,0,1,25,3.480,0,0,0,0,0,25,NELSON C,AGRICULTURE & LIFE SCIENCES,FALL,2023
ALEC,380,510,18,0,0,0,0,18,4.000,0,0,0,1,0,19,LUND R,AGRICULTURE & LIFE SCIENCES,FALL,2023
ALEC,425,700,29,6,2,1,0,38,3.657,0,0,0,1,0,39,BYCE C,AGRICULTURE & LIFE SCIENCES,FALL,2023
ALEC,472,900,15,3,2,0,2,22,3.318,0,0,0,1,0,23,WANG J,AGRICULTURE & LIFE SCIENCES,FALL,2023
