Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
AGCJ,105,500,9,11,2,1,0,23,3.217,0,0,0,0,0,23,WALD D,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,105,501,14,23,4,3,0,44,3.090,0,0,0,1,0,45,WALD D,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,281,500,36,3,0,0,0,39,3.923,1,0,0,0,0,40,REDWINE T,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,306,599,23,10,0,0,0,33,3.696,0,0,0,0,0,33,SHIPP D,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,307,599,18,11,5,1,0,35,3.314,0,0,0,0,0,35,PEDIGO M,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,312,501,25,14,10,1,1,51,3.196,1,0,0,5,0,57,DUNSFORD D,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,313,901,12,1,2,0,0,15,3.666,0,0,0,0,0,15,MCGRATH P,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,313,902,17,3,2,0,0,22,3.681,0,0,0,0,0,22,MCGRATH P,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,314,901,7,6,1,0,1,15,3.200,0,0,0,0,0,15,DUNSFORD D,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,314,902,6,8,1,0,0,15,3.333,0,0,0,0,0,15,DUNSFORD D,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,366,501,13,6,1,0,0,20,3.600,0,0,0,0,0,20,CHIVVIS J,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,405,501,19,0,0,0,0,19,4.000,0,0,0,0,0,19,ROUSE L,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,408,700,8,18,1,0,0,27,3.259,0,0,0,0,0,27,WEGENER R,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,411,500,11,10,1,0,0,22,3.454,0,0,0,0,0,22,HERBERT B,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,481,501,8,1,0,0,0,9,3.888,0,0,0,0,0,9,LEGGETTE H,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,489,501,6,0,0,1,0,7,3.571,0,0,0,0,0,7,LEGGETTE H,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGCJ,494,516,16,1,0,0,0,17,3.954,0,0,0,0,0,17,DUNSFORD D,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGSC,302,900,10,1,1,0,0,12,3.750,0,0,0,1,0,13,EDNEY K,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGSC,305,501,28,11,4,1,0,44,3.500,0,0,0,0,0,44,LUND R,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGSC,363,501,11,1,1,0,1,14,3.500,0,0,0,0,0,14,LUND R,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGSC,373,500,17,4,1,0,0,22,3.727,0,0,0,0,0,22,HANCOCK J,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGSC,383,501,21,1,0,0,0,22,3.954,0,0,0,0,0,22,HANCOCK J,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGSC,425,502,21,1,0,0,0,22,3.954,0,0,0,0,0,22,MURPHY T,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGSC,436,500,21,1,0,0,0,22,3.954,0,0,0,0,0,22,MURPHY T,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGSC,481,501,22,0,0,0,0,22,4.000,0,0,0,0,0,22,LUND R,AGRICULTURE & LIFE SCIENCES,SPRING,2023
AGSC,484,525,13,7,2,0,0,22,3.500,0,0,0,0,0,22,MURPHY T,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,350,501,22,5,1,1,1,30,3.533,0,0,0,0,0,30,BROGAN G,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,412,599,8,5,4,0,0,17,3.235,0,0,0,3,0,20,MURPHREY T,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,412,700,7,5,1,0,0,13,3.461,1,0,0,0,0,14,MURPHREY T,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,425,700,26,5,1,0,2,34,3.558,1,0,0,0,0,35,BYCE C,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,450,900,1,12,4,1,1,19,2.578,0,0,0,1,0,20,WINGENBACH G,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,609,601,11,2,0,0,0,13,3.846,0,0,0,0,0,13,ODOM S,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,610,699,12,1,0,1,0,14,3.714,0,0,0,0,0,14,LOCKE B,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,610,700,8,0,0,0,0,8,4.000,0,0,0,0,0,8,LOCKE B,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,612,699,8,1,0,0,0,9,3.888,0,0,0,0,0,9,MURPHREY T,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,612,700,4,1,0,0,0,5,3.800,0,0,0,0,0,5,MURPHREY T,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,615,600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,BRIERS G,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,622,601,10,0,0,0,0,10,4.000,0,0,0,0,0,10,XU Z,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,625,601,13,5,0,0,0,18,3.722,0,0,0,0,0,18,QUIJADA LANDAVERDE,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,631,600,15,0,0,0,0,15,4.000,0,0,0,0,0,15,CUMMINGS S,AGRICULTURE & LIFE SCIENCES,SPRING,2023
ALEC,640,699,10,2,1,0,0,13,3.692,0,0,0,0,0,13,STRONG R,AGRICULTURE & LIFE SCIENCES,SPRING,2023
