Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
AGCJ,306,700,19,9,4,0,0,32,3.468,0,0,0,1,0,33,OPAT K,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGCJ,307,700,11,15,1,1,4,32,2.875,0,0,0,2,0,34,OPAT K,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGCJ,312,700,1,11,7,0,0,19,2.684,0,0,0,0,0,19,SAUNDERS C,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGCJ,494,315,7,0,0,0,0,7,4.000,0,0,0,1,0,8,OPAT K,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGCJ,494,355,8,1,0,0,0,9,3.928,0,0,0,0,0,9,OPAT K,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGSC,380,201,13,0,0,0,0,13,4.000,0,0,0,0,0,13,LUND R,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALEC,370,701,31,8,0,0,0,39,3.794,0,0,0,0,0,39,NELSON C,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALEC,425,700,28,5,3,0,1,37,3.594,0,0,0,0,0,37,BENSON C,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALEC,494,151,9,0,0,0,0,9,4.000,0,0,0,0,1,10,MAZURKIEWICZ J,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALEC,606,700,24,5,0,1,0,30,3.733,0,0,0,1,0,31,MOORE L,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALEC,617,700,23,1,0,0,0,24,3.958,1,0,0,4,0,29,STRONG J,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALEC,625,700,18,3,0,0,0,21,3.857,0,0,0,0,0,21,RIPLEY J,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALEC,685,331,0,6,0,0,0,6,3.000,1,0,0,0,0,7,LEGGETTE H,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALED,202,700,49,6,5,0,0,60,3.733,0,0,0,0,0,60,NELSON C,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALED,301,100,7,4,1,1,0,13,3.307,0,0,0,1,0,14,HAINES C,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALED,301,700,15,18,4,0,2,39,3.128,0,0,0,1,0,40,ODOM S,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALED,340,700,17,26,7,2,1,53,3.056,0,0,0,0,0,53,HEWITT M,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALED,340,701,10,5,0,0,0,15,3.666,0,0,0,0,0,15,HEWITT M,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALED,344,700,32,3,3,0,1,39,3.666,0,0,0,0,0,39,LOCKETT L,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALED,422,700,31,7,1,0,0,39,3.769,0,0,0,1,0,40,ELBERT C,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALED,424,700,17,16,5,2,1,41,3.121,0,0,0,2,0,43,BOYD B,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALED,440,700,16,14,8,0,3,41,2.975,1,0,0,4,0,46,PRESTON T,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALED,481,700,30,15,10,1,0,56,3.321,0,0,0,0,0,56,STRONG J,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALED,494,301,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CUMMINGS S,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ALED,494,350,23,0,0,0,0,23,4.000,1,0,0,0,0,24,CUMMINGS S,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGEC,314,700,20,13,0,2,0,35,3.457,0,0,0,1,0,36,WEBER K,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGEC,317,200,1,27,23,2,0,53,2.509,0,0,0,1,0,54,CROWE R,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGEC,330,700,20,20,6,0,0,46,3.304,0,0,0,1,0,47,LEATHAM D,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGEC,422,700,18,10,3,0,0,31,3.483,0,0,0,4,0,35,BOADU F,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGEC,485,301,5,0,0,0,0,5,4.000,2,0,0,0,0,7,SPRINGFIELD H,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGEC,485,354,34,0,0,0,0,34,4.000,6,0,0,1,0,41,SPRINGFIELD H,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGEC,489,100,14,2,0,0,0,16,3.875,0,0,0,0,0,16,THOMAS-WINSTON C,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGLS,235,200,29,19,4,0,0,52,3.480,0,0,0,0,0,52,KILMER N,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGLS,235,700,53,11,3,0,0,67,3.746,0,0,0,0,0,67,ROACH D,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGLS,435,700,5,24,15,10,0,54,2.444,0,0,0,1,0,55,DORMAN T,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGLS,436,700,4,23,5,0,0,32,2.968,0,0,0,0,0,32,BUENGER S,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
AGLS,441,700,3,2,0,0,1,6,3.000,0,0,0,0,0,6,DORMAN T,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ANSC,107,399,70,4,0,0,0,74,3.945,0,0,0,0,0,74,POGGI BRANDAO A,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ANSC,108,200,6,0,0,0,0,6,4.000,0,0,0,0,0,6,SKAGGS C,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ANSC,211,300,8,0,0,0,0,8,4.000,0,0,0,0,0,8,LINNE P,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ANSC,305,301,2,3,4,0,0,9,2.777,1,0,0,0,0,10,RILEY D,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ANSC,307,201,4,12,4,1,1,22,2.772,0,0,0,0,0,22,SAVELL J,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
ANSC,318,301,1,7,3,0,0,11,2.818,1,0,0,0,1,13,CARSTENS G,AGRICULTURE & LIFE SCIENCES,SUMMER,2024
