Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ARCH,105,501,7,12,2,0,1,22,3.090,1,0,0,0,0,23,HE W,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,105,506,9,3,6,2,0,20,2.950,0,0,0,3,0,23,DE LIMA VAZ XAVIER,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,105,507,5,14,3,1,0,23,3.000,0,0,0,0,0,23,BORGES GONZALEZ A,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,105,508,12,5,3,1,1,22,3.181,0,0,0,0,0,22,CATAO CARTAXO,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,105,509,8,6,5,1,2,22,2.772,0,0,0,1,0,23,DE LIMA VAZ XAVIER,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,105,510,8,10,2,0,0,20,3.300,0,0,0,2,0,22,BORGES GONZALEZ A,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,105,511,10,9,4,0,0,23,3.260,0,0,0,0,0,23,BAASKE B,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,105,512,14,2,2,0,0,18,3.666,0,0,0,5,0,23,CATAO CARTAXO,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,115,501,6,10,5,0,1,22,2.909,1,0,0,0,0,23,DE LIMA VAZ XAVIER,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,115,506,8,3,6,1,0,18,3.000,0,0,0,3,0,21,AKHOZHEYA B,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,115,507,5,11,5,1,1,23,2.782,0,0,0,0,0,23,VAZQUEZ MOLINARY A,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,115,508,12,4,4,1,1,22,3.136,0,0,0,0,0,22,DE LIMA VAZ XAVIER,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,115,509,8,5,6,1,2,22,2.727,0,0,0,1,0,23,DE LIMA VAZ XAVIER,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,115,510,10,6,4,0,0,20,3.300,0,0,0,2,0,22,DE LIMA VAZ XAVIER,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,115,511,6,11,5,1,0,23,2.956,0,0,0,0,0,23,CHANG T,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,115,512,9,5,3,0,0,17,3.352,0,0,0,5,0,22,ZHAO X,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,205,900,12,5,1,0,0,18,3.611,0,0,0,0,0,18,AITANI K,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,205,901,9,5,0,1,0,15,3.466,0,0,0,1,0,16,BAASKE B,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,205,902,13,3,1,0,0,17,3.705,0,0,0,0,0,17,KEY S,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,205,903,6,5,2,0,0,13,3.307,0,0,0,3,0,16,WARDEN R,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,205,904,12,6,0,0,0,18,3.666,0,0,0,0,0,18,CAMPAGNOL G,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,205,905,4,6,0,0,0,10,3.400,0,0,0,0,0,10,INFANZON N,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,205,906,19,0,0,0,0,19,4.000,0,0,0,0,0,19,ENNEMOSER B,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,205,907,14,0,1,0,0,15,3.866,0,0,0,0,0,15,TATE J,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,212,500,39,42,18,2,0,101,3.168,0,0,0,0,0,101,ZHU X,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,212,501,42,41,5,1,0,89,3.393,0,0,0,0,0,89,ZHU X,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,212,700,14,10,5,0,0,29,3.310,0,0,0,0,0,29,LU Z,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,213,500,11,20,9,1,0,41,3.000,0,0,0,1,0,42,BELTRAN L,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,216,500,25,9,6,0,0,40,3.475,0,0,0,3,0,43,OLOWU B,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,221,500,4,2,1,0,0,7,3.428,0,0,0,0,0,7,KLEIN N,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,246,500,30,0,0,0,0,30,4.000,0,0,0,0,0,30,JAIN P,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,249,200,4,1,2,1,0,8,3.000,0,0,0,1,0,9,GLOWACKI K,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,249,501,15,20,9,2,0,46,3.043,0,0,0,1,0,47,GLOWACKI K,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,249,502,51,80,33,5,2,171,3.011,2,0,0,3,0,176,GLOWACKI K,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,249,700,251,48,3,0,0,302,3.821,0,0,0,11,0,313,CAFFEY S,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,250,200,8,2,0,0,0,10,3.800,0,0,0,0,0,10,KLEIN N,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,250,501,41,38,7,0,0,86,3.395,0,0,0,1,0,87,KLEIN N,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,250,502,60,45,18,1,1,125,3.296,1,0,0,2,0,128,KLEIN N,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,250,700,67,32,16,1,2,118,3.364,0,0,0,4,0,122,STEWART Z,ARCHITECTURE-SCHOOL,FALL,2023
ARCH,260,500,14,1,0,0,0,15,3.933,0,0,0,0,0,15,LOPEZ DINARDI M,ARCHITECTURE-SCHOOL,FALL,2023
