Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ARCH,206,500,14,2,0,0,0,16,3.875,0,0,0,0,0,16,YOO W,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,206,501,8,6,0,0,0,14,3.571,0,0,0,0,0,14,CLAYTON M,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,206,502,13,2,0,0,0,15,3.866,0,0,0,0,0,15,JAIN P,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,206,503,13,0,0,0,0,13,4.000,0,0,0,0,0,13,TATE J,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,206,504,11,1,0,0,0,12,3.916,0,0,0,0,0,12,KIM S,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,206,505,8,5,1,0,0,14,3.500,0,0,0,0,0,14,GELLES R,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,206,506,10,3,2,0,0,15,3.533,0,0,0,0,0,15,WARDEN R,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,212,500,14,16,7,3,1,41,2.951,0,0,0,0,0,41,ZHU X,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,212,700,32,15,2,0,1,50,3.540,0,0,0,0,0,50,LU Z,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,213,500,42,53,25,4,7,131,2.908,0,0,0,3,0,134,BELTRAN L,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,213,501,7,8,9,2,4,30,2.400,0,0,0,0,0,30,BELTRAN L,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,216,500,35,11,1,0,0,47,3.723,0,0,0,2,0,49,OLOWU B,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,249,503,48,60,29,5,3,145,3.000,0,0,0,5,0,150,GLOWACKI K,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,249,504,14,16,4,1,1,36,3.138,0,0,0,2,0,38,GLOWACKI K,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,249,700,182,96,27,6,15,326,3.300,1,0,0,4,0,331,CAFFEY S,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,250,501,64,34,15,8,2,123,3.219,1,0,0,6,0,130,KLEIN N,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,250,502,19,15,4,0,0,38,3.394,0,0,0,1,0,39,KLEIN N,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,250,700,69,22,7,0,0,98,3.632,0,0,0,2,0,100,CAMPAGNOL G,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,250,701,40,26,7,0,0,73,3.452,0,0,0,5,0,78,STEWART Z,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,305,931,4,4,1,0,1,10,3.000,0,0,0,0,0,10,AITANI K,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,305,932,13,1,0,0,0,14,3.928,0,0,0,0,0,14,CALVESBERT T,ARCHITECTURE-SCHOOL,SPRING,2023
ARCH,317,501,12,3,0,0,0,15,3.800,0,0,0,1,0,16,YOO W,ARCHITECTURE-SCHOOL,SPRING,2023
