Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ARCH,249,700,19,8,4,0,1,32,3.375,0,0,0,1,0,33,CAFFEY S,ARCHITECTURE-SCHOOL,SUMMER,2023
ARCH,250,700,25,10,2,2,0,39,3.487,0,0,0,0,0,39,CAMPAGNOL G,ARCHITECTURE-SCHOOL,SUMMER,2023
ARCH,335,101,0,5,0,0,0,5,3.000,0,0,0,0,0,5,HABERL J,ARCHITECTURE-SCHOOL,SUMMER,2023
ARCH,406,101,21,0,0,0,0,21,4.000,0,0,0,0,0,21,TATE J,ARCHITECTURE-SCHOOL,SUMMER,2023
ARCH,603,300,4,3,3,0,0,10,3.100,0,0,0,0,0,10,ERMINY M,ARCHITECTURE-SCHOOL,SUMMER,2023
ENDS,101,200,11,0,1,0,0,12,3.833,0,0,0,0,0,12,CAFFEY S,ARCHITECTURE-SCHOOL,SUMMER,2023
ENDS,101,700,69,9,0,2,0,80,3.812,0,0,0,2,0,82,BILLINGSLEY A,ARCHITECTURE-SCHOOL,SUMMER,2023
ENDS,105,100,12,1,2,3,0,18,3.222,0,0,0,0,0,18,DE LIMA VAZ XAVIER,ARCHITECTURE-SCHOOL,SUMMER,2023
ENDS,108,100,7,10,5,0,0,22,3.090,0,0,0,0,0,22,BORGES GONZALEZ A,ARCHITECTURE-SCHOOL,SUMMER,2023
ENDS,108,200,5,8,0,0,0,13,3.384,0,0,0,0,0,13,BORGES GONZALEZ A,ARCHITECTURE-SCHOOL,SUMMER,2023
ENDS,115,100,13,1,4,3,0,21,3.142,0,0,0,0,0,21,DE LIMA VAZ XAVIER,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,222,900,7,0,0,0,0,7,4.000,0,0,0,0,0,7,BOLDT G,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,275,100,4,3,0,0,0,7,3.571,0,0,0,0,0,7,PALMER R,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,301,101,12,14,4,0,0,30,3.266,0,0,0,0,0,30,HARTELL J,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,326,199,22,77,16,0,0,115,3.052,0,0,0,0,0,115,CARLSON K,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,375,200,4,30,15,0,0,49,2.775,0,0,0,0,0,49,BOLDT G,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,421,100,9,9,3,0,0,21,3.285,0,0,0,0,0,21,DUDLEY D,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,440,900,6,12,1,0,0,19,3.263,0,0,0,0,0,19,FLEMING D,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,440,901,17,5,1,0,0,23,3.695,0,0,0,0,0,23,COUSSONS D,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,461,101,18,2,0,0,0,20,3.900,0,0,0,1,0,21,SAKIB M,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,461,200,6,2,0,0,0,8,3.750,0,0,0,0,0,8,SAKIB M,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,464,100,20,11,2,0,0,33,3.545,2,0,0,0,0,35,MCGOWAN A,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,464,101,27,6,1,0,0,34,3.764,0,0,0,0,0,34,MCGOWAN A,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,465,200,12,6,2,0,0,20,3.500,0,0,0,0,0,20,COKINOS G,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,475,100,2,18,7,0,0,27,2.814,0,0,0,0,0,27,PALMER R,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,477,100,9,12,9,2,0,32,2.875,0,0,0,0,0,32,FICKEL L,ARCHITECTURE-SCHOOL,SUMMER,2023
COSC,489,100,7,0,0,0,0,7,4.000,0,0,0,0,0,7,BOLDT G,ARCHITECTURE-SCHOOL,SUMMER,2023
LAND,240,700,55,9,3,0,0,67,3.776,0,0,0,1,0,68,NEWMAN G,ARCHITECTURE-SCHOOL,SUMMER,2023
LAND,240,701,51,5,2,0,0,58,3.844,0,0,0,0,0,58,NEWMAN G,ARCHITECTURE-SCHOOL,SUMMER,2023
LAND,489,199,8,0,0,0,0,8,4.000,0,0,0,0,0,8,REID R,ARCHITECTURE-SCHOOL,SUMMER,2023
LAND,630,700,5,2,0,0,0,7,3.714,0,0,0,0,0,7,NEWMAN G,ARCHITECTURE-SCHOOL,SUMMER,2023
PLAN,612,700,7,0,0,0,0,7,4.000,0,0,0,0,0,7,WEI L,ARCHITECTURE-SCHOOL,SUMMER,2023
PLAN,625,700,4,1,0,0,1,6,3.166,0,0,0,1,0,7,WUNNEBURGER D,ARCHITECTURE-SCHOOL,SUMMER,2023
URPN,202,701,17,3,1,1,0,22,3.636,0,0,0,0,0,22,CAMPAGNOL G,ARCHITECTURE-SCHOOL,SUMMER,2023
URPN,202,998,15,5,0,1,0,21,3.619,0,0,0,0,0,21,DAVIS D,ARCHITECTURE-SCHOOL,SUMMER,2023
URPN,202,999,5,1,1,0,0,7,3.571,0,0,0,0,0,7,WEN C,ARCHITECTURE-SCHOOL,SUMMER,2023
URPN,203,700,21,2,0,0,0,23,3.913,0,0,0,0,1,24,WEI L,ARCHITECTURE-SCHOOL,SUMMER,2023
URPN,361,700,13,4,0,1,0,18,3.611,0,0,0,0,0,18,DIXIT M,ARCHITECTURE-SCHOOL,SUMMER,2023
URPN,369,700,20,1,0,0,1,22,3.772,0,0,0,0,0,22,WEI L,ARCHITECTURE-SCHOOL,SUMMER,2023
URPN,370,700,26,2,1,0,0,29,3.862,0,0,0,0,0,29,NEWTON K,ARCHITECTURE-SCHOOL,SUMMER,2023
URPN,370,701,15,5,0,0,0,20,3.750,0,0,0,0,0,20,NEWTON K,ARCHITECTURE-SCHOOL,SUMMER,2023
URPN,370,702,23,3,0,0,1,27,3.740,0,0,0,1,0,28,NEWTON K,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,311,150,18,0,0,0,0,18,4.000,0,0,0,0,0,18,KLEIN B,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,311,151,8,4,0,0,0,12,3.666,1,0,0,0,0,13,GIUSTI C,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,311,152,17,0,0,0,0,17,4.000,0,0,0,0,0,17,DAVIS D,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,311,153,10,6,0,0,0,16,3.625,0,0,0,0,0,16,GODDARD T,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,311,154,10,5,0,0,0,15,3.666,0,0,0,0,0,15,ROLDAN M,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,311,155,18,1,0,0,0,19,3.947,0,0,0,0,0,19,AITANI K,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,311,250,13,1,0,0,0,14,3.928,0,0,0,0,1,15,HUANG C,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,311,251,20,0,0,0,0,20,4.000,0,0,0,0,0,20,AITANI K,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,331,150,9,3,0,0,0,12,3.750,1,0,0,0,0,13,GIUSTI C,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,331,153,17,0,0,0,0,17,4.000,0,0,0,0,0,17,DAVIS D,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,331,154,10,6,0,0,0,16,3.625,0,0,0,0,0,16,GODDARD T,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,331,155,15,0,0,0,0,15,4.000,0,0,0,0,0,15,ROLDAN M,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,331,156,18,1,0,0,0,19,3.947,0,0,0,0,0,19,AITANI K,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,331,250,11,3,0,0,0,14,3.785,0,0,0,0,1,15,HUANG C,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,331,251,20,0,0,0,0,20,4.000,0,0,0,0,0,20,AITANI K,ARCHITECTURE-SCHOOL,SUMMER,2023
CARC,484,350,5,0,0,0,0,5,4.000,0,0,0,0,0,5,HOLLIDAY S,ARCHITECTURE-SCHOOL,SUMMER,2023
