Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ARCH,205,902,11,5,3,0,0,19,3.421,0,0,0,1,0,20,CATAO CARTAXO,ARCHITECTURE,FALL,2020
ARCH,205,903,19,0,0,0,0,19,4.000,0,0,0,0,0,19,ESQUIVEL J,ARCHITECTURE,FALL,2020
ARCH,205,904,4,12,2,0,0,18,3.111,0,0,0,0,0,18,HAWKINS A,ARCHITECTURE,FALL,2020
ARCH,205,905,13,3,3,0,0,19,3.526,0,0,0,0,0,19,DE LIMA VAZ XAVIER,ARCHITECTURE,FALL,2020
ARCH,205,906,8,9,2,0,0,19,3.315,1,0,0,0,0,20,LOUIE J,ARCHITECTURE,FALL,2020
ARCH,205,907,15,4,0,0,0,19,3.789,0,0,0,1,0,20,LUTZ S,ARCHITECTURE,FALL,2020
ARCH,212,500,79,58,10,0,0,147,3.469,0,0,0,0,0,147,ZHU X,ARCHITECTURE,FALL,2020
ARCH,212,700,30,8,8,0,1,47,3.404,0,0,0,0,0,47,LU Z,ARCHITECTURE,FALL,2020
ARCH,216,501,11,9,0,0,0,20,3.550,0,0,0,4,0,24,GAYK M,ARCHITECTURE,FALL,2020
ARCH,221,500,6,4,3,0,1,14,3.000,0,0,0,0,0,14,KLEIN N,ARCHITECTURE,FALL,2020
ARCH,246,500,10,3,0,0,0,13,3.769,0,0,0,0,0,13,JAIN P,ARCHITECTURE,FALL,2020
ARCH,249,200,4,0,1,0,0,5,3.600,0,0,0,1,0,6,GLOWACKI K,ARCHITECTURE,FALL,2020
ARCH,249,201,9,1,0,0,0,10,3.900,0,0,0,0,0,10,CAFFEY S,ARCHITECTURE,FALL,2020
ARCH,249,501,6,6,2,1,0,15,3.133,0,0,0,0,0,15,GLOWACKI K,ARCHITECTURE,FALL,2020
ARCH,249,502,76,56,14,1,4,151,3.317,0,0,0,0,0,151,GLOWACKI K,ARCHITECTURE,FALL,2020
ARCH,249,503,11,2,0,0,0,13,3.846,0,0,0,0,0,13,CAFFEY S,ARCHITECTURE,FALL,2020
ARCH,249,504,78,3,4,0,0,85,3.870,0,0,0,0,0,85,CAFFEY S,ARCHITECTURE,FALL,2020
ARCH,249,700,80,9,5,0,1,95,3.757,0,0,0,2,0,97,CAFFEY S,ARCHITECTURE,FALL,2020
ARCH,250,200,4,0,1,0,0,5,3.600,0,0,0,0,0,5,KLEIN N,ARCHITECTURE,FALL,2020
ARCH,250,201,6,0,1,0,1,8,3.250,0,0,0,0,0,8,STEWART Z,ARCHITECTURE,FALL,2020
ARCH,250,501,12,2,1,0,0,15,3.733,0,0,0,0,0,15,KLEIN N,ARCHITECTURE,FALL,2020
ARCH,250,502,69,20,7,2,0,98,3.591,0,0,0,0,0,98,KLEIN N,ARCHITECTURE,FALL,2020
ARCH,250,503,3,6,4,1,0,14,2.785,0,0,0,1,0,15,STEWART Z,ARCHITECTURE,FALL,2020
ARCH,250,504,35,27,9,3,4,78,3.102,0,0,0,3,0,81,STEWART Z,ARCHITECTURE,FALL,2020
ARCH,250,700,68,21,6,1,1,97,3.587,0,0,0,2,0,99,CAMPAGNOL G,ARCHITECTURE,FALL,2020
ARCH,250,701,63,22,11,1,1,98,3.479,0,0,0,1,0,99,CAMPAGNOL G,ARCHITECTURE,FALL,2020
ARCH,305,931,16,2,0,0,0,18,3.888,0,0,0,0,0,18,ALI A,ARCHITECTURE,FALL,2020
ARCH,305,932,14,4,0,0,0,18,3.777,0,0,0,0,0,18,CATAO CARTAXO,ARCHITECTURE,FALL,2020
ARCH,305,933,9,0,0,0,0,9,4.000,0,0,0,0,0,9,ERMINY M,ARCHITECTURE,FALL,2020
ARCH,305,934,14,1,0,0,0,15,3.933,0,0,0,0,1,16,MANN G,ARCHITECTURE,FALL,2020
ARCH,305,935,13,2,0,0,1,16,3.625,0,0,0,0,0,16,STEWART K,ARCHITECTURE,FALL,2020
ARCH,317,500,14,1,0,0,0,15,3.933,1,0,0,0,0,16,ESQUIVEL J,ARCHITECTURE,FALL,2020
ARCH,330,200,8,0,0,0,0,8,4.000,0,0,0,0,0,8,OBRIEN M,ARCHITECTURE,FALL,2020
ARCH,330,500,47,46,8,3,0,104,3.317,0,0,0,0,0,104,OBRIEN M,ARCHITECTURE,FALL,2020
ARCH,331,500,10,38,25,4,1,78,2.666,1,0,0,3,1,83,NICHOLS A,ARCHITECTURE,FALL,2020
ARCH,335,500,41,37,10,4,0,92,3.250,0,0,0,0,0,92,HABERL J,ARCHITECTURE,FALL,2020
