Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ARCH,206,500,17,0,0,0,0,17,4.000,0,0,0,0,0,17,KIM H,ARCHITECTURE,SPRING,2019
ARCH,206,501,11,3,2,0,0,16,3.562,0,0,0,0,0,16,KIM H,ARCHITECTURE,SPRING,2019
ARCH,206,502,10,4,0,2,0,16,3.375,0,0,0,0,0,16,LUTZ S,ARCHITECTURE,SPRING,2019
ARCH,206,503,3,4,3,2,0,12,2.666,0,0,0,1,0,13,HAWKINS A,ARCHITECTURE,SPRING,2019
ARCH,206,504,15,0,0,0,0,15,4.000,0,0,0,0,0,15,ESQUIVEL J,ARCHITECTURE,SPRING,2019
ARCH,206,505,14,0,0,0,0,14,4.000,2,0,0,0,0,16,DE LIMA VAZ XAVIER,ARCHITECTURE,SPRING,2019
ARCH,206,506,11,6,0,0,0,17,3.647,0,0,0,0,0,17,VAHDAT ZAD V,ARCHITECTURE,SPRING,2019
ARCH,212,500,29,25,5,4,0,63,3.253,0,0,0,2,0,65,LU Z,ARCHITECTURE,SPRING,2019
ARCH,212,501,8,12,5,1,0,26,3.038,0,0,0,0,0,26,LU Z,ARCHITECTURE,SPRING,2019
ARCH,213,500,54,52,16,6,2,130,3.153,0,0,0,3,0,133,BELTRAN L,ARCHITECTURE,SPRING,2019
ARCH,213,501,13,18,4,0,2,37,3.081,0,0,0,2,0,39,BELTRAN L,ARCHITECTURE,SPRING,2019
ARCH,216,500,10,3,0,0,0,13,3.769,0,0,0,0,0,13,MANSOORI M,ARCHITECTURE,SPRING,2019
ARCH,216,501,10,4,0,0,0,14,3.714,0,0,0,0,0,14,KIM H,ARCHITECTURE,SPRING,2019
ARCH,249,201,13,0,1,0,0,14,3.857,0,0,0,0,0,14,CAFFEY S,ARCHITECTURE,SPRING,2019
ARCH,249,503,59,33,16,9,4,121,3.107,0,0,0,2,40,163,CAFFEY S,ARCHITECTURE,SPRING,2019
ARCH,249,504,33,7,5,0,0,45,3.622,0,0,0,0,1,46,CAFFEY S,ARCHITECTURE,SPRING,2019
ARCH,249,700,44,15,5,2,0,66,3.530,1,0,0,12,21,100,CAFFEY S,ARCHITECTURE,SPRING,2019
ARCH,250,200,10,0,0,0,0,10,4.000,0,0,0,0,0,10,KLEIN N,ARCHITECTURE,SPRING,2019
ARCH,250,501,87,53,17,1,4,162,3.345,0,0,0,3,0,165,KLEIN N,ARCHITECTURE,SPRING,2019
ARCH,250,502,27,17,4,2,0,50,3.380,0,0,0,0,0,50,KLEIN N,ARCHITECTURE,SPRING,2019
ARCH,250,503,15,11,10,6,5,47,2.531,0,0,0,5,0,52,STEWART Z,ARCHITECTURE,SPRING,2019
ARCH,250,700,69,19,4,3,1,96,3.583,0,0,0,3,0,99,CAMPAGNOL G,ARCHITECTURE,SPRING,2019
ARCH,250,701,86,12,0,0,1,99,3.838,0,0,0,0,0,99,CAMPAGNOL G,ARCHITECTURE,SPRING,2019
ARCH,260,500,7,0,0,0,0,7,4.000,0,0,0,0,0,7,IISAKA M,ARCHITECTURE,SPRING,2019
ARCH,305,931,3,5,1,1,0,10,3.000,0,0,0,1,0,11,VAHDAT ZAD V,ARCHITECTURE,SPRING,2019
ARCH,305,932,15,0,0,0,0,15,4.000,0,0,0,0,0,15,CATAO CARTAXO,ARCHITECTURE,SPRING,2019
ARCH,305,933,10,1,0,0,0,11,3.909,1,0,0,0,0,12,STEWART K,ARCHITECTURE,SPRING,2019
ARCH,305,934,9,2,0,0,0,11,3.818,0,0,0,0,0,11,LOPEZ DINARDI M,ARCHITECTURE,SPRING,2019
ARCH,317,500,10,1,0,0,0,11,3.909,0,0,0,3,0,14,GORJIAN M,ARCHITECTURE,SPRING,2019
ARCH,327,500,7,1,0,0,0,8,3.875,0,0,0,0,0,8,OSTADALIMAKHMALBAF,ARCHITECTURE,SPRING,2019
ARCH,328,500,6,1,0,0,0,7,3.857,0,0,0,0,10,17,OBRIEN M,ARCHITECTURE,SPRING,2019
ARCH,331,500,7,17,11,9,2,46,2.391,0,0,0,9,0,55,NICHOLS A,ARCHITECTURE,SPRING,2019
ARCH,335,500,18,28,6,0,0,52,3.230,2,0,0,1,0,55,HABERL J,ARCHITECTURE,SPRING,2019
ARCH,345,502,29,22,5,0,2,58,3.310,0,0,0,0,0,58,HOLLIDAY S,ARCHITECTURE,SPRING,2019
ARCH,346,500,9,16,2,0,0,27,3.259,0,0,0,2,0,29,GLOWACKI K,ARCHITECTURE,SPRING,2019
ARCH,350,501,61,41,10,2,1,115,3.382,0,0,0,0,0,115,CAMPAGNOL G,ARCHITECTURE,SPRING,2019
ARCH,350,700,47,34,12,1,1,95,3.315,0,0,0,3,0,98,CAMPAGNOL G,ARCHITECTURE,SPRING,2019
ARCH,406,501,16,0,0,0,0,16,4.000,0,0,0,0,0,16,ESQUIVEL J,ARCHITECTURE,SPRING,2019
ARCH,406,502,8,8,0,0,0,16,3.500,0,0,0,0,0,16,GEVA A,ARCHITECTURE,SPRING,2019
ARCH,406,503,16,2,0,0,0,18,3.888,0,0,0,0,0,18,AITANI K,ARCHITECTURE,SPRING,2019
ARCH,406,504,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MANN G,ARCHITECTURE,SPRING,2019
ARCH,406,505,11,1,0,0,0,12,3.916,0,0,0,0,0,12,HAMILTON D,ARCHITECTURE,SPRING,2019
ARCH,421,500,7,5,1,2,1,16,2.937,0,0,0,3,0,19,CULP C,ARCHITECTURE,SPRING,2019
ARCH,434,500,5,7,7,1,1,21,2.666,0,0,0,0,0,21,KLEIN N,ARCHITECTURE,SPRING,2019
ARCH,458,200,5,0,0,0,0,5,4.000,0,0,0,0,0,5,HILL R,ARCHITECTURE,SPRING,2019
ARCH,458,500,62,18,0,1,0,81,3.740,0,0,0,0,0,81,HILL R,ARCHITECTURE,SPRING,2019
ARCH,485,501,23,1,0,0,0,24,3.958,0,0,0,0,0,24,ABBOTT E,ARCHITECTURE,SPRING,2019
ARCH,494,570,22,0,0,0,0,22,4.000,1,0,0,0,0,23,ABBOTT E,ARCHITECTURE,SPRING,2019
ARCH,602,600,5,5,1,0,0,11,3.363,0,0,0,0,0,11,BORGES GONZALEZ A,ARCHITECTURE,SPRING,2019
ARCH,606,601,0,10,0,0,0,10,3.000,0,0,0,0,0,10,HSU F,ARCHITECTURE,SPRING,2019
ARCH,606,602,9,1,0,0,0,10,3.900,0,0,0,0,0,10,LU Z,ARCHITECTURE,SPRING,2019
ARCH,606,603,3,5,0,0,0,8,3.375,1,0,0,0,0,9,ERMINY M,ARCHITECTURE,SPRING,2019
ARCH,606,604,5,3,0,0,0,8,3.625,0,0,0,0,0,8,ALI A,ARCHITECTURE,SPRING,2019
ARCH,608,601,11,2,0,0,0,13,3.846,0,0,0,0,0,13,HOLLIDAY R,ARCHITECTURE,SPRING,2019
ARCH,608,602,14,0,0,0,0,14,4.000,0,0,0,0,0,14,HALIBURTON J,ARCHITECTURE,SPRING,2019
ARCH,608,603,5,4,0,0,0,9,3.555,1,0,0,0,0,10,GIBBS B,ARCHITECTURE,SPRING,2019
ARCH,614,600,1,4,2,1,2,10,2.100,0,0,0,1,0,11,NICHOLS A,ARCHITECTURE,SPRING,2019
ARCH,615,600,1,6,4,0,0,11,2.727,0,0,0,1,0,12,HABERL J,ARCHITECTURE,SPRING,2019
ARCH,620,600,3,2,0,0,0,5,3.600,0,0,0,0,0,5,HABERL J,ARCHITECTURE,SPRING,2019
ARCH,631,600,0,4,1,0,0,5,2.800,0,0,0,0,0,5,NICHOLS A,ARCHITECTURE,SPRING,2019
ARCH,633,600,15,15,5,0,0,35,3.285,0,0,0,0,0,35,BALTAZAR CERVANTES,ARCHITECTURE,SPRING,2019
ARCH,634,600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,BELTRAN L,ARCHITECTURE,SPRING,2019
ARCH,637,600,11,0,0,0,0,11,4.000,2,0,0,0,0,13,AITANI K,ARCHITECTURE,SPRING,2019
ARCH,639,600,0,10,0,0,0,10,3.000,0,0,0,0,0,10,HSU F,ARCHITECTURE,SPRING,2019
ARCH,643,600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,CULP C,ARCHITECTURE,SPRING,2019
ARCH,644,600,7,3,0,0,0,10,3.700,0,0,0,0,0,10,STEWART Z,ARCHITECTURE,SPRING,2019
ARCH,644,601,13,0,0,0,0,13,4.000,0,0,0,0,0,13,CAFFEY S,ARCHITECTURE,SPRING,2019
ARCH,646,600,13,1,0,0,0,14,3.928,0,0,0,0,0,14,JAIN P,ARCHITECTURE,SPRING,2019
ARCH,649,600,10,2,0,0,0,12,3.833,0,0,0,0,0,12,GEVA A,ARCHITECTURE,SPRING,2019
ARCH,657,600,9,2,0,0,0,11,3.818,0,0,0,0,0,11,MIRANDA V,ARCHITECTURE,SPRING,2019
ARCH,660,600,11,4,0,0,0,15,3.733,0,0,0,0,0,15,PENTECOST A,ARCHITECTURE,SPRING,2019
ARCH,675,600,6,5,0,0,0,11,3.545,0,0,0,0,0,11,ZHU X,ARCHITECTURE,SPRING,2019
ARCH,685,610,8,2,0,0,0,10,3.800,0,0,0,0,0,10,ERMINY M,ARCHITECTURE,SPRING,2019
ARCH,685,615,7,0,0,0,0,7,4.000,0,0,0,0,0,7,CAFFEY S,ARCHITECTURE,SPRING,2019
ARCH,685,619,7,0,0,0,0,7,4.000,0,0,0,0,0,7,OBRIEN M,ARCHITECTURE,SPRING,2019
ARCH,685,633,5,1,0,0,0,6,3.916,1,0,0,0,0,7,AITANI K,ARCHITECTURE,SPRING,2019
ARCH,685,657,4,1,0,0,0,5,3.800,0,0,0,0,0,5,HAMILTON D,ARCHITECTURE,SPRING,2019
ARCH,689,600,6,5,0,0,0,11,3.545,0,0,0,0,0,11,ERMINY M,ARCHITECTURE,SPRING,2019
ARCH,689,601,12,0,0,0,0,12,4.000,0,0,0,0,0,12,RODIEK S,ARCHITECTURE,SPRING,2019
ARCH,689,603,5,1,0,0,0,6,3.833,0,0,0,0,0,6,PENTECOST A,ARCHITECTURE,SPRING,2019
ENDS,101,201,22,3,0,0,0,25,3.880,0,0,0,0,0,25,HILL R,ARCHITECTURE,SPRING,2019
ENDS,101,202,24,0,0,0,0,24,4.000,0,0,0,0,0,24,HILL R,ARCHITECTURE,SPRING,2019
ENDS,101,203,25,1,0,0,0,26,3.961,0,0,0,0,0,26,HILL R,ARCHITECTURE,SPRING,2019
ENDS,101,204,24,1,0,0,0,25,3.960,0,0,0,0,0,25,HILL R,ARCHITECTURE,SPRING,2019
ENDS,101,205,24,2,0,0,0,26,3.923,0,0,0,0,0,26,HILL R,ARCHITECTURE,SPRING,2019
ENDS,101,206,26,0,0,0,0,26,4.000,0,0,0,0,0,26,HILL R,ARCHITECTURE,SPRING,2019
ENDS,101,207,26,0,0,0,0,26,4.000,0,0,0,0,0,26,HILL R,ARCHITECTURE,SPRING,2019
ENDS,101,501,181,31,4,2,4,222,3.725,1,0,0,5,1,229,CAFFEY S,ARCHITECTURE,SPRING,2019
ENDS,101,701,90,6,1,0,1,98,3.877,0,1,0,1,0,100,CAFFEY S,ARCHITECTURE,SPRING,2019
ENDS,105,500,7,14,0,0,0,21,3.333,0,0,0,1,0,22,ROGERS J,ARCHITECTURE,SPRING,2019
ENDS,108,200,12,1,0,0,0,13,3.923,0,0,0,0,0,13,HE W,ARCHITECTURE,SPRING,2019
ENDS,108,500,14,1,2,1,0,18,3.555,0,0,0,1,0,19,TATE J,ARCHITECTURE,SPRING,2019
ENDS,108,501,9,5,4,0,0,18,3.277,0,0,0,1,0,19,BORGES GONZALEZ A,ARCHITECTURE,SPRING,2019
ENDS,108,502,10,4,3,1,0,18,3.277,0,0,0,2,0,20,FAULKNER M,ARCHITECTURE,SPRING,2019
ENDS,108,503,8,12,0,0,0,20,3.400,0,0,0,0,0,20,MAFFEI G,ARCHITECTURE,SPRING,2019
ENDS,108,504,7,8,3,1,0,19,3.105,0,0,0,0,0,19,TRIPP A,ARCHITECTURE,SPRING,2019
ENDS,115,500,18,1,1,0,0,20,3.850,0,0,0,0,0,20,DE LIMA VAZ XAVIER,ARCHITECTURE,SPRING,2019
CARC,301,550,4,12,2,0,0,18,3.111,0,0,0,0,0,18,CLAYTON M,ARCHITECTURE,SPRING,2019
CARC,301,551,14,0,0,0,0,14,4.000,0,0,0,0,0,14,ROLDAN M,ARCHITECTURE,SPRING,2019
CARC,301,552,21,0,0,0,0,21,4.000,0,0,0,0,0,21,HONEYCUTT A,ARCHITECTURE,SPRING,2019
CARC,311,550,11,0,0,0,0,11,4.000,0,0,0,0,0,11,REID R,ARCHITECTURE,SPRING,2019
CARC,311,551,20,0,0,0,0,20,4.000,0,0,0,0,0,20,CLAYTON M,ARCHITECTURE,SPRING,2019
CARC,311,552,14,0,0,0,0,14,4.000,0,0,0,0,0,14,ROLDAN M,ARCHITECTURE,SPRING,2019
CARC,311,553,21,0,0,0,0,21,4.000,0,0,0,0,0,21,HONEYCUTT A,ARCHITECTURE,SPRING,2019
CARC,331,550,29,5,0,0,0,34,3.852,0,0,0,0,0,34,DI PASQUALE G,ARCHITECTURE,SPRING,2019
CARC,331,551,11,3,0,0,0,14,3.785,0,0,0,0,0,14,ROLDAN M,ARCHITECTURE,SPRING,2019
CARC,331,552,21,0,0,0,0,21,4.000,0,0,0,0,0,21,HONEYCUTT A,ARCHITECTURE,SPRING,2019
CARC,481,500,15,8,10,1,0,34,3.088,0,0,0,0,0,34,VAN ZANDT S,ARCHITECTURE,SPRING,2019
CARC,481,501,11,3,0,0,0,14,3.785,0,0,0,0,0,14,VAN ZANDT S,ARCHITECTURE,SPRING,2019
CARC,481,502,109,0,0,0,0,109,4.000,2,0,0,0,0,111,ABBOTT E,ARCHITECTURE,SPRING,2019
