Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ARCH,249,700,24,10,6,2,1,43,3.255,0,0,0,1,0,44,CAFFEY S,ARCHITECTURE,SUMMER,2020
ARCH,250,700,13,13,5,0,0,31,3.258,0,0,0,2,0,33,STEWART Z,ARCHITECTURE,SUMMER,2020
ARCH,331,100,2,9,6,1,0,18,2.666,0,0,0,0,0,18,NICHOLS A,ARCHITECTURE,SUMMER,2020
ARCH,350,700,12,11,4,1,0,28,3.214,0,0,0,0,0,28,CAMPAGNOL G,ARCHITECTURE,SUMMER,2020
ARCH,406,300,8,4,0,0,0,12,3.666,0,0,0,0,0,12,TRIPP A,ARCHITECTURE,SUMMER,2020
ARCH,406,301,4,2,2,0,0,8,3.250,0,0,0,0,2,10,AITANI K,ARCHITECTURE,SUMMER,2020
ARCH,603,300,3,7,0,0,0,10,3.300,0,0,0,0,0,10,DE LIMA VAZ XAVIER,ARCHITECTURE,SUMMER,2020
ENDS,101,199,17,17,2,2,1,39,3.205,0,0,0,2,0,41,BILLINGSLEY A,ARCHITECTURE,SUMMER,2020
ENDS,101,200,61,1,0,0,0,62,3.983,0,0,0,0,0,62,HILL R,ARCHITECTURE,SUMMER,2020
ENDS,101,299,19,2,0,0,0,21,3.904,0,0,0,1,0,22,BILLINGSLEY A,ARCHITECTURE,SUMMER,2020
ENDS,101,700,16,3,0,0,0,19,3.842,0,0,0,0,0,19,CAFFEY S,ARCHITECTURE,SUMMER,2020
ENDS,105,100,4,6,2,0,0,12,3.166,0,0,0,0,0,12,ROGERS J,ARCHITECTURE,SUMMER,2020
ENDS,108,203,3,9,0,0,0,12,3.250,0,0,0,0,0,12,BORGES GONZALEZ A,ARCHITECTURE,SUMMER,2020
ENDS,108,204,4,6,2,0,0,12,3.166,0,0,0,0,0,12,MCINTOSH N,ARCHITECTURE,SUMMER,2020
ENDS,115,100,3,4,3,0,0,10,3.000,0,0,0,0,0,10,BORGES GONZALEZ A,ARCHITECTURE,SUMMER,2020
CARC,311,150,20,0,0,0,0,20,4.000,0,0,0,0,0,20,GODDARD T,ARCHITECTURE,SUMMER,2020
CARC,311,151,5,12,3,0,0,20,3.100,0,0,0,0,0,20,ERMINY M,ARCHITECTURE,SUMMER,2020
CARC,311,152,19,0,0,0,0,19,4.000,0,0,0,0,0,19,FORTENBERRY B,ARCHITECTURE,SUMMER,2020
CARC,311,250,20,0,0,0,0,20,4.000,0,0,0,0,0,20,STOENESCU L,ARCHITECTURE,SUMMER,2020
CARC,311,251,17,0,0,0,0,17,4.000,0,0,0,0,0,17,REID R,ARCHITECTURE,SUMMER,2020
CARC,311,252,19,0,0,0,0,19,4.000,0,0,0,0,0,19,DAVIS D,ARCHITECTURE,SUMMER,2020
CARC,311,253,8,5,2,0,0,15,3.400,0,0,0,0,0,15,HUANG C,ARCHITECTURE,SUMMER,2020
CARC,311,254,14,5,1,0,0,20,3.650,0,0,0,0,0,20,ROLDAN M,ARCHITECTURE,SUMMER,2020
CARC,311,255,18,0,1,0,1,20,3.700,0,0,0,0,0,20,WOODFIN S,ARCHITECTURE,SUMMER,2020
CARC,311,257,17,2,0,0,1,20,3.700,0,0,0,0,0,20,AITANI K,ARCHITECTURE,SUMMER,2020
CARC,331,150,19,0,0,0,0,19,4.000,0,0,0,0,1,20,GODDARD T,ARCHITECTURE,SUMMER,2020
CARC,331,151,8,10,2,0,0,20,3.300,0,0,0,0,0,20,ERMINY M,ARCHITECTURE,SUMMER,2020
CARC,331,152,19,0,0,0,0,19,4.000,0,0,0,0,0,19,FORTENBERRY B,ARCHITECTURE,SUMMER,2020
CARC,331,250,20,0,0,0,0,20,4.000,0,0,0,0,0,20,STOENESCU L,ARCHITECTURE,SUMMER,2020
CARC,331,251,17,0,0,0,0,17,4.000,0,0,0,0,0,17,REID R,ARCHITECTURE,SUMMER,2020
CARC,331,252,19,0,0,0,0,19,4.000,0,0,0,0,0,19,DAVIS D,ARCHITECTURE,SUMMER,2020
CARC,331,253,7,6,1,1,0,15,3.266,0,0,0,0,0,15,HUANG C,ARCHITECTURE,SUMMER,2020
CARC,331,254,15,5,0,0,0,20,3.750,0,0,0,0,0,20,ROLDAN M,ARCHITECTURE,SUMMER,2020
CARC,331,255,18,0,0,0,1,19,3.789,0,0,0,0,0,19,WOODFIN S,ARCHITECTURE,SUMMER,2020
CARC,331,256,15,0,0,0,0,15,4.000,0,0,0,0,0,15,ELLIS D,ARCHITECTURE,SUMMER,2020
