Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ANTH,201,501,32,2,0,0,0,34,3.941,0,0,0,1,0,35,SARATHI A,ARTS & SCIENCES,FALL,2023
ANTH,201,502,25,8,3,0,0,36,3.611,0,0,0,0,0,36,GURSKY S,ARTS & SCIENCES,FALL,2023
ANTH,201,503,79,26,7,0,0,112,3.642,0,0,0,0,0,112,ANDERSON M,ARTS & SCIENCES,FALL,2023
ANTH,201,599,24,40,33,10,1,108,2.703,1,0,0,16,0,125,ATHREYA S,ARTS & SCIENCES,FALL,2023
ANTH,202,501,12,23,16,6,2,59,2.627,0,0,0,4,0,63,WATERS M,ARTS & SCIENCES,FALL,2023
ANTH,202,502,48,5,1,0,3,57,3.666,1,0,0,1,0,59,SHELLEY N,ARTS & SCIENCES,FALL,2023
ANTH,204,500,52,12,4,0,2,70,3.600,0,0,0,0,0,70,SARATHI A,ARTS & SCIENCES,FALL,2023
ANTH,204,501,19,11,2,1,1,34,3.352,0,0,0,2,0,36,BENTLEY N,ARTS & SCIENCES,FALL,2023
ANTH,204,502,55,6,2,1,1,65,3.738,0,0,0,1,0,66,SARATHI A,ARTS & SCIENCES,FALL,2023
ANTH,205,500,79,16,4,0,0,99,3.757,0,0,0,1,0,100,SARATHI A,ARTS & SCIENCES,FALL,2023
ANTH,205,501,63,7,2,0,0,72,3.847,0,0,0,0,0,72,LAPORTE C,ARTS & SCIENCES,FALL,2023
ANTH,205,502,45,37,12,1,0,95,3.326,0,0,0,5,0,100,LYNCH D,ARTS & SCIENCES,FALL,2023
ANTH,205,503,27,41,17,3,1,89,3.011,0,0,0,7,0,96,LYNCH D,ARTS & SCIENCES,FALL,2023
ANTH,205,504,12,12,5,0,0,29,3.241,0,0,0,3,0,32,LYNCH D,ARTS & SCIENCES,FALL,2023
ANTH,205,505,37,0,0,0,0,37,4.000,0,0,0,1,0,38,WANN K,ARTS & SCIENCES,FALL,2023
ANTH,205,506,61,11,3,0,0,75,3.773,0,0,0,0,0,75,THOMAS O,ARTS & SCIENCES,FALL,2023
ANTH,205,507,29,17,9,1,1,57,3.263,0,0,0,2,0,59,BROOKS C,ARTS & SCIENCES,FALL,2023
ANTH,205,508,4,8,15,5,4,36,2.083,0,0,0,0,0,36,ALVARD M,ARTS & SCIENCES,FALL,2023
ANTH,205,512,61,5,5,0,0,71,3.788,0,0,0,2,0,73,IZZO V,ARTS & SCIENCES,FALL,2023
ANTH,205,599,72,78,64,12,7,233,2.841,0,0,0,13,0,246,ALVARD M,ARTS & SCIENCES,FALL,2023
ANTH,210,501,52,42,7,1,0,102,3.421,0,0,0,1,0,103,LEMUS S,ARTS & SCIENCES,FALL,2023
ANTH,210,502,33,19,8,1,1,62,3.322,0,0,0,2,0,64,GANDARILLA M,ARTS & SCIENCES,FALL,2023
ANTH,210,503,35,0,0,0,0,35,4.000,0,0,0,0,0,35,BURR A,ARTS & SCIENCES,FALL,2023
ANTH,210,504,34,2,0,0,2,38,3.736,0,0,0,0,0,38,ANDREWS T,ARTS & SCIENCES,FALL,2023
ANTH,225,500,7,11,9,1,1,29,2.758,0,0,0,1,0,30,ANDERSON M,ARTS & SCIENCES,FALL,2023
ANTH,225,599,7,17,13,6,3,46,2.413,0,0,0,11,0,57,ATHREYA S,ARTS & SCIENCES,FALL,2023
