Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ANTH,201,500,55,5,3,1,1,65,3.723,0,0,0,1,0,66,SARATHI A,ARTS & SCIENCES,SPRING,2024
ANTH,201,501,53,8,2,1,0,64,3.765,0,0,0,2,0,66,SARATHI A,ARTS & SCIENCES,SPRING,2024
ANTH,201,502,24,8,1,0,3,36,3.388,0,0,0,0,0,36,GURSKY S,ARTS & SCIENCES,SPRING,2024
ANTH,201,599,10,29,21,8,8,76,2.328,0,0,0,17,0,93,ATHREYA S,ARTS & SCIENCES,SPRING,2024
ANTH,202,500,9,6,6,0,1,22,3.000,0,0,0,2,0,24,BENTLEY N,ARTS & SCIENCES,SPRING,2024
ANTH,202,501,10,20,18,7,1,56,2.553,0,0,0,9,0,65,WATERS M,ARTS & SCIENCES,SPRING,2024
ANTH,202,502,16,9,1,0,1,27,3.444,0,0,0,1,0,28,RADEMAKER K,ARTS & SCIENCES,SPRING,2024
ANTH,204,500,46,8,2,1,0,57,3.736,0,0,0,1,0,58,SARATHI A,ARTS & SCIENCES,SPRING,2024
ANTH,204,501,27,5,1,0,0,33,3.787,0,0,0,1,0,34,SARATHI A,ARTS & SCIENCES,SPRING,2024
ANTH,204,502,6,18,10,0,0,34,2.882,0,0,0,1,0,35,WHITE J,ARTS & SCIENCES,SPRING,2024
ANTH,205,500,34,1,0,0,0,35,3.971,0,0,0,1,0,36,WANN K,ARTS & SCIENCES,SPRING,2024
ANTH,205,501,61,3,3,2,1,70,3.728,0,0,0,1,0,71,IZZO V,ARTS & SCIENCES,SPRING,2024
ANTH,205,502,29,39,6,8,4,86,2.941,0,0,0,5,0,91,LYNCH D,ARTS & SCIENCES,SPRING,2024
ANTH,205,503,36,42,11,3,1,93,3.172,0,0,0,6,0,99,LYNCH D,ARTS & SCIENCES,SPRING,2024
ANTH,205,504,9,14,5,1,0,29,3.068,0,0,0,2,0,31,LYNCH D,ARTS & SCIENCES,SPRING,2024
ANTH,205,505,19,11,1,1,2,34,3.294,0,0,0,0,0,34,PALOMINO BERROCAL R,ARTS & SCIENCES,SPRING,2024
ANTH,205,508,82,25,10,0,2,119,3.554,0,0,0,1,0,120,WINKING J,ARTS & SCIENCES,SPRING,2024
ANTH,205,509,88,7,4,2,2,103,3.718,0,0,0,1,0,104,LAPORTE C,ARTS & SCIENCES,SPRING,2024
ANTH,205,510,53,6,3,1,0,63,3.761,0,0,0,1,0,64,BECKTELL B,ARTS & SCIENCES,SPRING,2024
ANTH,205,599,52,58,59,18,10,197,2.629,0,0,0,8,0,205,ALVARD M,ARTS & SCIENCES,SPRING,2024
ANTH,210,501,51,16,9,0,1,77,3.506,1,0,0,1,0,79,BROOKS C,ARTS & SCIENCES,SPRING,2024
ANTH,210,502,8,15,10,0,0,33,2.939,0,0,0,1,0,34,JAIN H,ARTS & SCIENCES,SPRING,2024
ANTH,210,503,88,2,0,0,0,90,3.977,0,0,0,0,0,90,ANDREWS T,ARTS & SCIENCES,SPRING,2024
ANTH,210,504,39,23,2,0,0,64,3.578,0,0,0,4,0,68,LEMUS S,ARTS & SCIENCES,SPRING,2024
ANTH,210,505,30,3,2,1,0,36,3.722,0,0,0,0,0,36,CRUTCHER M,ARTS & SCIENCES,SPRING,2024
ANTH,222,500,86,11,5,0,1,103,3.757,0,0,0,1,0,104,LAPORTE C,ARTS & SCIENCES,SPRING,2024
ANTH,225,501,7,12,12,3,0,34,2.676,0,0,0,2,0,36,ANDERSON M,ARTS & SCIENCES,SPRING,2024
ANTH,225,599,10,11,8,1,1,31,2.903,0,0,0,6,0,37,ATHREYA S,ARTS & SCIENCES,SPRING,2024
ANTH,226,501,8,1,0,0,1,10,3.500,0,0,0,1,0,11,HLOPHE N,ARTS & SCIENCES,SPRING,2024
ANTH,226,502,7,8,0,0,0,15,3.466,0,0,0,1,0,16,GRADY E,ARTS & SCIENCES,SPRING,2024
ANTH,300,500,13,2,0,0,1,16,3.625,0,0,0,0,0,16,LYNCH D,ARTS & SCIENCES,SPRING,2024
ANTH,312,500,3,5,5,0,0,13,2.846,0,0,0,0,0,13,DE RUITER D,ARTS & SCIENCES,SPRING,2024
ANTH,313,500,17,6,3,2,2,30,3.133,0,0,0,2,0,32,BOJAKOWSKI P,ARTS & SCIENCES,SPRING,2024
ANTH,316,501,12,13,13,4,0,42,2.785,0,0,0,4,0,46,PULAK C,ARTS & SCIENCES,SPRING,2024
ANTH,317,500,9,8,3,2,1,23,2.956,0,0,0,2,2,27,WACHSMANN S,ARTS & SCIENCES,SPRING,2024
ANTH,318,500,8,4,2,2,0,16,3.125,0,0,0,4,0,20,CRISMAN K,ARTS & SCIENCES,SPRING,2024
ANTH,323,500,9,2,5,2,0,18,3.000,0,0,0,0,0,18,PULAK C,ARTS & SCIENCES,SPRING,2024
ANTH,324,500,19,2,1,0,1,23,3.652,0,0,0,0,0,23,REGAN M,ARTS & SCIENCES,SPRING,2024
ANTH,335,500,9,4,1,0,0,14,3.571,0,0,0,2,0,16,WERNER C,ARTS & SCIENCES,SPRING,2024
ANTH,402,500,5,5,1,0,0,11,3.363,0,0,0,0,0,11,KENNEDY C,ARTS & SCIENCES,SPRING,2024
ANTH,403,500,8,2,0,2,0,12,3.333,0,0,0,0,0,12,LAPORTE C,ARTS & SCIENCES,SPRING,2024
ANTH,410,900,4,10,3,2,1,20,2.700,0,0,0,0,0,20,ALVARD M,ARTS & SCIENCES,SPRING,2024
ANTH,415,900,5,0,1,0,0,6,3.666,0,0,0,0,0,6,ANDERSON M,ARTS & SCIENCES,SPRING,2024
ANTH,418,500,9,3,1,0,0,13,3.615,0,0,0,0,0,13,BOJAKOWSKI K,ARTS & SCIENCES,SPRING,2024
ANTH,425,500,7,8,1,0,0,16,3.375,0,0,0,0,0,16,ANDERSON M,ARTS & SCIENCES,SPRING,2024
ANTH,436,500,11,2,7,4,1,25,2.720,0,0,0,2,0,27,WACHSMANN S,ARTS & SCIENCES,SPRING,2024
ANTH,436,900,7,8,5,2,0,22,2.909,1,0,0,2,0,25,WACHSMANN S,ARTS & SCIENCES,SPRING,2024
ANTH,484,502,5,2,0,0,0,7,3.684,0,0,0,0,0,7,BOJAKOWSKI K,ARTS & SCIENCES,SPRING,2024
ANTH,602,500,9,0,0,0,0,9,4.000,0,0,0,0,0,9,HALLIGAN J,ARTS & SCIENCES,SPRING,2024
ANTH,606,600,9,3,0,0,0,12,3.750,0,0,0,0,0,12,DOSTAL C,ARTS & SCIENCES,SPRING,2024
ANTH,608,600,4,1,1,1,0,7,3.142,0,0,0,0,0,7,WACHSMANN S,ARTS & SCIENCES,SPRING,2024
ANTH,616,600,8,1,2,0,0,11,3.545,0,0,0,0,0,11,KENNEDY C,ARTS & SCIENCES,SPRING,2024
ANTH,650,600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,LEMUS S,ARTS & SCIENCES,SPRING,2024
ATMO,201,501,33,38,22,3,1,97,3.020,0,0,0,7,0,104,CONLEE D,ARTS & SCIENCES,SPRING,2024
ATMO,201,502,62,50,26,9,6,153,3.000,0,0,0,11,0,164,CONLEE D,ARTS & SCIENCES,SPRING,2024
ATMO,201,504,32,22,9,0,4,67,3.164,0,0,0,11,0,78,RAPP A,ARTS & SCIENCES,SPRING,2024
ATMO,201,599,150,136,68,5,2,361,3.182,0,0,0,38,0,399,EPIFANIO C,ARTS & SCIENCES,SPRING,2024
ATMO,202,501,9,7,1,0,1,18,3.277,0,0,0,1,0,19,CONLEE D,ARTS & SCIENCES,SPRING,2024
ATMO,202,502,11,9,1,0,0,21,3.476,0,0,0,0,0,21,CONLEE D,ARTS & SCIENCES,SPRING,2024
ATMO,202,503,16,5,1,1,0,23,3.565,0,0,0,0,0,23,CONLEE D,ARTS & SCIENCES,SPRING,2024
ATMO,202,504,8,5,0,0,0,13,3.615,0,0,0,1,0,14,CONLEE D,ARTS & SCIENCES,SPRING,2024
