Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ANTH,201,199,57,8,4,0,1,70,3.714,0,0,0,0,0,70,SARATHI A,ARTS & SCIENCES,SUMMER,2024
ANTH,205,199,74,14,2,1,4,95,3.610,0,0,0,1,0,96,JONES L,ARTS & SCIENCES,SUMMER,2024
ANTH,210,199,93,6,1,0,0,100,3.920,0,0,0,0,0,100,LEMUS S,ARTS & SCIENCES,SUMMER,2024
ANTH,210,200,8,2,1,0,0,11,3.636,0,0,0,0,0,11,JAIN H,ARTS & SCIENCES,SUMMER,2024
ANTH,435,150,22,0,0,0,0,22,4.000,0,0,0,0,0,22,HOPKINS A,ARTS & SCIENCES,SUMMER,2024
ANTH,491,150,22,0,0,0,0,22,4.000,0,0,0,0,0,22,HOPKINS A,ARTS & SCIENCES,SUMMER,2024
BIOL,111,102,12,7,1,1,2,23,3.130,0,0,0,0,0,23,WRIGHT R,ARTS & SCIENCES,SUMMER,2024
BIOL,111,103,9,8,2,0,0,19,3.368,0,0,0,1,0,20,WRIGHT R,ARTS & SCIENCES,SUMMER,2024
BIOL,112,202,9,5,2,1,0,17,3.294,0,0,0,0,0,17,LEE C,ARTS & SCIENCES,SUMMER,2024
BIOL,112,203,5,10,6,0,0,21,2.952,0,0,0,0,0,21,LEE C,ARTS & SCIENCES,SUMMER,2024
BIOL,112,204,6,7,6,1,1,21,2.761,1,0,0,0,0,22,LEE C,ARTS & SCIENCES,SUMMER,2024
BIOL,112,205,8,10,1,2,2,23,2.869,1,0,0,0,0,24,LEE C,ARTS & SCIENCES,SUMMER,2024
BIOL,113,199,9,3,2,0,2,16,3.062,0,0,0,1,0,17,RAO A,ARTS & SCIENCES,SUMMER,2024
BIOL,206,101,10,1,1,0,0,12,3.750,0,0,0,0,0,12,JANES D,ARTS & SCIENCES,SUMMER,2024
BIOL,206,102,4,4,1,0,0,9,3.333,0,0,0,0,0,9,JANES D,ARTS & SCIENCES,SUMMER,2024
BIOL,213,100,17,13,8,2,0,40,3.125,0,0,0,0,0,40,FLETCHER S,ARTS & SCIENCES,SUMMER,2024
BIOL,214,200,19,11,2,0,1,33,3.424,0,0,0,0,0,33,HAWKINS A,ARTS & SCIENCES,SUMMER,2024
BIOL,319,304,9,9,5,0,0,23,3.173,0,0,0,0,0,23,COHN W,ARTS & SCIENCES,SUMMER,2024
BIOL,319,305,8,7,3,0,0,18,3.277,0,0,0,1,0,19,COHN W,ARTS & SCIENCES,SUMMER,2024
BIOL,319,306,3,5,3,0,1,12,2.750,0,0,0,0,0,12,COHN W,ARTS & SCIENCES,SUMMER,2024
BIOL,319,307,5,5,6,1,0,17,2.823,1,0,0,1,0,19,COHN W,ARTS & SCIENCES,SUMMER,2024
BIOL,319,308,3,7,4,1,0,15,2.800,0,0,0,0,0,15,COHN W,ARTS & SCIENCES,SUMMER,2024
BIOL,320,302,2,3,7,0,0,12,2.583,0,0,0,0,0,12,TAYLOR L,ARTS & SCIENCES,SUMMER,2024
BIOL,320,303,1,4,0,0,0,5,3.200,0,0,0,0,0,5,TAYLOR L,ARTS & SCIENCES,SUMMER,2024
BIOL,320,304,5,11,6,0,1,23,2.826,0,0,0,1,0,24,TAYLOR L,ARTS & SCIENCES,SUMMER,2024
BIOL,320,305,11,7,4,0,0,22,3.318,0,0,0,0,0,22,TAYLOR L,ARTS & SCIENCES,SUMMER,2024
BIOL,320,307,3,6,9,0,0,18,2.666,0,0,0,0,0,18,TAYLOR L,ARTS & SCIENCES,SUMMER,2024
BIOL,401,992,16,4,2,0,0,22,3.636,0,0,0,0,0,22,ST. CLAIR A,ARTS & SCIENCES,SUMMER,2024
BIOL,401,993,14,3,2,0,0,19,3.631,0,0,0,2,0,21,ST. CLAIR A,ARTS & SCIENCES,SUMMER,2024
BIOL,401,994,8,1,3,0,1,13,3.153,0,0,0,0,0,13,ST. CLAIR A,ARTS & SCIENCES,SUMMER,2024
BIOL,401,995,11,3,0,0,1,15,3.533,0,0,0,1,0,16,ST. CLAIR A,ARTS & SCIENCES,SUMMER,2024
BIOL,401,996,16,0,1,0,0,17,3.882,0,0,0,0,0,17,ST. CLAIR A,ARTS & SCIENCES,SUMMER,2024
BIOL,401,997,17,1,0,0,1,19,3.736,0,0,0,0,0,19,ST. CLAIR A,ARTS & SCIENCES,SUMMER,2024
BIOL,402,990,12,4,5,0,1,22,3.181,0,0,0,2,0,24,LEBOEUF B,ARTS & SCIENCES,SUMMER,2024
BIOL,402,991,13,4,3,0,2,22,3.181,0,0,0,2,0,24,LEBOEUF B,ARTS & SCIENCES,SUMMER,2024
BIOL,402,992,20,1,1,1,2,25,3.440,0,0,0,0,0,25,LEBOEUF B,ARTS & SCIENCES,SUMMER,2024
BIOL,402,993,20,4,0,0,0,24,3.833,0,0,0,1,0,25,LEBOEUF B,ARTS & SCIENCES,SUMMER,2024
BIOL,402,994,15,3,2,0,3,23,3.173,0,0,0,1,0,24,HAWKINS A,ARTS & SCIENCES,SUMMER,2024
BIOL,402,997,11,9,3,0,1,24,3.208,0,0,0,0,0,24,ADAMS C,ARTS & SCIENCES,SUMMER,2024
BIOL,402,998,16,6,0,0,0,22,3.727,0,0,0,0,0,22,ADAMS C,ARTS & SCIENCES,SUMMER,2024
BIOL,403,900,22,2,0,0,1,25,3.760,0,0,0,0,0,25,KUHN D,ARTS & SCIENCES,SUMMER,2024
BIOL,403,901,22,1,0,1,0,24,3.833,0,0,0,0,0,24,KUHN D,ARTS & SCIENCES,SUMMER,2024
BIOL,403,902,21,2,0,1,0,24,3.791,0,0,0,0,0,24,KUHN D,ARTS & SCIENCES,SUMMER,2024
BIOL,403,903,19,4,1,0,0,24,3.750,0,0,0,0,0,24,KUHN D,ARTS & SCIENCES,SUMMER,2024
BIOL,403,904,15,6,0,0,2,23,3.391,0,0,0,0,0,23,KUHN D,ARTS & SCIENCES,SUMMER,2024
BIOL,489,350,22,0,0,0,0,22,4.000,0,0,0,0,0,22,YEOMAN M,ARTS & SCIENCES,SUMMER,2024
BIOL,491,300,5,0,0,0,0,5,4.000,0,0,0,0,0,5,ERICKSON J,ARTS & SCIENCES,SUMMER,2024
CHEM,107,300,7,16,10,4,0,37,2.702,0,0,0,1,0,38,ALTEMOSE A,ARTS & SCIENCES,SUMMER,2024
CHEM,117,300,7,2,4,0,0,13,3.230,0,0,0,0,0,13,MARTINEZ Z,ARTS & SCIENCES,SUMMER,2024
CHEM,117,302,11,4,0,0,0,15,3.733,0,0,0,0,0,15,MARTINEZ Z,ARTS & SCIENCES,SUMMER,2024
CHEM,120,301,8,4,4,2,2,20,2.700,0,0,0,1,0,21,SONGOK A,ARTS & SCIENCES,SUMMER,2024
CHEM,120,302,4,10,7,0,0,21,2.857,0,0,0,0,0,21,SONGOK A,ARTS & SCIENCES,SUMMER,2024
CHEM,120,307,5,5,3,1,0,14,3.000,0,0,0,0,0,14,SONGOK A,ARTS & SCIENCES,SUMMER,2024
CHEM,120,308,4,7,3,1,0,15,2.933,0,0,0,1,0,16,SONGOK A,ARTS & SCIENCES,SUMMER,2024
CHEM,222,300,8,7,4,2,0,21,3.000,0,0,0,2,0,23,MULLEN C,ARTS & SCIENCES,SUMMER,2024
CHEM,227,301,43,18,13,6,4,84,3.071,0,0,0,2,0,86,PONNAMPERUMA K,ARTS & SCIENCES,SUMMER,2024
CHEM,228,303,48,27,26,8,4,113,2.946,1,0,0,3,0,117,PONNAMPERUMA K,ARTS & SCIENCES,SUMMER,2024
CHEM,237,301,6,6,2,1,1,16,2.937,0,0,0,0,1,17,LEE E,ARTS & SCIENCES,SUMMER,2024
CHEM,237,302,6,10,5,1,0,22,2.954,0,0,0,0,0,22,LEE E,ARTS & SCIENCES,SUMMER,2024
CHEM,237,303,2,7,0,0,0,9,3.222,0,0,0,1,0,10,LEE E,ARTS & SCIENCES,SUMMER,2024
CHEM,237,304,3,11,0,0,0,14,3.214,0,0,0,0,0,14,LEE E,ARTS & SCIENCES,SUMMER,2024
CHEM,238,301,6,7,4,0,0,17,3.117,0,0,0,0,2,19,LEE E,ARTS & SCIENCES,SUMMER,2024
CHEM,238,302,4,9,2,0,0,15,3.133,1,0,0,0,0,16,LEE E,ARTS & SCIENCES,SUMMER,2024
CHEM,238,303,4,4,4,1,0,13,2.846,3,0,0,0,1,17,LEE E,ARTS & SCIENCES,SUMMER,2024
CHEM,238,304,5,7,7,2,0,21,2.714,2,0,0,0,0,23,LEE E,ARTS & SCIENCES,SUMMER,2024
CHEM,238,305,5,9,1,0,1,16,3.062,1,0,0,0,0,17,LEE E,ARTS & SCIENCES,SUMMER,2024
BIMS,320,399,20,6,14,5,4,49,2.673,0,0,0,3,0,52,SILKWOOD C,ARTS & SCIENCES,SUMMER,2024
VTPB,405,301,5,0,1,0,0,6,3.666,0,0,0,0,3,9,DABRAL N,ARTS & SCIENCES,SUMMER,2024
VTPP,427,300,1,6,7,9,6,29,1.551,0,0,0,3,0,32,DAVIS A,ARTS & SCIENCES,SUMMER,2024
COMM,203,100,16,3,1,0,0,20,3.750,0,0,0,1,0,21,LEMMONS L,ARTS & SCIENCES,SUMMER,2024
COMM,203,101,7,2,5,0,1,15,2.933,0,0,0,0,0,15,NDHLOVU M,ARTS & SCIENCES,SUMMER,2024
COMM,203,182,10,5,4,2,3,24,2.708,0,0,0,0,0,24,ASCHENBECK S,ARTS & SCIENCES,SUMMER,2024
COMM,203,183,22,2,0,0,0,24,3.916,0,0,0,1,0,25,BECK M,ARTS & SCIENCES,SUMMER,2024
COMM,203,184,17,5,1,0,1,24,3.541,0,0,0,0,0,24,BRUDER K,ARTS & SCIENCES,SUMMER,2024
COMM,203,185,19,5,1,0,0,25,3.720,0,0,0,0,0,25,DUBRIWNY T,ARTS & SCIENCES,SUMMER,2024
COMM,203,186,12,8,1,0,3,24,3.083,0,0,0,0,0,24,KIM E,ARTS & SCIENCES,SUMMER,2024
COMM,203,187,16,9,0,0,0,25,3.640,0,0,0,0,0,25,PARISH N,ARTS & SCIENCES,SUMMER,2024
COMM,203,188,15,9,0,0,0,24,3.625,0,0,0,1,0,25,ROLD M,ARTS & SCIENCES,SUMMER,2024
COMM,203,189,11,8,1,2,3,25,2.880,0,0,0,0,0,25,SETON M,ARTS & SCIENCES,SUMMER,2024
COMM,203,190,16,1,1,0,2,20,3.450,1,0,0,0,0,21,HOU T,ARTS & SCIENCES,SUMMER,2024
COMM,203,191,21,2,0,0,2,25,3.600,0,0,0,0,0,25,DOCKERY D,ARTS & SCIENCES,SUMMER,2024
COMM,203,192,13,6,2,1,2,24,3.125,0,0,0,0,0,24,AHMED A,ARTS & SCIENCES,SUMMER,2024
COMM,203,193,6,11,3,0,2,22,2.863,0,0,0,0,0,22,HEISE N,ARTS & SCIENCES,SUMMER,2024
COMM,203,194,21,1,0,0,1,23,3.782,0,0,0,1,0,24,LOPEZ J,ARTS & SCIENCES,SUMMER,2024
COMM,203,195,10,5,6,0,1,22,3.045,0,0,0,0,0,22,HOTZ A,ARTS & SCIENCES,SUMMER,2024
