Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
BUSH,602,600,11,4,0,0,0,15,0.000,0,0,0,2,0,17,RAISOR C,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
BUSH,631,601,15,3,1,0,0,19,3.736,1,0,0,0,0,20,CORTES K,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
BUSH,631,602,11,2,2,0,0,15,3.600,0,0,0,1,0,16,LAHEY J,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
BUSH,631,603,19,3,0,0,0,22,3.863,0,0,0,0,0,22,CORTES K,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
BUSH,631,604,10,3,1,0,1,15,3.400,0,0,0,0,0,15,LAHEY J,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
BUSH,631,607,16,3,0,0,0,19,3.842,0,0,0,0,0,19,DVIR R,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
BUSH,631,700,23,1,0,0,0,24,3.958,0,0,0,0,0,24,NAKAMURA B,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,603,601,9,0,0,0,0,9,4.000,0,0,0,0,0,9,NAPPER L,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,603,602,8,0,0,0,0,8,4.000,0,0,0,0,0,8,NAPPER L,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,604,600,5,7,0,0,0,12,3.416,0,0,0,0,0,12,TABAAR M,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,605,601,21,2,0,0,0,23,3.913,0,0,0,0,0,23,LAYNE C,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,605,602,18,6,0,0,0,24,3.750,0,0,0,0,0,24,TEAGUE A,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,605,700,6,5,0,0,0,11,3.545,1,0,0,2,0,14,TALBOT B,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,606,601,15,6,0,0,0,21,3.714,0,0,0,0,0,21,SCHUESSLER J,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,606,602,11,11,0,0,0,22,3.500,0,0,0,0,0,22,SCHUESSLER J,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,606,603,19,1,0,0,0,20,3.950,0,0,0,0,0,20,MARIN THORNTON G,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,606,604,8,1,1,0,0,10,3.700,0,0,0,0,0,10,WEBER Y,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,608,600,23,5,0,0,0,28,3.821,0,0,0,1,0,29,MU R,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,608,601,10,14,2,1,1,28,3.107,0,0,0,3,0,31,ROBERTSON R,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,608,602,20,9,0,0,0,29,3.689,0,0,0,0,0,29,MU R,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,608,603,8,1,0,0,0,9,3.888,0,0,0,0,1,10,ZONGYUAN L,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,609,600,11,3,0,0,0,14,3.785,1,0,0,0,0,15,SIEVERT R,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,612,600,10,3,0,0,0,13,3.769,0,0,0,1,0,14,SIEVERT R,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,623,600,14,2,0,0,0,16,3.875,1,0,0,2,0,19,LAYNE C,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,635,600,15,3,0,0,0,18,3.833,0,0,0,0,1,19,NATSIOS A,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,644,600,12,1,0,0,0,13,3.923,0,0,0,0,0,13,HAMIE C,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,645,600,25,0,0,0,0,25,4.000,0,0,0,0,0,25,HUDSON V,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,646,600,14,3,0,0,0,17,3.823,0,0,0,0,1,18,HUDSON V,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,648,600,16,3,0,0,0,19,3.842,0,0,0,0,0,19,HUANG R,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,651,700,8,2,0,0,0,10,3.800,0,0,0,0,0,10,RUSSELL R,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,652,600,12,7,0,0,0,19,3.631,1,0,0,0,0,20,OLSON J,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,652,700,8,3,0,0,0,11,3.727,0,0,0,0,0,11,RUSSELL R,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,653,700,4,1,0,0,0,5,3.800,0,0,0,0,0,5,DALY S,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,657,600,12,4,0,0,1,17,3.529,0,0,0,0,0,17,HOWELL M,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
INTA,659,600,15,3,0,0,0,18,3.833,1,0,0,0,0,19,HUANG R,BUSH SCHOOL OF GOV & PUB SERV,FALL,2021
