Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
BUSH,631,700,16,1,1,0,1,19,3.631,0,0,0,0,0,19,BULLOCK J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
BUSH,635,601,8,6,2,1,1,18,3.055,0,0,0,0,0,18,LAHEY J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
BUSH,635,602,10,6,0,0,0,16,3.625,0,0,0,0,2,18,CORTES K,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
BUSH,635,603,13,3,2,0,0,18,3.611,1,0,0,0,0,19,MU R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,603,700,8,1,0,0,1,10,3.500,0,0,0,0,0,10,RUSSELL R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,604,700,8,2,0,0,0,10,3.800,0,0,0,0,0,10,TALBOT B,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,605,601,9,3,0,0,0,12,3.750,0,0,0,0,1,13,BARTEL M,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,605,602,10,0,0,0,0,10,4.000,1,0,0,0,0,11,LAYNE C,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,605,700,4,2,0,0,0,6,3.666,0,0,0,0,0,6,TALBOT B,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,606,600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,LAYNE C,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,608,600,24,0,0,0,0,24,4.000,0,0,0,0,0,24,CASTELLANOS SOSA F,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,608,601,9,0,0,0,0,9,4.000,0,0,0,0,0,9,CASTELLANOS SOSA F,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,613,601,8,1,0,0,0,9,3.888,0,0,0,0,0,9,NAPPER L,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,613,602,5,4,0,0,0,9,3.555,0,0,0,0,0,9,NAPPER L,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,621,600,12,2,0,0,0,14,3.857,0,0,0,0,0,14,LEE J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,630,600,3,2,0,0,0,5,3.600,0,0,0,0,0,5,SERRA D,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,632,600,9,2,0,0,0,11,3.818,0,0,0,0,0,11,MU R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,636,600,17,3,0,0,0,20,3.850,0,0,0,0,0,20,NATSIOS A,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,638,601,7,1,0,0,1,9,3.444,0,0,0,0,0,9,GOTTLIEB J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,640,600,4,3,0,0,0,7,3.571,0,0,0,0,0,7,SNIDER E,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,643,600,10,2,0,0,0,12,3.833,0,0,0,0,0,12,HAMIE C,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,647,600,14,3,0,0,0,17,3.823,0,0,0,0,0,17,HUANG R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,651,700,12,4,0,0,0,16,3.750,0,0,0,0,0,16,RUSSELL R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,652,600,16,6,0,0,0,22,3.727,0,0,0,0,0,22,OLSON J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,652,700,8,5,0,0,0,13,3.615,0,0,0,0,0,13,DALY S,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,654,700,6,3,0,0,1,10,3.300,0,0,0,0,0,10,BLACKWELL J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,655,600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,MARIN THORNTON G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,657,600,16,3,0,0,0,19,3.842,0,0,0,0,0,19,HOWELL M,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,659,600,11,5,0,0,0,16,3.687,1,0,0,0,0,17,HUANG R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,661,600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,MARIN THORNTON G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,670,600,6,1,0,0,0,7,3.857,0,0,0,0,0,7,NORRIS W,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,670,601,7,0,0,0,0,7,4.000,0,0,0,0,0,7,ROSS A,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,670,602,8,0,0,0,0,8,4.000,0,0,0,0,0,8,CASTILLO J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,670,603,8,0,0,0,0,8,4.000,0,0,0,0,0,8,THOROUGHMAN K,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
INTA,670,605,7,0,0,0,0,7,4.000,0,0,0,0,0,7,MACWILLIE D,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2020
