Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
BUSH,101,501,15,1,1,0,0,17,3.823,0,0,0,0,0,17,SHANDLEY R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
BUSH,489,501,7,4,0,0,0,11,3.636,0,0,0,0,0,11,SEAWORTH A,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
BUSH,631,700,21,2,0,0,0,23,3.913,0,0,0,0,0,23,CORTES K,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
BUSH,632,600,20,1,0,0,0,21,3.952,0,0,0,0,0,21,DVIR R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
BUSH,635,601,4,11,1,0,0,16,3.187,0,0,0,0,0,16,MORALES-ARILLA J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
BUSH,635,602,6,7,1,0,1,15,3.133,0,0,0,1,0,16,LAHEY J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,302,500,15,19,4,1,0,39,3.230,0,0,0,0,0,39,HELMS B,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,603,700,5,0,0,0,1,6,3.333,0,0,0,0,0,6,RUSSELL R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,604,700,5,2,0,0,0,7,3.714,0,0,0,0,0,7,RUSSELL R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,605,601,12,2,0,0,0,14,3.857,0,0,0,0,0,14,LAYNE C,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,605,602,14,0,0,0,0,14,4.000,1,0,0,0,0,15,LAYNE C,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,605,603,10,3,0,0,0,13,3.769,0,0,0,0,0,13,BARTEL M,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,605,651,12,0,0,0,0,12,4.000,2,0,0,0,1,15,LEMON E,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,606,600,7,4,0,0,0,11,3.636,0,0,0,0,0,11,CHINCHILLA A,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,606,651,12,1,0,0,0,13,3.923,0,0,0,0,0,13,SHYNKARUK K,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,607,650,6,0,0,0,0,6,4.000,0,0,0,0,0,6,LEMON E,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,608,601,11,4,2,0,0,17,3.529,0,0,0,4,7,28,ROBERTSON R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,608,650,20,1,0,0,0,21,3.952,0,0,0,0,0,21,SHIM G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,613,601,7,9,0,0,0,16,3.437,0,0,0,0,0,16,HENNESSEY-NILAND J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,616,601,8,4,0,0,0,12,3.666,0,0,0,0,0,12,MU R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,617,601,18,3,0,0,0,21,3.857,0,0,0,1,0,22,CASTILLO J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,630,600,4,1,1,0,0,6,3.500,0,0,0,1,0,7,SERRA D,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,636,600,7,3,0,0,0,10,3.700,0,0,0,0,0,10,NATSIOS A,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,643,600,4,1,0,0,0,5,3.800,0,0,0,0,0,5,BEARCE D,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,650,650,5,0,0,0,0,5,4.000,0,0,0,0,0,5,ZAID M,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,651,700,7,3,0,1,1,12,3.166,0,0,0,0,0,12,SMITH J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,652,600,32,0,0,0,0,32,4.000,0,0,0,0,0,32,VOGLE G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,652,650,9,2,0,0,0,11,3.818,1,0,0,0,1,13,ROSS G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,652,700,2,3,1,0,2,8,2.375,0,0,0,0,0,8,DALY S,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,654,700,5,1,0,0,1,7,3.285,0,0,0,0,0,7,BLACKWELL J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,655,600,15,0,0,0,0,15,4.000,0,0,0,0,0,15,MARIN THORNTON G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,661,600,23,0,0,0,0,23,4.000,0,0,0,0,0,23,MARIN THORNTON G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,670,600,6,2,0,0,0,8,3.750,0,0,0,0,0,8,NORRIS W,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,670,601,4,2,0,0,0,6,3.666,0,0,0,0,0,6,MU R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,670,602,6,0,0,0,0,6,4.000,0,0,0,0,0,6,CASTILLO J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,670,603,6,0,0,0,0,6,4.000,0,0,0,0,0,6,THOROUGHMAN K,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,670,604,5,2,0,0,0,7,3.714,0,0,0,0,0,7,MORALES-ARILLA J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,670,609,6,1,0,0,0,7,3.857,0,0,0,0,0,7,HAMIE C,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,670,610,7,0,0,0,0,7,4.000,0,0,0,0,0,7,NATSIOS A,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,670,612,9,1,0,0,0,10,3.900,0,0,0,0,0,10,JACKSON M,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,670,613,7,0,0,0,0,7,4.000,0,0,0,0,0,7,SIEVERT R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,670,650,7,0,0,0,0,7,4.000,0,0,0,0,0,7,ROSS G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,672,650,8,0,0,0,0,8,4.000,0,0,0,0,0,8,SHIM G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,680,651,6,3,0,0,0,9,3.666,0,0,0,0,1,10,DALY S,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,680,700,4,1,0,0,0,5,3.800,0,0,0,0,0,5,SMITH J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,685,601,12,0,0,0,0,12,4.000,4,0,0,0,1,17,CASTILLO J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,601,13,0,0,0,0,13,4.000,0,0,0,0,0,13,LEE S,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,602,15,10,0,0,0,25,3.600,0,0,0,0,0,25,HENNESSEY-NILAND J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,603,10,3,0,0,0,13,3.769,0,0,0,0,0,13,CHINCHILLA A,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,604,11,3,0,0,0,14,3.785,0,0,0,0,0,14,BROWN G,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,606,21,3,0,0,0,24,3.875,0,0,0,0,0,24,TEAGUE A,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,608,3,2,0,0,0,5,3.600,0,0,0,0,0,5,YOUNG M,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,609,5,1,0,0,0,6,3.833,0,0,0,0,0,6,DENLY M,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,610,5,0,0,0,0,5,4.000,0,0,0,0,0,5,ZARATE BARRERA T,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,611,15,1,0,0,0,16,3.937,0,0,0,0,0,16,JACKSON M,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,612,17,1,0,0,0,18,3.944,0,0,0,0,0,18,LAURIENTI J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,614,5,1,0,0,0,6,3.833,0,0,0,0,0,6,GOLSAN R,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,615,12,2,0,0,0,14,3.857,0,0,0,0,0,14,FISCHER K,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,650,7,2,0,0,0,9,3.777,0,0,0,0,0,9,VINCENT K,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,651,4,5,0,0,0,9,3.444,0,0,0,0,0,9,TRIPLETT H,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,689,657,16,0,0,0,0,16,4.000,0,0,0,0,0,16,CARR J,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,698,600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,THOROUGHMAN K,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,698,650,10,0,0,0,0,10,4.000,0,0,0,0,0,10,DALY S,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
INTA,703,601,10,4,0,0,0,14,3.714,0,0,0,0,0,14,HAMIE C,BUSH SCHOOL OF GOV & PUB SERV,SPRING,2024
