Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
INTA,603,700,5,1,0,1,0,7,3.428,0,0,0,0,0,7,RUSSELL R,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
INTA,605,700,4,2,0,0,0,6,3.666,0,0,0,0,0,6,TALBOT B,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
INTA,617,100,10,0,0,0,0,10,4.000,2,0,0,0,0,12,CASTILLO J,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
INTA,651,700,10,4,0,0,1,15,3.466,0,0,0,0,0,15,RUSSELL R,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
INTA,680,700,4,3,0,0,1,8,3.125,0,0,0,0,0,8,SMITH J,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
INTA,689,100,8,1,0,0,0,9,3.888,0,0,0,0,0,9,MCLAUGHLIN J,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
INTA,689,700,3,2,0,0,0,5,3.600,0,0,0,0,0,5,HAMIE C,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,601,700,16,4,0,0,0,20,3.800,0,0,0,0,0,20,SMITH S,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,601,701,17,1,0,0,0,18,3.944,1,0,0,0,0,19,GRAHAM C,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,616,700,12,0,0,0,0,12,4.000,1,0,0,0,0,13,ASHLEY F,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,620,700,11,0,0,0,0,11,4.000,0,0,0,0,0,11,MILESKI J,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,621,700,5,2,0,0,0,7,3.714,0,0,0,0,0,7,BULLOCK J,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,623,700,11,5,0,1,0,17,3.529,0,0,0,0,0,17,LITTLE C,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,630,700,11,10,2,0,0,23,3.391,0,0,0,0,0,23,MARCHBANKS M,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,634,700,12,4,0,0,0,16,3.750,0,0,0,0,0,16,GREER R,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,636,700,13,1,0,0,0,14,3.928,0,0,0,1,0,15,LUM J,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,643,700,7,6,0,0,1,14,3.285,0,0,0,0,0,14,TAYLOR K,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,644,700,14,4,0,0,1,19,3.578,0,0,0,1,0,20,SEAWORTH A,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,648,700,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MORRISON J,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,651,700,12,1,0,0,0,13,3.923,0,0,0,1,0,14,DWYER W,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,654,700,7,0,1,0,0,8,3.750,0,0,0,0,0,8,BAILEY M,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,656,700,8,2,0,0,0,10,3.800,0,0,0,0,0,10,ROLLINS J,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,675,700,10,3,0,0,0,13,3.769,0,0,0,0,0,13,DAVIS D,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
PSAA,675,701,10,0,0,0,0,10,4.000,0,0,0,0,0,10,NAKAMURA B,BUSH SCHOOL OF GOV & PUB SERV,SUMMER,2019
