Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
AEGD,601,600,2,4,0,0,0,6,0.000,0,0,0,0,0,6,KORMAS I,DENTISTRY-SCHOOL,FALL,2023
AEGD,611,600,5,1,0,0,0,6,3.833,0,0,0,0,0,6,SEYED SADRKHANI S,DENTISTRY-SCHOOL,FALL,2023
AEGD,616,600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,KORMAS I,DENTISTRY-SCHOOL,FALL,2023
AEGD,619,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HENNESSY B,DENTISTRY-SCHOOL,FALL,2023
AEGD,625,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HENNESSY B,DENTISTRY-SCHOOL,FALL,2023
OMFS,610,600,9,0,0,0,0,9,4.000,1,0,0,0,0,10,HENDERSON B,DENTISTRY-SCHOOL,FALL,2023
OMFS,650,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,READ FULLER A,DENTISTRY-SCHOOL,FALL,2023
ORTH,602,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,POLSON J,DENTISTRY-SCHOOL,FALL,2023
ORTH,606,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,PARK Y,DENTISTRY-SCHOOL,FALL,2023
ORTH,608,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,PARK Y,DENTISTRY-SCHOOL,FALL,2023
ORTH,610,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,JACOB H,DENTISTRY-SCHOOL,FALL,2023
ORTH,613,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,KESTERKE M,DENTISTRY-SCHOOL,FALL,2023
ORTH,614,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY-SCHOOL,FALL,2023
ORTH,616,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY-SCHOOL,FALL,2023
ORTH,618,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY-SCHOOL,FALL,2023
ORTH,622,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY-SCHOOL,FALL,2023
ORTH,625,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY-SCHOOL,FALL,2023
ORTH,628,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY-SCHOOL,FALL,2023
ORTH,630,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY-SCHOOL,FALL,2023
ORTH,635,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,KESTERKE M,DENTISTRY-SCHOOL,FALL,2023
ORTH,638,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,KESTERKE M,DENTISTRY-SCHOOL,FALL,2023
ORTH,642,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY-SCHOOL,FALL,2023
ORTH,648,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY-SCHOOL,FALL,2023
ORTH,651,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY-SCHOOL,FALL,2023
ORTH,654,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY-SCHOOL,FALL,2023
ORTH,660,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,KESTERKE M,DENTISTRY-SCHOOL,FALL,2023
PEDD,612,600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,KERINS C,DENTISTRY-SCHOOL,FALL,2023
PEDD,615,600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,KERINS C,DENTISTRY-SCHOOL,FALL,2023
PEDD,622,600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,KERINS C,DENTISTRY-SCHOOL,FALL,2023
PEDD,625,600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,KERINS C,DENTISTRY-SCHOOL,FALL,2023
PERI,650,600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,PARRA CARRASQUER C,DENTISTRY-SCHOOL,FALL,2023
PERI,661,600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,PARRA CARRASQUER C,DENTISTRY-SCHOOL,FALL,2023
OBIO,610,600,18,1,0,0,0,19,3.947,0,0,0,0,0,19,SVOBODA K,DENTISTRY-SCHOOL,FALL,2023
OBIO,611,600,34,0,0,0,0,34,4.000,0,0,0,0,0,34,KESTERKE M,DENTISTRY-SCHOOL,FALL,2023
OBIO,630,600,17,2,0,0,0,19,3.904,0,0,0,0,0,19,RUEST L,DENTISTRY-SCHOOL,FALL,2023
OBIO,631,600,21,3,0,0,0,24,3.884,0,0,0,0,0,24,RUEST L,DENTISTRY-SCHOOL,FALL,2023
OBIO,674,600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,NEWMAN J,DENTISTRY-SCHOOL,FALL,2023
OBIO,677,600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,RUEST L,DENTISTRY-SCHOOL,FALL,2023
OBIO,688,600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,RUEST L,DENTISTRY-SCHOOL,FALL,2023
