Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
AEGD,604,600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,TRYON K,DENTISTRY-SCHOOL,SPRING,2024
AEGD,607,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,MILLER A,DENTISTRY-SCHOOL,SPRING,2024
AEGD,620,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HENNESSY B,DENTISTRY-SCHOOL,SPRING,2024
AEGD,626,601,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HENNESSY B,DENTISTRY-SCHOOL,SPRING,2024
AEGD,689,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,SEYED SADRKHANI S,DENTISTRY-SCHOOL,SPRING,2024
OMFP,619,600,9,9,1,0,0,19,3.421,1,0,0,0,0,20,FERREIRA CABIDO M,DENTISTRY-SCHOOL,SPRING,2024
OMFR,611,600,29,0,0,0,0,29,4.000,0,0,0,0,0,29,NAIR M,DENTISTRY-SCHOOL,SPRING,2024
OMFS,625,600,17,0,0,0,0,17,4.000,0,0,0,0,0,17,READ FULLER A,DENTISTRY-SCHOOL,SPRING,2024
OMFS,650,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,READ FULLER A,DENTISTRY-SCHOOL,SPRING,2024
ORTH,600,600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,TAYLOR R,DENTISTRY-SCHOOL,SPRING,2024
ORTH,611,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,JACOB H,DENTISTRY-SCHOOL,SPRING,2024
ORTH,612,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,MURCHISON D,DENTISTRY-SCHOOL,SPRING,2024
ORTH,615,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY-SCHOOL,SPRING,2024
ORTH,617,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY-SCHOOL,SPRING,2024
ORTH,619,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY-SCHOOL,SPRING,2024
ORTH,623,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY-SCHOOL,SPRING,2024
ORTH,626,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY-SCHOOL,SPRING,2024
ORTH,629,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY-SCHOOL,SPRING,2024
ORTH,631,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY-SCHOOL,SPRING,2024
ORTH,632,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,KESTERKE M,DENTISTRY-SCHOOL,SPRING,2024
ORTH,633,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,KESTERKE M,DENTISTRY-SCHOOL,SPRING,2024
ORTH,636,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,KESTERKE M,DENTISTRY-SCHOOL,SPRING,2024
ORTH,641,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY-SCHOOL,SPRING,2024
ORTH,645,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,KESTERKE M,DENTISTRY-SCHOOL,SPRING,2024
ORTH,649,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY-SCHOOL,SPRING,2024
ORTH,652,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY-SCHOOL,SPRING,2024
ORTH,655,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY-SCHOOL,SPRING,2024
PEDD,613,600,10,0,0,0,0,10,4.000,1,0,0,0,0,11,KERINS C,DENTISTRY-SCHOOL,SPRING,2024
PEDD,616,600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,KERINS C,DENTISTRY-SCHOOL,SPRING,2024
PEDD,623,600,5,5,0,0,0,10,3.500,1,0,0,0,0,11,KERINS C,DENTISTRY-SCHOOL,SPRING,2024
PEDD,626,600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,KERINS C,DENTISTRY-SCHOOL,SPRING,2024
PERI,662,600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,SEIFIKAR S,DENTISTRY-SCHOOL,SPRING,2024
OBIO,621,600,26,6,3,0,0,35,3.657,0,0,0,0,0,35,UMORIN M,DENTISTRY-SCHOOL,SPRING,2024
OBIO,641,600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,WANG X,DENTISTRY-SCHOOL,SPRING,2024
OBIO,673,600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,HONEYMAN A,DENTISTRY-SCHOOL,SPRING,2024
