Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
OBIO,610,600,12,0,0,0,0,12,4.000,0,0,0,0,0,12,LIU X,DENTISTRY,FALL,2020
OBIO,611,600,20,7,0,0,0,27,3.740,0,0,0,0,0,27,BUSCHANG P,DENTISTRY,FALL,2020
OBIO,630,600,14,2,0,0,0,16,3.875,0,0,0,0,0,16,RUEST L,DENTISTRY,FALL,2020
OBIO,631,600,18,2,0,0,0,20,3.900,0,0,0,0,0,20,RUEST L,DENTISTRY,FALL,2020
OBIO,674,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,NEWMAN J,DENTISTRY,FALL,2020
PROS,647,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,CHO S,DENTISTRY,FALL,2020
OMFS,610,600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,HENDERSON B,DENTISTRY,FALL,2020
OMFS,650,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,REDDY L,DENTISTRY,FALL,2020
ORTH,602,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,POLSON J,DENTISTRY,FALL,2020
ORTH,606,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,PARK Y,DENTISTRY,FALL,2020
ORTH,608,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,PARK Y,DENTISTRY,FALL,2020
ORTH,610,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,JACOB H,DENTISTRY,FALL,2020
ORTH,613,600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,BUSCHANG P,DENTISTRY,FALL,2020
ORTH,614,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY,FALL,2020
ORTH,616,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY,FALL,2020
ORTH,618,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY,FALL,2020
ORTH,622,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY,FALL,2020
ORTH,625,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY,FALL,2020
ORTH,628,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY,FALL,2020
ORTH,630,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY,FALL,2020
ORTH,635,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P,DENTISTRY,FALL,2020
ORTH,638,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P,DENTISTRY,FALL,2020
ORTH,640,600,3,3,0,0,0,6,3.500,0,0,0,0,0,6,TAYLOR R,DENTISTRY,FALL,2020
ORTH,642,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY,FALL,2020
ORTH,648,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY,FALL,2020
ORTH,651,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY,FALL,2020
ORTH,654,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY,FALL,2020
PEDD,612,600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,KERINS C,DENTISTRY,FALL,2020
PEDD,615,600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,KERINS C,DENTISTRY,FALL,2020
PEDD,622,600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,KERINS C,DENTISTRY,FALL,2020
PEDD,625,600,12,0,0,0,0,12,4.000,0,0,0,0,0,12,KERINS C,DENTISTRY,FALL,2020
PERI,650,600,6,1,0,0,0,7,3.857,0,0,0,0,0,7,FALLAH ABED P,DENTISTRY,FALL,2020
