Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
OBIO,612,600,2,2,1,0,0,5,3.200,0,0,0,0,0,5,OPPERMAN L,DENTISTRY,SPRING,2022
OBIO,621,600,18,11,3,0,0,32,3.468,0,0,0,0,0,32,SCHNEIDERMAN E,DENTISTRY,SPRING,2022
OBIO,640,600,4,1,0,0,0,5,3.800,0,0,0,0,0,5,LU Y,DENTISTRY,SPRING,2022
OBIO,641,600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,WANG X,DENTISTRY,SPRING,2022
OBIO,673,600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,HONEYMAN A,DENTISTRY,SPRING,2022
OBIO,687,600,4,0,0,0,1,5,3.304,0,0,0,0,0,5,RUEST L,DENTISTRY,SPRING,2022
AEGD,602,600,8,0,0,0,0,8,0.000,0,0,0,0,0,8,ZANDINEJAD A,DENTISTRY,SPRING,2022
AEGD,604,600,15,0,0,0,0,15,4.000,0,0,0,0,0,15,ZANDINEJAD A,DENTISTRY,SPRING,2022
AEGD,611,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A,DENTISTRY,SPRING,2022
AEGD,617,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A,DENTISTRY,SPRING,2022
AEGD,620,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A,DENTISTRY,SPRING,2022
AEGD,625,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A,DENTISTRY,SPRING,2022
PROS,644,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,CHO S,DENTISTRY,SPRING,2022
PROS,647,600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,CHO S,DENTISTRY,SPRING,2022
OMFP,619,600,16,6,0,0,0,22,3.727,0,0,0,0,0,22,WOO V,DENTISTRY,SPRING,2022
OMFR,611,600,32,0,0,0,0,32,4.000,0,0,0,0,0,32,NAIR M,DENTISTRY,SPRING,2022
OMFS,625,600,23,0,0,0,0,23,4.000,0,0,0,0,0,23,READ FULLER A,DENTISTRY,SPRING,2022
OMFS,650,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,READ FULLER A,DENTISTRY,SPRING,2022
ORTH,600,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY,SPRING,2022
ORTH,611,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,JACOB H,DENTISTRY,SPRING,2022
ORTH,612,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,MURCHISON D,DENTISTRY,SPRING,2022
ORTH,615,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY,SPRING,2022
ORTH,617,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY,SPRING,2022
ORTH,619,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY,SPRING,2022
ORTH,623,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY,SPRING,2022
ORTH,626,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY,SPRING,2022
ORTH,629,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY,SPRING,2022
ORTH,631,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY,SPRING,2022
ORTH,632,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P,DENTISTRY,SPRING,2022
ORTH,633,600,5,1,0,0,0,6,3.833,0,0,0,0,0,6,BUSCHANG P,DENTISTRY,SPRING,2022
ORTH,636,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P,DENTISTRY,SPRING,2022
ORTH,641,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TAYLOR R,DENTISTRY,SPRING,2022
ORTH,645,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P,DENTISTRY,SPRING,2022
ORTH,649,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY,SPRING,2022
ORTH,652,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY,SPRING,2022
ORTH,655,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY,SPRING,2022
PEDD,613,600,10,0,0,0,0,10,4.000,1,0,0,0,0,11,KERINS C,DENTISTRY,SPRING,2022
PEDD,616,600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,KERINS C,DENTISTRY,SPRING,2022
PEDD,623,600,10,0,0,0,0,10,4.000,1,0,0,0,0,11,KERINS C,DENTISTRY,SPRING,2022
PEDD,626,600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,KERINS C,DENTISTRY,SPRING,2022
