Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
OBIO,660,600,18,0,0,0,0,18,4.000,0,0,0,0,0,18,KABANI F,DENTISTRY,SUMMER,2020
OBIO,670,600,10,0,0,0,0,10,4.000,1,0,0,0,0,11,REUBEN J,DENTISTRY,SUMMER,2020
OBIO,672,600,17,0,0,0,0,17,4.000,0,0,0,0,0,17,WANG Q,DENTISTRY,SUMMER,2020
AEGD,600,600,8,0,0,0,0,8,0.000,0,0,0,0,0,8,ZANDINEJAD A,DENTISTRY,SUMMER,2020
AEGD,615,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A,DENTISTRY,SUMMER,2020
AEGD,618,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,ZANDINEJAD A,DENTISTRY,SUMMER,2020
OMFS,650,600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,REDDY L,DENTISTRY,SUMMER,2020
ORTH,601,600,6,0,0,0,0,6,0.000,0,0,0,0,0,6,POLSON J,DENTISTRY,SUMMER,2020
ORTH,621,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY,SUMMER,2020
ORTH,624,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY,SUMMER,2020
ORTH,627,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,TADLOCK L,DENTISTRY,SUMMER,2020
ORTH,634,600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,BUSCHANG P,DENTISTRY,SUMMER,2020
ORTH,637,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P,DENTISTRY,SUMMER,2020
ORTH,644,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,BUSCHANG P,DENTISTRY,SUMMER,2020
ORTH,646,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY,SUMMER,2020
ORTH,647,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY,SUMMER,2020
ORTH,650,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY,SUMMER,2020
ORTH,653,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GLENN G,DENTISTRY,SUMMER,2020
PEDD,611,600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,KERINS C,DENTISTRY,SUMMER,2020
PEDD,614,600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,KERINS C,DENTISTRY,SUMMER,2020
PEDD,621,600,9,0,0,0,0,9,4.000,1,0,0,0,0,10,KERINS C,DENTISTRY,SUMMER,2020
PEDD,624,600,12,0,0,0,0,12,4.000,0,0,0,0,0,12,KERINS C,DENTISTRY,SUMMER,2020
