Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
CEHD,603,600,9,1,0,0,0,10,3.900,0,0,0,0,0,10,GOODSON P,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,601,601,14,1,0,0,0,15,3.933,0,0,0,1,0,16,HAYNES DAVISON C,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,605,700,8,1,0,0,0,9,3.888,0,0,0,0,0,9,HOLLEY S,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,606,700,9,0,0,0,0,9,4.000,0,0,0,0,0,9,FAHRENWALD C,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,606,701,36,3,1,0,0,40,3.875,0,0,0,0,0,40,FAHRENWALD C,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,608,700,6,3,1,0,0,10,3.500,0,0,0,0,0,10,SAAVEDRA A,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,610,600,15,0,0,0,0,15,4.000,0,0,0,0,0,15,BROWN J,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,611,600,12,4,0,0,0,16,3.750,4,0,0,0,0,20,MUSOBA G,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,618,600,11,0,0,0,1,12,3.666,0,0,0,0,0,12,LECHUGA V,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,623,600,15,0,0,0,0,15,4.000,0,0,0,0,0,15,ROUMELL E,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,624,700,10,0,0,0,0,10,4.000,0,0,0,0,0,10,FAHRENWALD C,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,631,600,14,0,0,0,0,14,4.000,0,0,0,0,0,14,MUSOBA G,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,638,701,43,7,0,0,0,50,3.860,0,0,0,0,0,50,WEBB-JOHNSON G,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,639,600,9,2,0,0,0,11,3.818,0,0,0,1,0,12,LECHUGA V,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,639,601,12,1,0,0,0,13,3.923,0,0,0,1,0,14,JAMES GALLAWAY C,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,639,700,19,0,0,0,0,19,4.000,0,0,0,0,0,19,FAHRENWALD C,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,650,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,STANLEY C,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,655,600,15,2,0,0,0,17,3.882,0,0,0,0,0,17,STANLEY C,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,669,600,7,5,0,0,0,12,3.583,0,0,0,0,0,12,SALAZAR C,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,683,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,BAILEY K,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EDAD,689,601,13,1,0,0,0,14,3.928,0,0,0,0,0,14,MUSOBA G,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,203,501,33,8,0,1,0,42,3.738,0,0,0,0,0,42,COLE S,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,210,500,36,3,0,0,0,39,3.923,0,0,0,0,0,39,COLE S,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,210,597,17,15,8,0,0,40,3.225,0,0,0,0,0,40,MCNAUGHTEN D,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,315,500,21,10,3,1,0,35,3.457,0,0,0,0,0,35,MARK C,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,315,597,24,15,2,0,0,41,3.536,0,0,0,0,0,41,MARK C,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,371,700,8,11,4,0,1,24,3.041,0,0,0,0,0,24,SANDLIN J,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,371,701,5,3,0,0,0,8,3.625,0,0,0,1,18,27,RICKETTS C,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,371,901,22,6,1,0,0,29,3.724,0,0,0,1,0,30,HWANG J,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,371,902,25,2,1,0,2,30,3.600,0,0,0,0,0,30,ZADEGH ABADI M,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,372,500,38,0,1,0,0,39,3.948,0,0,0,0,0,39,MUYIA M,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,372,501,16,4,0,0,1,21,3.619,0,0,0,0,0,21,MUYIA M,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,372,569,38,5,0,0,1,44,3.795,0,0,0,0,0,44,MUYIA M,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,374,599,29,10,5,0,0,44,3.545,0,0,0,0,0,44,MUYIA M,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,391,501,14,15,5,0,0,34,3.264,0,0,0,5,1,40,SANDLIN J,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,391,502,3,19,11,1,1,35,2.628,0,0,0,5,0,40,SANDLIN J,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,405,599,40,11,1,0,0,52,3.750,0,0,0,0,0,52,FERGUSON-CAMMARATA,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,408,500,36,2,0,1,0,39,3.871,0,0,0,0,0,39,COLE S,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,408,550,17,9,4,1,0,31,3.354,0,0,0,0,0,31,SANDLIN J,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,413,200,5,0,0,0,0,5,4.000,0,0,0,0,0,5,IRELAND J,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,413,500,23,0,0,0,1,24,3.833,0,0,0,1,1,26,IRELAND J,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,413,501,26,2,1,0,0,29,3.862,0,0,0,1,0,30,IRELAND J,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,477,599,31,13,2,0,0,46,3.630,0,0,0,0,0,46,SMITH B,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
EHRD,481,500,40,3,3,0,0,46,3.804,0,0,0,0,0,46,FOWLER R,EDUCATION & HUMAN DEVELOPMENT,FALL,2021
