Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
CEHD,603,600,7,2,0,0,0,9,3.777,0,0,0,0,0,9,GOODSON P,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,601,600,6,3,0,0,0,9,3.666,0,0,0,1,0,10,PONJUAN L,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,603,600,12,2,0,0,0,14,3.857,0,0,0,0,0,14,SALAZAR C,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,608,700,36,3,0,0,0,39,3.923,1,0,0,0,0,40,SAAVEDRA A,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,609,700,9,2,0,0,0,11,3.818,0,0,0,0,0,11,HILL-JACKSON V,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,609,701,39,0,0,0,0,39,4.000,0,0,0,1,0,40,ABDELRAHMAN N,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,610,600,11,1,0,0,0,12,3.916,0,0,0,0,0,12,BROWN J,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,611,602,18,2,0,0,0,20,3.900,0,0,0,0,0,20,MUSOBA G,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,612,600,12,1,1,0,0,14,3.785,0,0,0,0,0,14,LECHUGA V,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,624,700,39,0,0,0,0,39,4.000,0,0,0,1,0,40,FAHRENWALD C,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,629,600,17,1,0,0,0,18,3.944,0,0,0,0,0,18,STANLEY C,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,637,700,9,0,0,0,0,9,4.000,0,0,0,0,0,9,WEBB-JOHNSON G,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,638,700,18,0,0,0,0,18,4.000,0,0,0,0,0,18,JAMES GALLAWAY C,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,639,700,5,0,0,0,0,5,4.000,0,0,0,0,0,5,FAHRENWALD C,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,650,600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,BAILEY K,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
EDAD,653,600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,MUSOBA G,EDUCATION & HUMAN DEVELOPMENT,SPRING,2022
