Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
CEHD,603,100,5,0,0,0,0,5,4.000,0,0,0,0,0,5,GOODSON P,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EDAD,606,700,28,0,0,0,0,28,4.000,0,0,0,0,0,28,FAHRENWALD C,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EDAD,608,700,28,0,0,0,0,28,4.000,0,0,0,0,0,28,POENITZSCH N,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EDAD,609,700,46,0,0,0,0,46,4.000,0,0,0,0,0,46,POENITZSCH N,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EDAD,609,701,12,0,0,0,0,12,4.000,0,0,0,0,0,12,POENITZSCH N,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EDAD,619,300,10,1,0,0,0,11,3.909,0,0,0,1,0,12,WEBB-JOHNSON G,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EDAD,623,300,15,0,0,0,0,15,4.000,0,0,0,0,0,15,HASTINGS C,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EDAD,624,700,46,0,0,0,0,46,4.000,0,0,0,0,0,46,FAHRENWALD C,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EDAD,635,700,12,0,0,0,0,12,4.000,0,0,0,0,0,12,DIXON N,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EDAD,637,700,11,1,0,0,0,12,3.916,0,0,0,0,0,12,LUEVANOS E,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EDAD,638,700,43,3,0,0,0,46,3.934,0,0,0,0,0,46,WEBB-JOHNSON G,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EDAD,669,100,9,0,0,0,0,9,4.000,0,0,0,0,0,9,BAILEY K,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EDAD,687,700,50,0,0,0,0,50,4.000,3,0,0,0,0,53,DIXON N,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,203,700,22,5,0,0,0,27,3.814,0,0,0,0,0,27,FOWLER R,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,210,700,10,7,2,2,0,21,3.190,0,0,0,0,0,21,MARK C,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,315,700,9,7,1,0,0,17,3.470,0,0,0,0,0,17,MARK C,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,371,700,16,7,0,0,0,23,3.695,0,0,0,1,0,24,BAILEY K,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,372,700,19,2,0,0,1,22,3.727,0,0,0,1,0,23,MUYIA M,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,374,700,13,5,1,2,1,22,3.227,0,0,0,0,0,22,MUYIA M,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,391,700,1,4,12,4,3,24,1.833,0,0,0,0,0,24,SANDLIN J,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,405,700,24,3,2,0,1,30,3.633,0,0,0,0,0,30,FERGUSON-CAMMARATA,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,408,700,14,8,1,0,1,24,3.416,0,0,0,0,0,24,SANDLIN J,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,477,700,16,0,0,0,0,16,4.000,0,0,0,0,0,16,SMITH B,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,481,100,17,1,1,0,0,19,3.842,0,0,0,0,0,19,FOWLER R,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,490,701,3,11,2,0,0,16,3.062,0,0,0,0,0,16,MUSOBA G,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,490,702,2,5,8,2,1,18,2.277,0,0,0,0,0,18,SANDLIN J,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,618,700,22,1,1,0,0,24,3.875,0,0,0,0,2,26,DIRANI K,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,622,700,21,1,0,0,0,22,3.954,0,0,0,0,0,22,WANG J,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,627,700,22,3,0,0,0,25,3.880,0,0,0,0,0,25,DIRANI K,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,630,700,26,0,0,0,0,26,4.000,0,0,0,0,0,26,ROUMELL E,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EHRD,689,100,16,0,0,0,0,16,4.000,0,0,0,0,0,16,BEYERLEIN M,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
TCMG,308,701,13,5,2,1,1,22,3.272,0,0,0,1,0,23,MAI B,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
TCMG,402,700,7,9,6,1,0,23,2.956,0,0,0,0,0,23,QUIROZ R,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
BIED,614,701,52,0,0,0,0,52,4.000,1,0,0,0,0,53,JIMENEZ D,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
BIED,614,702,9,0,0,0,0,9,4.000,2,0,0,0,0,11,JIMENEZ D,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
BIED,616,699,5,0,0,0,0,5,4.000,0,0,0,0,0,5,RIVERA H,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
BIED,616,700,15,0,0,0,0,15,4.000,0,0,0,0,0,15,RIVERA H,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
BIED,632,701,51,0,0,0,0,51,4.000,2,0,0,0,0,53,JIMENEZ D,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
CPSY,601,701,27,4,0,0,0,31,3.870,0,0,0,0,0,31,BLAKE J,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
CPSY,603,700,21,6,0,0,0,27,3.777,1,0,0,0,0,28,BLAKE J,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
CPSY,630,700,24,4,0,0,0,28,3.857,0,0,0,0,0,28,MCCORMICK A,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
CPSY,683,300,8,0,0,0,0,8,4.000,0,0,0,0,0,8,RIDLEY C,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
CPSY,683,343,5,1,0,0,0,6,3.916,0,0,0,0,0,6,MCCORD C,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
CPSY,689,700,23,4,0,0,0,27,3.851,0,0,0,0,0,27,MCCORMICK A,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EPSY,320,702,19,0,0,0,0,19,4.000,0,0,0,0,0,19,JUNTUNE J,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EPSY,431,700,28,3,2,0,2,35,3.571,0,0,0,0,0,35,RAMOS GARCIMARTIN H,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EPSY,435,700,31,4,5,0,1,41,3.560,0,0,0,0,0,41,RAMOS GARCIMARTIN H,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EPSY,435,701,31,3,4,0,2,40,3.525,0,0,0,0,0,40,RAMOS S,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EPSY,604,700,16,13,1,0,0,30,3.500,0,0,0,0,0,30,OJEDA L,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EPSY,618,299,5,1,0,0,0,6,3.833,0,0,0,0,1,7,RICCIO C,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EPSY,618,700,4,0,1,0,0,5,3.600,0,0,0,0,0,5,RICCIO C,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EPSY,621,199,12,0,0,0,0,12,4.000,0,0,0,0,0,12,RICCIO C,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
EPSY,622,700,19,1,0,0,1,21,3.761,0,0,0,0,0,21,RAMOS S,EDUCATION & HUMAN DEVELOPMENT,SUMMER,2019
