Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
AERO,201,200,4,5,1,0,0,10,3.300,0,0,0,0,0,10,BHARGAVA D,ENGINEERING,FALL,2023
AERO,201,501,21,16,4,1,0,42,3.357,0,0,0,0,0,42,BHARGAVA D,ENGINEERING,FALL,2023
AERO,201,502,19,11,3,1,1,35,3.314,0,0,0,0,0,35,BHARGAVA D,ENGINEERING,FALL,2023
AERO,201,503,5,22,5,1,0,33,2.939,0,0,0,0,0,33,VALASEK J,ENGINEERING,FALL,2023
AERO,201,504,10,14,9,0,1,34,2.941,0,0,0,0,0,34,VALASEK J,ENGINEERING,FALL,2023
AERO,201,505,6,18,8,1,0,33,2.878,0,0,0,0,0,33,VALASEK J,ENGINEERING,FALL,2023
AERO,211,200,26,2,2,0,0,30,3.800,0,0,0,0,0,30,MOBLE B,ENGINEERING,FALL,2023
AERO,211,500,50,14,3,0,0,67,3.701,0,0,0,0,0,67,MOBLE B,ENGINEERING,FALL,2023
AERO,211,501,44,27,4,0,0,75,3.533,0,0,0,0,0,75,SANJUAN MUNOZ J,ENGINEERING,FALL,2023
AERO,212,200,6,4,2,1,0,13,3.153,0,0,0,0,0,13,GROOT K,ENGINEERING,FALL,2023
AERO,212,500,34,8,3,0,0,45,3.688,0,0,0,0,0,45,GROOT K,ENGINEERING,FALL,2023
AERO,212,501,7,9,1,0,1,18,3.166,0,0,0,0,0,18,GROOT K,ENGINEERING,FALL,2023
AERO,212,502,12,9,1,0,0,22,3.500,0,0,0,0,0,22,GROOT K,ENGINEERING,FALL,2023
AERO,212,503,21,9,1,0,0,31,3.645,0,0,0,0,0,31,GROOT K,ENGINEERING,FALL,2023
AERO,212,504,25,11,0,0,0,36,3.694,0,0,0,0,0,36,GROOT K,ENGINEERING,FALL,2023
AERO,212,505,9,5,4,0,0,18,3.277,0,0,0,0,0,18,GROOT K,ENGINEERING,FALL,2023
AERO,214,500,4,11,3,0,1,19,2.894,0,0,0,0,0,19,TALREJA R,ENGINEERING,FALL,2023
AERO,214,501,4,10,5,0,0,19,2.947,0,0,0,1,0,20,TALREJA R,ENGINEERING,FALL,2023
AERO,214,502,3,9,4,0,0,16,2.937,0,0,0,0,0,16,TALREJA R,ENGINEERING,FALL,2023
AERO,214,550,11,0,0,0,0,11,4.000,0,0,0,0,0,11,TALREJA R,ENGINEERING,FALL,2023
AERO,222,500,2,16,12,0,0,30,2.666,0,0,0,5,0,35,WHITCOMB J,ENGINEERING,FALL,2023
AERO,222,501,4,0,6,0,0,10,2.800,0,0,0,3,0,13,WHITCOMB J,ENGINEERING,FALL,2023
AERO,301,500,18,22,14,3,1,58,2.913,0,0,0,0,0,58,TROPINA A,ENGINEERING,FALL,2023
AERO,303,200,7,2,0,0,0,9,3.777,0,0,0,1,0,10,GROOT K,ENGINEERING,FALL,2023
AERO,303,500,19,31,11,1,5,67,2.865,0,0,0,1,0,68,GROOT K,ENGINEERING,FALL,2023
AERO,303,501,30,39,22,3,1,95,2.989,0,0,0,1,0,96,JACKSON S,ENGINEERING,FALL,2023
AERO,304,200,6,1,1,0,0,8,3.625,0,0,0,2,0,10,WHITCOMB J,ENGINEERING,FALL,2023
AERO,304,500,26,23,16,10,0,75,2.866,0,0,0,3,0,78,WHITCOMB J,ENGINEERING,FALL,2023
AERO,304,501,12,48,12,1,2,75,2.893,0,0,0,6,0,81,LE GRAVEREND J,ENGINEERING,FALL,2023
AERO,306,500,60,8,1,1,1,71,3.760,3,0,0,1,0,75,STROUBOULIS T,ENGINEERING,FALL,2023
AERO,307,900,15,4,1,0,0,20,3.700,0,0,0,0,0,20,WHITE E,ENGINEERING,FALL,2023
AERO,307,904,7,11,0,0,0,18,3.388,0,0,0,2,0,20,WHITE E,ENGINEERING,FALL,2023
AERO,307,906,7,7,1,0,1,16,3.187,0,0,0,1,0,17,WHITE E,ENGINEERING,FALL,2023
AERO,307,908,7,12,1,0,0,20,3.300,0,0,0,0,0,20,WHITE E,ENGINEERING,FALL,2023
AERO,310,500,40,47,5,2,0,94,3.329,0,0,0,2,0,96,MAJJI M,ENGINEERING,FALL,2023
AERO,310,501,28,36,19,1,3,87,2.977,0,0,0,3,0,90,CHAKRAVORTY S,ENGINEERING,FALL,2023
AERO,321,500,8,22,33,4,4,71,2.366,0,0,0,11,0,82,VADALI S,ENGINEERING,FALL,2023
AERO,351,501,0,13,61,6,6,86,1.941,0,0,0,6,0,92,CIZMAS P,ENGINEERING,FALL,2023
AERO,351,502,2,7,17,1,1,28,2.285,0,0,0,1,0,29,CIZMAS P,ENGINEERING,FALL,2023
AERO,351,550,11,6,0,0,0,17,3.647,0,0,0,0,0,17,KARPETIS A,ENGINEERING,FALL,2023
AERO,401,900,60,14,0,0,0,74,3.810,0,0,0,0,0,74,BHARGAVA D,ENGINEERING,FALL,2023
AERO,401,932,55,17,0,0,0,72,3.763,0,0,0,0,0,72,GRINSTEAD J,ENGINEERING,FALL,2023
AERO,402,501,18,3,0,0,0,21,3.857,0,0,0,0,0,21,GRINSTEAD J,ENGINEERING,FALL,2023
AERO,402,502,14,0,0,0,0,14,4.000,0,0,0,0,0,14,SELVA VALERO D,ENGINEERING,FALL,2023
AERO,402,503,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HARTL D,ENGINEERING,FALL,2023
AERO,405,500,11,11,6,1,0,29,3.103,0,0,0,1,0,30,HARTL D,ENGINEERING,FALL,2023
AERO,413,501,39,44,10,1,0,94,3.287,0,0,0,1,0,95,NARAGHI M,ENGINEERING,FALL,2023
AERO,414,500,28,12,4,0,0,44,3.545,0,0,0,1,0,45,DIAZ ARTILES A,ENGINEERING,FALL,2023
AERO,419,500,23,44,4,0,0,71,3.267,0,0,0,0,0,71,KARPETIS A,ENGINEERING,FALL,2023
AERO,420,599,9,3,0,0,0,12,3.750,0,0,0,0,0,12,STRGANAC T,ENGINEERING,FALL,2023
AERO,422,500,50,32,8,3,0,93,3.387,1,0,0,0,0,94,BHATTACHARYA R,ENGINEERING,FALL,2023
AERO,423,200,4,1,0,0,0,5,3.800,0,0,0,0,0,5,CHAMITOFF G,ENGINEERING,FALL,2023
AERO,423,500,7,19,18,9,0,53,2.452,1,0,0,1,0,55,KELLY P,ENGINEERING,FALL,2023
AERO,423,501,56,25,6,1,2,90,3.466,0,0,0,0,0,90,CHAMITOFF G,ENGINEERING,FALL,2023
AERO,424,500,21,13,1,0,0,35,3.571,1,0,0,2,10,48,ALFRIEND K,ENGINEERING,FALL,2023
AERO,430,500,54,1,3,0,0,58,3.879,1,0,0,0,0,59,STROUBOULIS T,ENGINEERING,FALL,2023
AERO,452,501,24,31,16,4,0,75,3.000,0,0,0,0,0,75,DONZIS D,ENGINEERING,FALL,2023
