Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
AERO,201,500,3,17,9,2,1,32,2.593,0,0,0,1,0,33,SHRYOCK K,ENGINEERING,SPRING,2019
AERO,210,200,7,9,5,1,1,23,2.869,0,0,0,1,0,24,BOYD J,ENGINEERING,SPRING,2019
AERO,210,500,4,3,6,3,1,17,2.352,0,0,0,2,0,19,BOYD J,ENGINEERING,SPRING,2019
AERO,210,501,4,11,12,5,3,35,2.228,0,0,0,3,0,38,BOYD J,ENGINEERING,SPRING,2019
AERO,210,502,3,6,10,15,5,39,1.666,0,0,0,4,0,43,LE GRAVEREND J,ENGINEERING,SPRING,2019
AERO,210,503,1,7,7,16,10,41,1.341,0,0,0,2,0,43,LE GRAVEREND J,ENGINEERING,SPRING,2019
AERO,211,500,12,13,8,3,1,37,2.864,0,0,0,1,0,38,MAJJI M,ENGINEERING,SPRING,2019
AERO,212,500,2,8,6,1,1,18,2.500,0,0,0,1,0,19,HARA K,ENGINEERING,SPRING,2019
AERO,214,500,4,9,8,6,8,35,1.857,0,0,0,2,0,37,LE GRAVEREND J,ENGINEERING,SPRING,2019
AERO,214,501,3,5,9,9,5,31,1.741,0,0,0,2,0,33,LE GRAVEREND J,ENGINEERING,SPRING,2019
AERO,214,502,9,17,15,2,1,44,2.704,0,0,0,0,0,44,NARAGHI M,ENGINEERING,SPRING,2019
AERO,214,503,9,14,12,6,3,44,2.454,0,0,0,0,0,44,NARAGHI M,ENGINEERING,SPRING,2019
AERO,301,500,10,15,10,2,1,38,2.815,0,0,0,2,0,40,GERAKIS A,ENGINEERING,SPRING,2019
AERO,303,500,6,10,13,2,0,31,2.645,0,0,0,3,0,34,ANDRIENKO D,ENGINEERING,SPRING,2019
AERO,303,501,10,24,25,2,3,64,2.562,0,0,0,2,0,66,WHITE E,ENGINEERING,SPRING,2019
AERO,304,500,19,16,4,5,3,47,2.914,0,0,0,2,0,49,KINRA V,ENGINEERING,SPRING,2019
AERO,306,500,52,6,0,0,0,58,3.896,0,0,0,2,0,60,STROUBOULIS T,ENGINEERING,SPRING,2019
AERO,306,501,9,14,7,3,0,33,2.878,0,0,0,4,0,37,HARTL D,ENGINEERING,SPRING,2019
AERO,310,500,21,30,3,1,1,56,3.232,0,0,0,0,0,56,MOBLE B,ENGINEERING,SPRING,2019
AERO,321,500,8,17,8,0,0,33,3.000,0,0,0,0,0,33,VADALI S,ENGINEERING,SPRING,2019
AERO,321,501,11,31,14,1,0,57,2.912,0,0,0,0,0,57,VADALI S,ENGINEERING,SPRING,2019
AERO,351,500,25,24,9,1,0,59,3.237,0,0,0,0,0,59,CIZMAS P,ENGINEERING,SPRING,2019
AERO,351,501,16,13,6,0,1,36,3.194,0,0,0,1,0,37,MATULA N,ENGINEERING,SPRING,2019
AERO,401,500,13,0,0,0,0,13,4.000,0,0,0,0,0,13,POLLOCK T,ENGINEERING,SPRING,2019
AERO,401,501,23,0,0,0,0,23,4.000,0,0,0,0,0,23,LUTZ W,ENGINEERING,SPRING,2019
AERO,401,503,23,0,0,0,0,23,4.000,0,0,0,0,0,23,CHAMITOFF G,ENGINEERING,SPRING,2019
AERO,402,500,24,1,0,0,0,25,3.960,0,0,0,0,0,25,SELVA VALERO D,ENGINEERING,SPRING,2019
AERO,402,501,37,7,0,0,0,44,3.840,0,0,0,0,0,44,ELMENDORF H,ENGINEERING,SPRING,2019
AERO,402,502,35,0,0,0,0,35,4.000,0,0,0,0,0,35,POLLOCK T,ENGINEERING,SPRING,2019
