Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
AERO,201,500,11,18,8,2,2,41,2.829,0,0,0,1,0,42,SHRYOCK K,ENGINEERING,SPRING,2023
AERO,211,500,20,6,6,0,1,33,3.333,0,0,0,2,0,35,SANJUAN MUNOZ J,ENGINEERING,SPRING,2023
AERO,212,500,11,9,3,0,0,23,3.347,0,0,0,0,0,23,GROOT K,ENGINEERING,SPRING,2023
AERO,212,501,12,8,2,1,1,24,3.208,0,0,0,0,0,24,GROOT K,ENGINEERING,SPRING,2023
AERO,214,200,9,7,1,0,0,17,3.470,0,0,0,0,0,17,NARAGHI M,ENGINEERING,SPRING,2023
AERO,214,501,3,11,4,0,0,18,2.944,0,0,0,0,0,18,NARAGHI M,ENGINEERING,SPRING,2023
AERO,214,502,8,7,3,1,0,19,3.157,0,0,0,0,0,19,NARAGHI M,ENGINEERING,SPRING,2023
AERO,214,503,9,3,5,1,0,18,3.111,0,0,0,1,0,19,NARAGHI M,ENGINEERING,SPRING,2023
AERO,214,504,6,5,4,2,0,17,2.882,0,0,0,0,0,17,NARAGHI M,ENGINEERING,SPRING,2023
AERO,214,505,3,10,4,0,0,17,2.941,0,0,0,5,0,22,LE GRAVEREND J,ENGINEERING,SPRING,2023
AERO,214,506,2,11,8,0,1,22,2.590,0,0,0,0,0,22,LE GRAVEREND J,ENGINEERING,SPRING,2023
AERO,214,507,6,8,3,1,0,18,3.055,0,0,0,4,0,22,LE GRAVEREND J,ENGINEERING,SPRING,2023
AERO,214,508,6,10,3,1,0,20,3.050,0,0,0,2,0,22,LE GRAVEREND J,ENGINEERING,SPRING,2023
AERO,222,500,4,10,5,6,1,26,2.384,0,0,0,3,0,29,WHITCOMB J,ENGINEERING,SPRING,2023
AERO,222,501,14,5,10,1,2,32,2.875,0,0,0,1,0,33,WHITCOMB J,ENGINEERING,SPRING,2023
AERO,222,502,11,11,5,4,1,32,2.843,0,0,0,2,0,34,WHITCOMB J,ENGINEERING,SPRING,2023
AERO,222,503,18,10,2,1,0,31,3.451,0,0,0,3,0,34,MORTARI D,ENGINEERING,SPRING,2023
AERO,222,504,21,9,2,0,0,32,3.593,0,0,0,1,0,33,MORTARI D,ENGINEERING,SPRING,2023
AERO,222,505,18,11,3,0,1,33,3.363,0,0,0,0,0,33,MORTARI D,ENGINEERING,SPRING,2023
AERO,301,200,10,5,1,0,0,16,3.562,0,0,0,0,0,16,TROPINA A,ENGINEERING,SPRING,2023
AERO,301,500,33,26,18,4,1,82,3.048,0,0,0,0,0,82,TROPINA A,ENGINEERING,SPRING,2023
AERO,301,501,29,33,24,6,1,93,2.892,0,0,0,1,0,94,PECK M,ENGINEERING,SPRING,2023
AERO,301,502,8,8,4,0,0,20,3.200,0,0,0,0,0,20,DONZIS D,ENGINEERING,SPRING,2023
AERO,303,200,3,3,2,0,0,8,3.125,0,0,0,0,0,8,GROOT K,ENGINEERING,SPRING,2023
AERO,303,500,16,38,15,4,3,76,2.789,0,0,0,0,0,76,GROOT K,ENGINEERING,SPRING,2023
AERO,303,501,13,21,12,4,5,55,2.600,0,0,0,0,0,55,GROOT K,ENGINEERING,SPRING,2023
AERO,304,200,2,3,0,0,0,5,3.400,0,0,0,0,0,5,TALREJA R,ENGINEERING,SPRING,2023
AERO,304,500,14,24,15,0,4,57,2.771,0,0,0,2,0,59,TALREJA R,ENGINEERING,SPRING,2023
AERO,306,500,86,1,2,0,0,89,3.943,0,0,0,0,0,89,STROUBOULIS T,ENGINEERING,SPRING,2023
AERO,306,501,10,15,15,4,2,46,2.586,1,0,0,9,0,56,WHITCOMB J,ENGINEERING,SPRING,2023
AERO,307,900,12,2,0,0,0,14,3.857,0,1,0,1,0,16,GUZMAN F,ENGINEERING,SPRING,2023
AERO,307,901,9,6,2,0,0,17,3.411,0,0,0,0,0,17,GUZMAN F,ENGINEERING,SPRING,2023
AERO,307,902,18,1,0,0,0,19,3.947,0,0,0,2,0,21,GUZMAN F,ENGINEERING,SPRING,2023
AERO,307,903,15,4,2,0,0,21,3.619,0,0,0,0,0,21,GUZMAN F,ENGINEERING,SPRING,2023
AERO,307,905,6,1,2,0,0,9,3.444,0,0,0,0,0,9,GUZMAN F,ENGINEERING,SPRING,2023
AERO,307,906,15,0,1,0,0,16,3.875,2,0,0,0,0,18,GUZMAN F,ENGINEERING,SPRING,2023
AERO,310,502,14,17,8,4,3,46,2.760,2,0,0,7,0,55,CHAKRAVORTY S,ENGINEERING,SPRING,2023
AERO,321,200,1,4,2,0,1,8,2.500,0,0,0,0,0,8,VADALI S,ENGINEERING,SPRING,2023
AERO,321,500,8,23,31,10,1,73,2.369,0,0,0,7,1,81,VADALI S,ENGINEERING,SPRING,2023
AERO,321,501,19,30,24,5,0,78,2.807,0,0,0,10,0,88,VADALI S,ENGINEERING,SPRING,2023
AERO,351,500,9,25,37,5,0,76,2.500,1,0,0,23,0,100,CIZMAS P,ENGINEERING,SPRING,2023
AERO,401,930,40,2,0,0,0,42,3.952,0,0,0,0,0,42,SELVA VALERO D,ENGINEERING,SPRING,2023
AERO,402,500,9,0,0,0,0,9,4.000,0,0,0,0,0,9,HARTL D,ENGINEERING,SPRING,2023
AERO,402,501,14,0,0,0,0,14,4.000,0,0,0,0,0,14,SELVA VALERO D,ENGINEERING,SPRING,2023
AERO,402,502,19,0,0,0,0,19,4.000,0,0,0,0,0,19,MOBLE B,ENGINEERING,SPRING,2023
AERO,402,503,28,0,0,0,0,28,4.000,0,0,0,0,0,28,GRINSTEAD J,ENGINEERING,SPRING,2023
AERO,402,504,16,0,0,0,0,16,4.000,0,0,0,0,0,16,WHITTLE R,ENGINEERING,SPRING,2023
AERO,402,505,33,1,0,0,0,34,3.970,0,0,0,0,0,34,VALASEK J,ENGINEERING,SPRING,2023
AERO,402,507,6,0,0,0,0,6,4.000,0,0,0,0,0,6,SHRYOCK K,ENGINEERING,SPRING,2023
AERO,405,500,19,20,1,0,0,40,3.450,0,0,0,1,0,41,HARTL D,ENGINEERING,SPRING,2023
AERO,413,500,18,34,23,4,0,79,2.835,0,0,0,2,0,81,NARAGHI M,ENGINEERING,SPRING,2023
AERO,413,501,13,11,11,0,0,35,3.057,1,0,0,0,0,36,HERRINGTON J,ENGINEERING,SPRING,2023
AERO,415,501,13,6,1,0,1,21,3.428,0,0,0,6,0,27,CIZMAS P,ENGINEERING,SPRING,2023
AERO,422,501,30,40,23,3,1,97,2.979,0,0,0,1,0,98,DEMARS K,ENGINEERING,SPRING,2023
AERO,423,500,31,30,19,5,0,85,3.023,0,0,0,8,0,93,MORTARI D,ENGINEERING,SPRING,2023
AERO,430,500,46,12,10,1,0,69,3.492,0,0,0,1,0,70,STROUBOULIS T,ENGINEERING,SPRING,2023
AERO,451,500,45,17,3,0,0,65,3.646,0,0,0,0,0,65,CHAMITOFF G,ENGINEERING,SPRING,2023
AERO,452,500,35,37,20,5,1,98,3.020,0,0,0,0,0,98,DONZIS D,ENGINEERING,SPRING,2023
AERO,489,500,22,2,0,0,0,24,3.916,0,0,0,0,0,24,DUNBAR B,ENGINEERING,SPRING,2023
AERO,489,501,12,10,1,0,0,23,3.478,0,0,0,0,0,23,CURRIE-GREGG N,ENGINEERING,SPRING,2023
AERO,489,502,10,9,2,0,0,21,3.380,0,0,0,1,0,22,TROPINA A,ENGINEERING,SPRING,2023
AERO,489,503,9,0,0,0,0,9,4.000,0,0,0,0,0,9,GUZMAN F,ENGINEERING,SPRING,2023
AERO,602,600,8,12,1,0,0,21,3.333,0,0,0,1,0,22,KARPETIS A,ENGINEERING,SPRING,2023
AERO,604,601,8,8,3,1,0,20,3.150,0,0,0,0,0,20,HARTL D,ENGINEERING,SPRING,2023
AERO,607,601,30,0,0,0,0,30,4.000,0,0,0,0,0,30,DUNBAR B,ENGINEERING,SPRING,2023
AERO,607,700,14,0,0,0,0,14,4.000,0,0,0,0,0,14,DUNBAR B,ENGINEERING,SPRING,2023
AERO,615,601,7,1,0,0,0,8,3.875,0,0,0,0,0,8,CIZMAS P,ENGINEERING,SPRING,2023
AERO,618,601,5,4,0,0,0,9,3.555,0,0,0,0,0,9,BOYD J,ENGINEERING,SPRING,2023
AERO,623,600,7,5,9,0,0,21,2.904,1,0,0,2,0,24,VADALI S,ENGINEERING,SPRING,2023
AERO,626,601,24,5,0,0,1,30,3.700,1,0,0,2,0,33,DEMARS K,ENGINEERING,SPRING,2023
AERO,632,601,25,0,0,0,0,25,4.000,0,0,0,1,0,26,BHATTACHARYA R,ENGINEERING,SPRING,2023
AERO,633,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,MAJJI M,ENGINEERING,SPRING,2023
AERO,645,600,9,3,0,0,0,12,3.750,1,0,0,0,0,13,BENZERGA A,ENGINEERING,SPRING,2023
AERO,651,600,23,8,1,0,0,32,3.687,0,0,0,0,0,32,CHAMITOFF G,ENGINEERING,SPRING,2023
AERO,661,600,15,1,1,0,0,17,3.823,0,0,0,0,0,17,GUZMAN F,ENGINEERING,SPRING,2023
AERO,689,600,5,5,0,1,0,11,3.272,0,0,0,0,0,11,CURRIE-GREGG N,ENGINEERING,SPRING,2023
AERO,689,601,17,3,2,0,0,22,3.681,0,0,0,0,0,22,ALFRIEND K,ENGINEERING,SPRING,2023
AERO,689,602,12,1,0,0,0,13,3.923,0,0,0,0,0,13,JACKSON S,ENGINEERING,SPRING,2023
AERO,689,604,8,2,2,0,0,12,3.500,0,0,0,2,0,14,TROPINA A,ENGINEERING,SPRING,2023
AERO,689,700,3,4,0,0,0,7,3.428,0,0,0,0,0,7,CURRIE-GREGG N,ENGINEERING,SPRING,2023
MEMA,646,600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,STROUBOULIS T,ENGINEERING,SPRING,2023
BMEN,153,900,27,6,1,1,0,35,3.685,1,0,0,0,0,36,CARRELL T,ENGINEERING,SPRING,2023
BMEN,207,500,11,10,4,3,1,29,2.931,0,0,0,0,0,29,REYNOLDS J,ENGINEERING,SPRING,2023
BMEN,211,200,23,11,1,0,0,35,3.628,0,0,0,3,0,38,HORN S,ENGINEERING,SPRING,2023
BMEN,211,500,9,10,5,1,0,25,3.080,0,0,0,13,0,38,CARRELL T,ENGINEERING,SPRING,2023
BMEN,211,501,19,15,5,2,0,41,3.243,0,0,0,24,0,65,HORN S,ENGINEERING,SPRING,2023
BMEN,211,550,4,1,1,0,0,6,3.500,0,0,0,0,0,6,TER HOFSTEDE B,ENGINEERING,SPRING,2023
BMEN,253,501,60,12,2,0,0,74,3.783,0,0,0,1,0,75,MONTGOMERY W,ENGINEERING,SPRING,2023
