Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
AERO,222,701,3,3,2,0,0,8,3.125,0,0,0,1,0,9,WHITCOMB J,ENGINEERING,SUMMER,2023
AERO,303,300,8,3,5,0,2,18,2.833,0,0,0,0,0,18,GROOT K,ENGINEERING,SUMMER,2023
AERO,303,700,8,9,7,1,4,29,2.551,0,0,0,1,0,30,GROOT K,ENGINEERING,SUMMER,2023
AERO,413,300,5,8,7,0,1,21,2.761,0,0,0,0,0,21,BOYD J,ENGINEERING,SUMMER,2023
AERO,413,700,2,17,11,0,0,30,2.700,0,0,0,2,0,32,BOYD J,ENGINEERING,SUMMER,2023
BMEN,207,700,12,9,4,1,1,27,3.111,0,0,0,1,0,28,HANKS J,ENGINEERING,SUMMER,2023
BMEN,321,700,36,1,0,0,0,37,3.972,2,0,0,0,0,39,GINN-HEDMAN A,ENGINEERING,SUMMER,2023
BMEN,341,700,7,3,6,1,1,18,2.777,0,0,0,0,0,18,HORN J,ENGINEERING,SUMMER,2023
BMEN,350,700,64,5,1,0,1,71,3.845,1,0,0,0,0,72,HORN S,ENGINEERING,SUMMER,2023
BMEN,450,999,25,0,0,0,0,25,4.000,0,0,0,0,0,25,BUJNOCH Z,ENGINEERING,SUMMER,2023
BMEN,452,700,1,2,3,0,0,6,2.666,0,0,0,2,0,8,PATRICK C,ENGINEERING,SUMMER,2023
CHEN,205,700,5,9,4,2,0,20,2.850,0,0,0,1,0,21,HOLTZAPPLE M,ENGINEERING,SUMMER,2023
CHEN,455,700,24,7,2,0,1,34,3.558,0,0,0,0,0,34,MASHUGA C,ENGINEERING,SUMMER,2023
CHEN,459,700,21,5,0,0,0,26,3.807,0,0,0,0,0,26,BLIZZARD G,ENGINEERING,SUMMER,2023
CHEN,482,700,8,11,6,0,0,25,3.080,0,0,0,0,0,25,HILALY A,ENGINEERING,SUMMER,2023
CVEN,305,301,5,6,5,0,0,16,3.000,0,0,0,0,0,16,QUINTERO FEBRES C,ENGINEERING,SUMMER,2023
CVEN,311,150,13,2,3,0,0,18,3.555,1,0,0,0,0,19,OLIVERA F,ENGINEERING,SUMMER,2023
CVEN,322,150,9,6,2,0,0,17,3.411,0,0,0,0,0,17,QUADRIFOGLIO L,ENGINEERING,SUMMER,2023
CVEN,339,700,7,7,2,0,0,16,3.312,0,0,0,1,0,17,LONDON M,ENGINEERING,SUMMER,2023
CVEN,345,300,3,7,2,0,0,12,3.083,0,0,0,0,0,12,LOWERY L,ENGINEERING,SUMMER,2023
CVEN,403,100,29,2,0,0,0,31,3.935,0,0,0,0,0,31,GHARAIBEH N,ENGINEERING,SUMMER,2023
CVEN,403,101,31,0,0,0,0,31,4.000,1,0,0,0,0,32,LYLE S,ENGINEERING,SUMMER,2023
CVEN,424,700,21,0,0,0,1,22,3.818,0,0,0,0,0,22,ENGLAND P,ENGINEERING,SUMMER,2023
CVEN,424,701,20,1,0,0,0,21,3.952,0,0,0,0,0,21,SCARFUTO J,ENGINEERING,SUMMER,2023
CVEN,446,700,6,14,6,4,0,30,2.733,0,0,0,0,0,30,KEATING P,ENGINEERING,SUMMER,2023
ENGR,102,300,11,8,8,0,0,27,3.111,0,0,0,0,0,27,LARA RUIZ J,ENGINEERING,SUMMER,2023
ENGR,216,300,5,8,0,0,0,13,3.384,0,0,0,2,0,15,ELMS R,ENGINEERING,SUMMER,2023
ENGR,216,301,15,13,3,1,1,33,3.212,2,0,0,0,0,35,SPEARS C,ENGINEERING,SUMMER,2023
ENGR,217,300,12,23,10,0,0,45,3.044,0,0,0,1,0,46,IJAZ M,ENGINEERING,SUMMER,2023
ENGR,217,301,32,13,3,0,0,48,3.604,0,0,0,0,0,48,CORNEJO J,ENGINEERING,SUMMER,2023
ENGR,385,304,7,0,0,0,0,7,4.000,0,0,0,0,0,7,UGAZ V,ENGINEERING,SUMMER,2023
ENGR,385,306,12,0,0,0,1,13,3.692,0,0,0,0,0,13,SARIN V,ENGINEERING,SUMMER,2023
ENGR,385,313,9,0,0,0,0,9,4.000,0,0,0,0,0,9,CORLETO-MENA C,ENGINEERING,SUMMER,2023
ENGR,410,150,21,0,0,0,0,21,4.000,0,0,0,0,0,21,BANGSTEIN B,ENGINEERING,SUMMER,2023
ICPE,624,700,6,2,0,0,0,8,3.750,0,0,0,1,4,13,EL-HALWAGI M,ENGINEERING,SUMMER,2023
CSCE,110,700,32,18,7,1,3,61,3.229,0,0,0,5,0,66,HOUNGNINOU D,ENGINEERING,SUMMER,2023
CSCE,120,301,9,4,2,0,1,16,3.250,0,0,0,0,0,16,CHAMON C,ENGINEERING,SUMMER,2023
CSCE,120,700,5,6,2,1,1,15,2.866,0,0,0,1,0,16,CHAMON C,ENGINEERING,SUMMER,2023
CSCE,121,301,3,2,2,1,0,8,2.875,0,0,0,1,0,9,CHAMON C,ENGINEERING,SUMMER,2023
CSCE,121,700,26,21,11,2,6,66,2.893,1,0,0,9,1,77,MOORE J,ENGINEERING,SUMMER,2023
CSCE,221,700,8,21,12,2,0,43,2.813,0,0,0,1,0,44,LEYK T,ENGINEERING,SUMMER,2023
CSCE,222,700,19,14,3,1,1,38,3.289,0,0,0,2,0,40,KLAPPENECKER A,ENGINEERING,SUMMER,2023
CSCE,310,700,23,8,1,0,0,32,3.687,0,0,0,2,0,34,WADE P,ENGINEERING,SUMMER,2023
CSCE,312,700,19,14,2,4,1,40,3.150,1,0,0,1,0,42,TYAGI A,ENGINEERING,SUMMER,2023
CSCE,313,300,6,4,3,2,0,15,2.933,0,0,0,0,0,15,HOUNGNINOU D,ENGINEERING,SUMMER,2023
CSCE,313,700,2,5,1,2,0,10,2.700,0,0,0,1,0,11,HOUNGNINOU D,ENGINEERING,SUMMER,2023
CSCE,314,700,15,18,7,1,2,43,3.000,0,0,0,0,0,43,LEE H,ENGINEERING,SUMMER,2023
CSCE,411,700,23,18,0,0,2,43,3.395,0,0,0,2,0,45,JIANG A,ENGINEERING,SUMMER,2023
CSCE,412,700,38,9,4,2,4,57,3.315,0,0,0,1,0,58,LIGHTFOOT R,ENGINEERING,SUMMER,2023
CSCE,421,700,20,2,2,0,1,25,3.600,0,0,0,0,0,25,DUYSAK A,ENGINEERING,SUMMER,2023
CSCE,435,701,8,5,2,0,1,16,3.187,0,0,0,1,0,17,SARIN V,ENGINEERING,SUMMER,2023
CSCE,629,700,4,3,1,0,1,9,3.000,0,0,0,0,0,9,JIANG A,ENGINEERING,SUMMER,2023
CSCE,636,700,16,12,1,0,1,30,3.400,0,0,0,0,0,30,JIANG A,ENGINEERING,SUMMER,2023
CSCE,735,701,2,0,9,1,1,13,2.076,0,0,0,0,0,13,SARIN V,ENGINEERING,SUMMER,2023
ECEN,214,302,10,5,3,0,0,18,3.388,0,0,0,0,0,18,JANG W,ENGINEERING,SUMMER,2023
