Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ATMO,201,501,15,14,7,0,0,36,3.222,0,0,0,0,0,36,CONLEE D,GEOSCIENCES,FALL,2021
ATMO,201,502,63,124,11,0,0,198,3.262,0,0,0,3,0,201,LOGAN T,GEOSCIENCES,FALL,2021
ATMO,201,503,17,23,11,0,2,53,3.000,1,0,0,2,0,56,BOWMAN K,GEOSCIENCES,FALL,2021
ATMO,201,505,45,41,19,2,3,110,3.118,1,0,0,11,0,122,CONLEE D,GEOSCIENCES,FALL,2021
ATMO,201,599,95,43,11,3,4,156,3.423,0,0,0,12,0,168,ETTEN-BOHM M,GEOSCIENCES,FALL,2021
ATMO,202,501,17,3,3,0,1,24,3.458,0,0,0,0,0,24,CONLEE D,GEOSCIENCES,FALL,2021
ATMO,202,502,19,3,1,0,0,23,3.782,0,0,0,0,0,23,CONLEE D,GEOSCIENCES,FALL,2021
ATMO,202,504,14,5,2,0,0,21,3.571,0,0,0,2,0,23,CONLEE D,GEOSCIENCES,FALL,2021
ATMO,202,506,19,4,1,0,0,24,3.750,0,0,0,0,0,24,CONLEE D,GEOSCIENCES,FALL,2021
ATMO,202,507,15,7,0,1,1,24,3.416,0,0,0,1,0,25,CONLEE D,GEOSCIENCES,FALL,2021
ATMO,203,501,11,7,1,0,0,19,3.526,0,0,0,0,0,19,NIELSEN E,GEOSCIENCES,FALL,2021
ATMO,203,502,10,8,0,1,0,19,3.421,0,0,0,0,0,19,NIELSEN E,GEOSCIENCES,FALL,2021
ATMO,203,503,8,4,3,0,1,16,3.125,0,0,0,0,0,16,NIELSEN E,GEOSCIENCES,FALL,2021
ATMO,251,501,6,10,4,2,0,22,2.909,1,0,0,1,0,24,NIELSEN E,GEOSCIENCES,FALL,2021
ATMO,251,502,10,10,3,2,0,25,3.120,0,0,0,0,0,25,NIELSEN E,GEOSCIENCES,FALL,2021
ATMO,321,500,12,3,6,1,0,22,3.181,0,0,0,3,0,25,XU Y,GEOSCIENCES,FALL,2021
ATMO,335,501,22,19,5,0,1,47,3.297,0,0,0,0,0,47,BROOKS S,GEOSCIENCES,FALL,2021
ATMO,336,501,13,7,3,0,1,24,3.291,1,0,0,0,0,25,EPIFANIO C,GEOSCIENCES,FALL,2021
ATMO,336,502,10,8,2,0,0,20,3.400,0,0,0,0,0,20,EPIFANIO C,GEOSCIENCES,FALL,2021
ATMO,363,500,11,21,0,1,0,33,3.272,0,0,0,0,0,33,ZHANG Y,GEOSCIENCES,FALL,2021
ATMO,443,500,6,10,4,1,0,21,3.000,0,0,0,1,0,22,NOWOTARSKI C,GEOSCIENCES,FALL,2021
ATMO,446,500,8,14,4,3,0,29,2.931,0,0,0,0,0,29,RAPP A,GEOSCIENCES,FALL,2021
ATMO,459,900,7,11,2,0,0,20,3.250,0,0,0,0,0,20,SCHUMACHER C,GEOSCIENCES,FALL,2021
ATMO,485,501,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CONLEE D,GEOSCIENCES,FALL,2021
ATMO,601,600,7,6,0,0,0,13,3.538,0,0,0,0,0,13,SARAVANAN R,GEOSCIENCES,FALL,2021
ATMO,602,600,10,4,0,0,0,14,3.714,0,0,0,0,0,14,LIU X,GEOSCIENCES,FALL,2021
ATMO,604,600,4,1,0,0,0,5,3.800,0,0,0,0,0,5,NIELSEN-GAMMON J,GEOSCIENCES,FALL,2021
ATMO,606,600,6,8,0,0,0,14,3.428,0,0,0,0,0,14,ZHANG R,GEOSCIENCES,FALL,2021
GEOS,101,502,19,0,0,0,0,19,4.000,0,0,0,0,0,19,ROARK E,GEOSCIENCES,FALL,2021
GEOS,101,504,15,0,0,0,0,15,0.000,0,0,0,0,0,15,ROARK E,GEOSCIENCES,FALL,2021
GEOS,101,505,13,9,0,0,0,22,3.571,0,0,0,0,0,22,SYLVAN J,GEOSCIENCES,FALL,2021
