Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ATMO,201,299,29,29,18,1,0,77,3.116,2,0,0,1,0,80,EPIFANIO C,GEOSCIENCES,SUMMER,2019
ATMO,370,150,25,0,0,0,0,25,4.000,0,0,0,0,0,25,CONLEE D,GEOSCIENCES,SUMMER,2019
ATMO,629,200,15,0,0,0,0,15,4.000,0,0,0,0,0,15,NORTH J,GEOSCIENCES,SUMMER,2019
GEOG,201,199,37,14,4,1,2,58,3.431,0,0,0,0,0,58,LODER T,GEOSCIENCES,SUMMER,2019
GEOG,202,200,12,26,7,3,0,48,2.979,1,0,0,0,0,49,SMITH J,GEOSCIENCES,SUMMER,2019
GEOG,203,199,84,53,18,5,4,164,3.268,0,0,0,1,0,165,LOISEL J,GEOSCIENCES,SUMMER,2019
GEOG,205,299,43,2,0,0,0,45,3.955,0,0,0,2,0,47,SANSOM L,GEOSCIENCES,SUMMER,2019
GEOG,213,299,13,16,11,4,8,52,2.423,0,0,0,3,0,55,VECELLIO D,GEOSCIENCES,SUMMER,2019
GEOG,390,101,4,9,2,1,0,16,3.000,0,0,0,1,0,17,SALGADO M,GEOSCIENCES,SUMMER,2019
GEOG,390,102,2,5,8,0,1,16,2.437,0,0,0,0,0,16,SALGADO M,GEOSCIENCES,SUMMER,2019
GEOG,450,100,9,6,2,0,1,18,3.222,0,0,0,0,0,18,PROUT E,GEOSCIENCES,SUMMER,2019
GEOG,659,775,9,0,0,0,1,10,3.600,0,0,0,0,0,10,ZOU L,GEOSCIENCES,SUMMER,2019
GEOG,660,701,6,0,0,0,0,6,4.000,0,0,0,0,0,6,LYLE S,GEOSCIENCES,SUMMER,2019
GEOG,660,775,4,0,0,0,1,5,3.200,0,0,0,1,0,6,LYLE S,GEOSCIENCES,SUMMER,2019
GEOG,663,775,10,1,0,0,0,11,3.909,0,0,0,0,0,11,LYLE S,GEOSCIENCES,SUMMER,2019
GEOG,665,775,7,1,0,0,0,8,3.875,0,0,0,0,0,8,LYLE S,GEOSCIENCES,SUMMER,2019
GEOG,676,775,9,0,1,0,0,10,3.800,0,0,0,0,0,10,GOLDBERG D,GEOSCIENCES,SUMMER,2019
GEOG,678,775,9,2,0,0,0,11,3.818,0,0,0,0,0,11,ZHANG Z,GEOSCIENCES,SUMMER,2019
GEOL,101,200,2,3,0,0,0,5,3.400,0,0,0,0,0,5,BALTA J,GEOSCIENCES,SUMMER,2019
GEOL,101,399,6,8,6,3,1,24,2.625,0,0,0,1,0,25,TORREZ B,GEOSCIENCES,SUMMER,2019
GEOL,102,201,9,8,1,0,1,19,3.263,0,0,0,0,0,19,CONTE R,GEOSCIENCES,SUMMER,2019
GEOL,450,936,2,2,1,1,0,6,2.833,1,0,0,0,0,7,LAYA PEREIRA J,GEOSCIENCES,SUMMER,2019
GEOL,491,224,5,0,0,0,0,5,4.000,0,0,0,0,0,5,REECE J,GEOSCIENCES,SUMMER,2019
OCNG,251,299,20,37,14,8,1,80,2.837,1,0,0,1,0,82,SYLVAN J,GEOSCIENCES,SUMMER,2019
OCNG,252,199,8,7,7,3,1,26,2.692,0,0,0,1,0,27,WIEDERWOHL C,GEOSCIENCES,SUMMER,2019
OCNG,252,299,7,13,5,4,1,30,2.700,0,0,0,1,0,31,WIEDERWOHL C,GEOSCIENCES,SUMMER,2019
