Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ANTH,201,500,17,37,17,6,6,83,2.638,0,0,0,13,0,96,BURKE A,LIBERAL ARTS,SPRING,2019
ANTH,201,501,9,34,28,11,3,85,2.411,0,0,0,12,0,97,ALVARD M,LIBERAL ARTS,SPRING,2019
ANTH,202,500,4,19,13,4,3,43,2.395,0,0,0,2,0,45,WATERS M,LIBERAL ARTS,SPRING,2019
ANTH,204,500,6,15,10,4,0,35,2.657,0,0,0,6,0,41,GRAF K,LIBERAL ARTS,SPRING,2019
ANTH,205,500,39,19,9,1,2,70,3.314,1,0,0,0,1,72,DEMPSEY A,LIBERAL ARTS,SPRING,2019
ANTH,205,501,24,68,30,2,0,124,2.919,1,0,0,2,0,127,VIEIRA DE CASTRO L,LIBERAL ARTS,SPRING,2019
ANTH,205,502,62,35,20,2,3,122,3.237,0,0,0,3,0,125,LYNCH D,LIBERAL ARTS,SPRING,2019
ANTH,205,503,65,43,9,1,3,121,3.371,0,0,0,2,0,123,LYNCH D,LIBERAL ARTS,SPRING,2019
ANTH,205,504,41,12,0,0,0,53,3.773,0,0,0,1,0,54,HODGES S,LIBERAL ARTS,SPRING,2019
ANTH,205,505,24,27,12,2,0,65,3.123,0,1,0,1,0,67,DOHERTY C,LIBERAL ARTS,SPRING,2019
ANTH,205,506,18,11,3,0,0,32,3.468,0,0,0,1,1,34,HAGSETH M,LIBERAL ARTS,SPRING,2019
ANTH,205,507,6,15,8,2,1,32,2.718,0,0,0,2,0,34,CANTERBURY J,LIBERAL ARTS,SPRING,2019
ANTH,205,508,20,8,1,4,1,34,3.235,0,0,0,0,0,34,BORD A,LIBERAL ARTS,SPRING,2019
ANTH,205,509,17,1,2,0,0,20,3.750,0,0,0,0,0,20,FARRAR J,LIBERAL ARTS,SPRING,2019
ANTH,205,599,18,36,31,7,5,97,2.567,0,0,0,21,0,118,BRYANT V,LIBERAL ARTS,SPRING,2019
ANTH,210,501,49,31,10,3,2,95,3.284,0,0,0,2,0,97,KENNEDY C,LIBERAL ARTS,SPRING,2019
ANTH,210,502,28,22,8,1,1,60,3.250,0,0,0,2,0,62,HOPKINS A,LIBERAL ARTS,SPRING,2019
ANTH,225,501,10,18,22,4,1,55,2.581,0,0,0,7,0,62,DE RUITER D,LIBERAL ARTS,SPRING,2019
ANTH,226,501,12,4,1,0,0,17,3.647,0,0,0,0,0,17,IZZO V,LIBERAL ARTS,SPRING,2019
ANTH,226,502,11,2,1,0,0,14,3.714,0,0,0,0,0,14,ACHORN A,LIBERAL ARTS,SPRING,2019
ANTH,229,500,4,10,3,0,0,17,3.058,0,0,0,3,0,20,GREEN T,LIBERAL ARTS,SPRING,2019
ANTH,270,500,14,14,2,1,1,32,3.218,0,0,0,3,0,35,LAPORTE C,LIBERAL ARTS,SPRING,2019
ANTH,301,900,2,5,6,1,1,15,2.400,2,0,0,2,0,19,THOMS A,LIBERAL ARTS,SPRING,2019
ANTH,302,500,4,6,2,1,1,14,2.785,0,0,0,0,0,14,GOEBEL F,LIBERAL ARTS,SPRING,2019
ANTH,305,900,9,6,1,0,0,16,3.500,0,0,0,1,0,17,LINDERHOLM A,LIBERAL ARTS,SPRING,2019
ANTH,312,500,5,4,4,1,1,15,2.733,0,0,0,0,0,15,DE RUITER D,LIBERAL ARTS,SPRING,2019
