Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ANTH,205,101,26,12,5,0,0,43,3.488,0,0,0,1,0,44,HOPKINS A,LIBERAL ARTS,SUMMER,2019
ANTH,205,201,7,6,2,0,0,15,3.333,0,0,0,0,0,15,THAKAR H,LIBERAL ARTS,SUMMER,2019
ANTH,324,100,7,6,1,0,0,14,3.428,0,0,0,0,0,14,DEL CIAMPO M,LIBERAL ARTS,SUMMER,2019
FILM,356,200,4,1,0,0,0,5,3.800,0,0,0,0,0,5,FRANCIS J,LIBERAL ARTS,SUMMER,2019
WGST,374,100,4,1,0,0,0,5,3.800,0,0,0,0,0,5,AHN H,LIBERAL ARTS,SUMMER,2019
COMM,203,100,18,4,0,0,0,22,3.818,1,0,0,1,0,24,ADAMS T,LIBERAL ARTS,SUMMER,2019
COMM,203,101,11,10,1,0,0,22,3.454,0,0,0,0,0,22,YAVARI M,LIBERAL ARTS,SUMMER,2019
COMM,203,102,5,10,1,0,2,18,2.888,0,0,0,1,0,19,COLGLAZIER K,LIBERAL ARTS,SUMMER,2019
COMM,203,103,6,16,2,0,0,24,3.166,0,0,0,1,0,25,EVERETT B,LIBERAL ARTS,SUMMER,2019
COMM,203,104,16,6,2,0,0,24,3.583,0,0,0,0,0,24,SHELDON Z,LIBERAL ARTS,SUMMER,2019
COMM,203,105,7,14,0,0,0,21,3.333,0,0,0,1,0,22,YORK F,LIBERAL ARTS,SUMMER,2019
COMM,203,106,21,3,0,1,0,25,3.760,0,0,0,0,0,25,BRADLEY N,LIBERAL ARTS,SUMMER,2019
COMM,203,107,10,11,1,0,0,22,3.409,0,0,0,0,0,22,CHABOKI DARZABI R,LIBERAL ARTS,SUMMER,2019
COMM,203,108,10,8,0,0,0,18,3.555,0,0,0,0,0,18,RAMIREZ A,LIBERAL ARTS,SUMMER,2019
COMM,203,109,10,9,2,1,0,22,3.272,0,0,0,1,0,23,WILLIAMS C,LIBERAL ARTS,SUMMER,2019
COMM,203,110,20,1,0,0,0,21,3.952,0,0,0,0,0,21,ADAMS T,LIBERAL ARTS,SUMMER,2019
COMM,203,201,9,8,2,0,0,19,3.368,0,0,0,0,0,19,ANDERSON C,LIBERAL ARTS,SUMMER,2019
COMM,203,202,3,13,0,0,0,16,3.187,0,0,0,2,0,18,ROWE S,LIBERAL ARTS,SUMMER,2019
COMM,203,203,11,11,0,0,0,22,3.500,0,0,0,0,0,22,EVERETT B,LIBERAL ARTS,SUMMER,2019
COMM,203,204,4,10,2,3,1,20,2.650,0,0,0,1,0,21,WINFIELD A,LIBERAL ARTS,SUMMER,2019
COMM,203,205,6,8,2,0,1,17,3.058,0,0,0,0,0,17,COLGLAZIER K,LIBERAL ARTS,SUMMER,2019
COMM,203,206,6,13,2,1,0,22,3.090,2,1,0,0,0,25,YAVARI M,LIBERAL ARTS,SUMMER,2019
COMM,203,207,10,8,3,0,0,21,3.333,0,0,0,1,0,22,YORK F,LIBERAL ARTS,SUMMER,2019
COMM,203,208,16,3,1,0,0,20,3.750,0,0,0,0,0,20,BRADLEY N,LIBERAL ARTS,SUMMER,2019
COMM,203,209,12,4,1,0,0,17,3.647,0,0,0,1,0,18,NADKARNI A,LIBERAL ARTS,SUMMER,2019
COMM,203,210,11,9,1,0,0,21,3.476,0,0,0,0,0,21,SHELDON Z,LIBERAL ARTS,SUMMER,2019
COMM,205,100,8,13,3,0,0,24,3.208,0,0,0,0,0,24,TARVIN D,LIBERAL ARTS,SUMMER,2019
COMM,230,100,15,0,0,0,0,15,4.000,0,0,0,0,0,15,LOPEZ J,LIBERAL ARTS,SUMMER,2019
COMM,289,150,10,6,0,0,0,16,3.625,0,0,0,0,0,16,CRICK N,LIBERAL ARTS,SUMMER,2019
COMM,315,199,75,39,11,4,4,133,3.330,1,0,0,0,0,134,ASCHENBECK S,LIBERAL ARTS,SUMMER,2019
COMM,315,299,34,23,7,4,0,68,3.279,0,0,0,2,0,70,ROWE S,LIBERAL ARTS,SUMMER,2019
COMM,320,299,18,16,3,0,0,37,3.405,0,0,0,1,0,38,TACHKOVA E,LIBERAL ARTS,SUMMER,2019
