Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ANTH,201,199,16,9,1,1,0,27,3.481,0,0,0,0,0,27,GURSKY S,LIBERAL ARTS,SUMMER,2020
ANTH,205,200,5,0,0,1,0,6,3.500,0,0,0,0,0,6,THAKAR H,LIBERAL ARTS,SUMMER,2020
ANTH,205,201,26,14,11,7,4,62,2.822,0,0,0,7,0,69,ALVARD M,LIBERAL ARTS,SUMMER,2020
FILM,251,100,28,11,1,2,0,42,3.547,0,0,0,0,0,42,SIMMS M,LIBERAL ARTS,SUMMER,2020
FILM,356,200,2,3,0,0,0,5,3.400,0,0,0,0,0,5,SADLER L,LIBERAL ARTS,SUMMER,2020
WGST,207,100,5,0,0,0,0,5,4.000,0,0,0,0,0,5,ORTIZ S,LIBERAL ARTS,SUMMER,2020
COMM,203,100,18,6,0,0,0,24,3.750,0,0,0,1,0,25,ADUEN RAMIREZ M,LIBERAL ARTS,SUMMER,2020
COMM,203,101,17,3,1,0,1,22,3.590,0,0,0,3,0,25,GALAL A,LIBERAL ARTS,SUMMER,2020
COMM,203,102,3,12,4,1,0,20,2.850,0,0,0,3,0,23,JACKSON T,LIBERAL ARTS,SUMMER,2020
COMM,203,103,15,1,5,1,2,24,3.083,0,0,0,0,0,24,JENNINGS P,LIBERAL ARTS,SUMMER,2020
COMM,203,104,8,5,3,5,3,24,2.416,0,0,0,0,0,24,LANDMARK S,LIBERAL ARTS,SUMMER,2020
COMM,203,105,11,4,6,1,3,25,2.760,0,0,0,0,0,25,NEUKIRCH P,LIBERAL ARTS,SUMMER,2020
COMM,203,106,19,3,2,0,0,24,3.708,0,0,0,0,0,24,SHAW L,LIBERAL ARTS,SUMMER,2020
COMM,203,107,14,5,1,0,1,21,3.476,0,0,0,1,0,22,SIEGFRIED K,LIBERAL ARTS,SUMMER,2020
COMM,203,108,5,13,3,2,1,24,2.791,0,0,0,1,0,25,SPIERS A,LIBERAL ARTS,SUMMER,2020
COMM,203,109,8,10,5,1,0,24,3.041,0,0,0,1,0,25,YAVARI M,LIBERAL ARTS,SUMMER,2020
COMM,203,110,13,9,1,0,1,24,3.375,0,0,0,0,0,24,YORK F,LIBERAL ARTS,SUMMER,2020
COMM,203,170,15,4,1,1,1,22,3.409,0,0,0,2,0,24,ASCHENBECK S,LIBERAL ARTS,SUMMER,2020
COMM,203,171,13,11,0,0,1,25,3.400,0,0,0,0,0,25,BRADLEY N,LIBERAL ARTS,SUMMER,2020
COMM,203,172,11,8,1,0,1,21,3.333,0,0,0,2,0,23,GUAJARDO J,LIBERAL ARTS,SUMMER,2020
COMM,203,173,9,10,0,2,1,22,3.090,0,0,0,1,0,23,HEATLY K,LIBERAL ARTS,SUMMER,2020
COMM,203,174,18,2,0,0,0,20,3.900,0,0,0,1,0,21,LOPEZ J,LIBERAL ARTS,SUMMER,2020
COMM,203,175,14,6,1,0,2,23,3.304,0,0,0,0,0,23,MUNSON D,LIBERAL ARTS,SUMMER,2020
COMM,203,176,2,19,1,1,0,23,2.956,0,0,0,1,0,24,ROWE S,LIBERAL ARTS,SUMMER,2020
COMM,203,177,14,4,0,0,2,20,3.400,0,0,0,1,0,21,SONG X,LIBERAL ARTS,SUMMER,2020
COMM,203,178,8,13,2,0,0,23,3.260,0,0,0,1,0,24,TARVIN D,LIBERAL ARTS,SUMMER,2020
COMM,203,179,7,11,4,0,2,24,2.875,0,0,0,0,0,24,WESNER K,LIBERAL ARTS,SUMMER,2020
COMM,203,180,10,8,1,0,0,19,3.473,0,0,0,1,0,20,HEATLY K,LIBERAL ARTS,SUMMER,2020
COMM,203,181,21,3,0,0,0,24,3.875,0,0,0,0,0,24,MUNSON D,LIBERAL ARTS,SUMMER,2020
COMM,203,182,16,6,1,1,0,24,3.541,0,0,0,0,0,24,ROLD M,LIBERAL ARTS,SUMMER,2020
COMM,203,183,6,13,2,0,2,23,2.913,0,0,0,1,0,24,ROWE S,LIBERAL ARTS,SUMMER,2020
COMM,203,184,17,2,0,0,1,20,3.700,0,0,0,0,0,20,SHELDON Z,LIBERAL ARTS,SUMMER,2020
COMM,203,185,18,3,0,0,0,21,3.857,0,0,0,0,0,21,SONG X,LIBERAL ARTS,SUMMER,2020
COMM,203,186,7,9,6,1,1,24,2.833,0,0,0,1,0,25,WESNER K,LIBERAL ARTS,SUMMER,2020
COMM,203,190,6,12,1,0,0,19,3.263,0,0,0,1,0,20,TARVIN D,LIBERAL ARTS,SUMMER,2020
COMM,203,191,18,6,0,0,1,25,3.600,0,0,0,0,0,25,ASCHENBECK S,LIBERAL ARTS,SUMMER,2020
COMM,203,192,9,12,2,1,0,24,3.208,0,0,0,0,0,24,ROWE S,LIBERAL ARTS,SUMMER,2020
COMM,203,193,12,11,0,0,0,23,3.521,0,0,0,1,0,24,TARVIN D,LIBERAL ARTS,SUMMER,2020
COMM,203,194,23,2,0,0,0,25,3.920,0,0,0,0,0,25,LOPEZ J,LIBERAL ARTS,SUMMER,2020
COMM,203,196,10,12,1,0,0,23,3.391,0,0,0,1,0,24,PARISH N,LIBERAL ARTS,SUMMER,2020
COMM,203,197,19,3,0,0,0,22,3.863,0,0,0,1,0,23,GUAJARDO J,LIBERAL ARTS,SUMMER,2020
COMM,203,198,21,1,1,0,1,24,3.708,0,0,0,0,0,24,SONG X,LIBERAL ARTS,SUMMER,2020
COMM,203,199,14,10,0,0,0,24,3.583,0,0,0,0,0,24,WESNER K,LIBERAL ARTS,SUMMER,2020
COMM,203,200,7,10,0,0,0,17,3.411,0,0,0,0,0,17,TARVIN D,LIBERAL ARTS,SUMMER,2020
COMM,203,201,18,4,0,0,0,22,3.818,0,0,0,2,0,24,ADUEN RAMIREZ M,LIBERAL ARTS,SUMMER,2020
COMM,203,202,5,14,1,0,1,21,3.047,0,0,0,3,0,24,BAJAN A,LIBERAL ARTS,SUMMER,2020
COMM,203,203,11,10,0,0,2,23,3.217,0,0,0,1,0,24,JENNINGS P,LIBERAL ARTS,SUMMER,2020
COMM,203,204,8,9,5,1,0,23,3.043,0,0,0,0,0,23,SHAW L,LIBERAL ARTS,SUMMER,2020
COMM,203,205,12,11,0,0,1,24,3.375,0,0,0,1,0,25,SIEGFRIED K,LIBERAL ARTS,SUMMER,2020
COMM,203,206,12,4,3,0,3,22,3.000,0,0,0,3,0,25,SPIERS A,LIBERAL ARTS,SUMMER,2020
COMM,203,207,7,6,4,0,0,17,3.176,0,0,0,3,0,20,YAVARI M,LIBERAL ARTS,SUMMER,2020
COMM,203,208,20,3,0,0,0,23,3.869,0,0,0,0,0,23,YORK F,LIBERAL ARTS,SUMMER,2020
COMM,203,209,16,5,2,0,0,23,3.608,0,0,0,1,0,24,ZERDA K,LIBERAL ARTS,SUMMER,2020
COMM,203,210,11,12,0,0,0,23,3.478,0,0,0,0,0,23,ZOU W,LIBERAL ARTS,SUMMER,2020
COMM,203,289,15,5,1,0,0,21,3.666,0,0,0,0,0,21,ASCHENBECK S,LIBERAL ARTS,SUMMER,2020
COMM,203,290,21,0,0,0,1,22,3.818,0,0,0,0,0,22,BRADLEY N,LIBERAL ARTS,SUMMER,2020
COMM,203,291,11,7,1,0,0,19,3.526,0,0,0,1,0,20,HEATLY K,LIBERAL ARTS,SUMMER,2020
COMM,203,292,6,9,2,1,0,18,3.111,0,0,0,0,0,18,ROLD M,LIBERAL ARTS,SUMMER,2020
COMM,205,100,15,4,0,0,1,20,3.600,0,0,0,0,0,20,GUAJARDO J,LIBERAL ARTS,SUMMER,2020
COMM,205,195,19,2,2,0,0,23,3.739,0,0,0,0,0,23,LOPEZ J,LIBERAL ARTS,SUMMER,2020
COMM,205,196,12,9,1,0,1,23,3.347,0,0,0,0,0,23,RAMIREZ A,LIBERAL ARTS,SUMMER,2020
COMM,205,197,7,9,3,0,0,19,3.210,0,0,0,3,0,22,COLGLAZIER K,LIBERAL ARTS,SUMMER,2020
COMM,205,198,22,1,0,0,0,23,3.956,0,0,0,1,0,24,SONG X,LIBERAL ARTS,SUMMER,2020
COMM,205,199,4,10,4,0,2,20,2.700,0,0,0,2,0,22,WINFIELD A,LIBERAL ARTS,SUMMER,2020
COMM,205,294,4,6,2,1,2,15,2.600,0,0,0,6,0,21,COLGLAZIER K,LIBERAL ARTS,SUMMER,2020
COMM,205,295,16,2,0,0,0,18,3.888,0,0,0,3,0,21,GUAJARDO J,LIBERAL ARTS,SUMMER,2020
COMM,205,297,19,2,1,0,0,22,3.818,0,0,0,2,0,24,LOPEZ J,LIBERAL ARTS,SUMMER,2020
COMM,205,298,13,5,0,0,1,19,3.526,0,0,0,1,0,20,RAMIREZ A,LIBERAL ARTS,SUMMER,2020
COMM,205,299,7,8,4,0,0,19,3.157,0,0,0,4,0,23,WINFIELD A,LIBERAL ARTS,SUMMER,2020
COMM,215,100,18,5,1,0,0,24,3.708,0,0,0,0,0,24,BURTON T,LIBERAL ARTS,SUMMER,2020
COMM,230,100,23,0,0,0,0,23,4.000,0,0,0,0,0,23,GUAJARDO J,LIBERAL ARTS,SUMMER,2020
COMM,257,199,10,11,1,0,1,23,3.260,0,0,0,0,0,23,CRICK N,LIBERAL ARTS,SUMMER,2020
COMM,315,199,41,20,3,1,1,66,3.500,0,0,0,0,0,66,ROWE S,LIBERAL ARTS,SUMMER,2020
