Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ACCT,209,501,85,157,114,30,16,402,2.659,0,0,0,37,0,439,CLARKE M,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,209,502,68,143,158,31,10,410,2.556,0,0,0,47,0,457,CLARKE M,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,209,503,0,2,7,2,0,11,2.000,0,0,0,3,0,14,CLARKE M,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,210,501,36,64,45,12,18,175,2.502,0,0,0,20,0,195,STRAWSER R,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,229,202,10,13,1,0,0,24,3.375,0,0,0,0,0,24,STRAWSER J,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,229,501,10,8,9,11,0,38,2.447,0,0,0,3,0,41,BARRETT J,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,229,502,9,8,10,11,1,39,2.333,0,0,0,4,0,43,BARRETT J,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,229,503,11,9,15,9,1,45,2.444,0,0,0,9,1,55,BARRETT J,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,229,504,16,19,14,15,0,64,2.562,0,0,0,12,0,76,KNOOP J,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,229,505,18,18,15,9,4,64,2.578,0,0,0,11,0,75,KNOOP J,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,229,506,6,11,14,5,0,36,2.500,0,0,0,9,0,45,ARNOSKY C,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,229,507,6,6,12,7,1,32,2.281,0,0,0,6,0,38,ARNOSKY C,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,229,509,4,14,10,10,2,40,2.200,0,0,0,18,0,58,ARNOSKY C,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,229,510,5,10,4,5,2,26,2.423,0,0,0,9,0,35,HEAD M,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,229,511,3,10,13,5,0,31,2.354,0,0,0,3,0,34,ZHAO W,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,229,512,8,4,7,5,3,27,2.333,0,0,0,5,0,32,TORI E,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,230,200,13,8,3,1,0,25,3.320,0,0,0,4,0,29,MCGOWAN A,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,230,201,25,3,2,0,0,30,3.766,0,0,0,0,0,30,STRAWSER R,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,230,500,72,80,43,15,1,211,2.981,0,0,0,6,0,217,ALLEN N,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,230,501,5,11,15,8,4,43,2.116,0,0,0,10,0,53,ALLEN N,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,230,502,61,76,50,16,1,204,2.882,0,0,0,14,0,218,ALLEN N,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,327,501,9,10,6,1,0,26,3.038,1,0,0,8,0,35,BLASOR T,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,327,502,8,15,5,1,0,29,3.034,0,0,0,3,0,32,BLASOR T,MAYS BUSINESS SCHOOL,FALL,2019
ACCT,327,503,10,10,5,3,1,29,2.862,0,0,0,5,0,34,BLASOR T,MAYS BUSINESS SCHOOL,FALL,2019
