Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ACCT,209,200,21,57,57,1,4,140,2.642,0,0,0,12,0,152,HEAD M,MAYS BUSINESS SCHOOL,SUMMER,2019
ACCT,210,200,7,13,7,3,1,31,2.709,0,0,0,0,0,31,ALLEN N,MAYS BUSINESS SCHOOL,SUMMER,2019
ACCT,229,100,5,8,9,6,2,30,2.266,0,0,0,1,0,31,ARNOSKY C,MAYS BUSINESS SCHOOL,SUMMER,2019
ACCT,230,200,9,11,1,9,0,30,2.666,0,0,0,1,0,31,ALLEN N,MAYS BUSINESS SCHOOL,SUMMER,2019
ACCT,321,100,43,0,0,0,0,43,4.000,0,0,0,0,0,43,ROACH K,MAYS BUSINESS SCHOOL,SUMMER,2019
ACCT,327,100,11,11,11,3,1,37,2.756,0,0,0,3,0,40,BLASOR T,MAYS BUSINESS SCHOOL,SUMMER,2019
ACCT,327,101,11,11,8,3,0,33,2.909,0,0,0,4,0,37,LARKIN R,MAYS BUSINESS SCHOOL,SUMMER,2019
ACCT,328,200,13,19,11,8,3,54,2.574,1,0,0,1,0,56,KOLASINSKI A,MAYS BUSINESS SCHOOL,SUMMER,2019
ACCT,329,199,39,41,2,0,0,82,3.451,1,0,0,1,0,84,FARMER K,MAYS BUSINESS SCHOOL,SUMMER,2019
ACCT,329,299,38,25,2,0,0,65,3.553,5,0,0,1,0,71,FARMER K,MAYS BUSINESS SCHOOL,SUMMER,2019
ACCT,403,100,6,4,0,0,0,10,3.600,0,0,0,0,0,10,FARMER K,MAYS BUSINESS SCHOOL,SUMMER,2019
ACCT,405,100,16,26,2,0,1,45,3.244,0,0,0,0,0,45,LARKIN R,MAYS BUSINESS SCHOOL,SUMMER,2019
ACCT,407,900,15,19,3,0,0,37,3.324,0,0,0,1,0,38,SHAUB M,MAYS BUSINESS SCHOOL,SUMMER,2019
