Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
EDHP,631,700,15,0,0,0,0,15,4.000,0,0,0,1,0,16,ARNOLD S,MEDICINE-SCHOOL,FALL,2023
EDHP,637,700,7,1,1,0,0,9,3.666,0,0,0,0,0,9,KAUNAS C,MEDICINE-SCHOOL,FALL,2023
EDHP,638,700,5,0,0,0,0,5,4.000,0,0,0,0,0,5,ISBELL T,MEDICINE-SCHOOL,FALL,2023
HCPI,655,700,16,1,0,0,0,17,3.941,0,0,0,0,0,17,BIRADAR A,MEDICINE-SCHOOL,FALL,2023
MPHY,603,600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,TRACHE A,MEDICINE-SCHOOL,FALL,2023
MPHY,624,601,10,1,0,0,0,11,3.909,0,0,0,1,0,12,VANBUREN V,MEDICINE-SCHOOL,FALL,2023
MPHY,624,602,7,0,0,0,0,7,4.000,0,0,0,0,0,7,VANBUREN V,MEDICINE-SCHOOL,FALL,2023
MPHY,689,601,2,3,0,0,0,5,3.400,0,0,0,0,0,5,MUTHUCHAMY M,MEDICINE-SCHOOL,FALL,2023
MSCI,601,600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,SIWKO S,MEDICINE-SCHOOL,FALL,2023
MSCI,601,601,17,6,0,0,1,24,3.583,0,0,0,0,0,24,CHAKRABORTY S,MEDICINE-SCHOOL,FALL,2023
MSCI,601,603,7,1,0,0,0,8,3.875,0,0,0,0,0,8,SIWKO S,MEDICINE-SCHOOL,FALL,2023
MSCI,609,305,6,0,0,0,0,6,4.000,0,0,0,0,0,6,WILSON V,MEDICINE-SCHOOL,FALL,2023
MSCI,609,600,34,0,0,0,0,34,4.000,1,0,0,0,0,35,WILSON V,MEDICINE-SCHOOL,FALL,2023
MSCI,609,603,9,0,0,0,0,9,4.000,0,0,0,0,0,9,WILSON V,MEDICINE-SCHOOL,FALL,2023
MSCI,630,600,4,2,0,0,0,6,3.666,0,0,0,0,1,7,LEE R,MEDICINE-SCHOOL,FALL,2023
MSCI,630,650,3,1,1,0,0,5,3.400,0,0,0,0,1,6,LEE R,MEDICINE-SCHOOL,FALL,2023
MSCI,635,601,0,0,0,0,19,19,0.000,0,0,0,0,1,20,SAMUEL J,MEDICINE-SCHOOL,FALL,2023
MSCI,650,650,11,0,0,0,0,11,4.000,0,0,0,0,0,11,HUSTON D,MEDICINE-SCHOOL,FALL,2023
MSCI,685,603,6,0,0,0,0,6,4.000,0,0,0,0,0,6,MITCHELL B,MEDICINE-SCHOOL,FALL,2023
MSCI,689,601,22,1,0,0,1,24,3.791,0,0,0,0,0,24,MITCHELL B,MEDICINE-SCHOOL,FALL,2023
