Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
EDHP,622,700,9,0,0,0,0,9,4.000,0,0,0,0,0,9,ISBELL T,MEDICINE-SCHOOL,SPRING,2024
EDHP,632,700,9,0,0,0,0,9,4.000,0,0,0,1,0,10,DICKEY D,MEDICINE-SCHOOL,SPRING,2024
EDHP,633,700,15,0,0,0,0,15,4.000,0,0,0,0,0,15,ARNOLD S,MEDICINE-SCHOOL,SPRING,2024
MSCI,602,650,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MITCHELL B,MEDICINE-SCHOOL,SPRING,2024
MSCI,608,600,12,1,0,0,0,13,3.923,0,0,0,0,0,13,ARORA S,MEDICINE-SCHOOL,SPRING,2024
MSCI,612,601,7,0,0,0,0,7,4.000,0,0,0,0,1,8,REINER D,MEDICINE-SCHOOL,SPRING,2024
MSCI,612,602,7,0,0,0,0,7,4.000,0,0,0,0,0,7,REINER D,MEDICINE-SCHOOL,SPRING,2024
MSCI,650,600,12,0,0,0,0,12,4.000,0,0,0,0,0,12,HUSTON D,MEDICINE-SCHOOL,SPRING,2024
MSCI,685,616,13,1,0,0,0,14,3.926,0,0,0,0,0,14,MITCHELL B,MEDICINE-SCHOOL,SPRING,2024
MSCI,685,624,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MITCHELL B,MEDICINE-SCHOOL,SPRING,2024
MSCI,689,601,11,1,0,0,0,12,3.916,0,0,0,0,0,12,CATALENA L,MEDICINE-SCHOOL,SPRING,2024
NEXT,620,600,8,6,1,0,0,15,3.466,0,0,0,3,1,19,BRAKORA K,MEDICINE-SCHOOL,SPRING,2024
