Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
EDHP,630,700,13,1,0,0,0,14,3.928,0,0,0,0,0,14,ARNOLD S,MEDICINE,FALL,2021
HCPI,655,700,5,0,0,0,1,6,3.333,1,0,0,1,2,10,MIRANDA M,MEDICINE,FALL,2021
HCPI,658,700,4,1,0,0,0,5,3.800,1,0,0,0,0,6,BITOUNI A,MEDICINE,FALL,2021
MPHY,603,600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,TRACHE A,MEDICINE,FALL,2021
MPHY,613,600,8,5,2,0,0,15,3.400,0,0,0,0,0,15,MUTHUCHAMY M,MEDICINE,FALL,2021
MPHY,624,601,6,5,0,0,0,11,3.545,0,0,0,0,0,11,VANBUREN V,MEDICINE,FALL,2021
MPHY,624,602,6,1,0,0,0,7,3.857,0,0,0,0,0,7,VANBUREN V,MEDICINE,FALL,2021
MSCI,601,600,7,2,0,0,0,9,3.777,0,0,0,0,0,9,SIWKO S,MEDICINE,FALL,2021
MSCI,601,601,13,6,1,0,0,20,3.600,0,0,0,1,0,21,CHAKRABORTY S,MEDICINE,FALL,2021
MSCI,603,600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,CHAKRABORTY S,MEDICINE,FALL,2021
MSCI,609,305,7,0,0,0,0,7,4.000,0,0,0,0,0,7,WILSON V,MEDICINE,FALL,2021
MSCI,609,600,35,0,0,0,0,35,4.000,0,0,0,0,0,35,WILSON V,MEDICINE,FALL,2021
MSCI,630,600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,LEE R,MEDICINE,FALL,2021
MSCI,650,650,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HUSTON D,MEDICINE,FALL,2021
MSCI,689,601,19,1,0,0,0,20,3.950,0,0,0,1,0,21,WEST A,MEDICINE,FALL,2021
MSCI,689,602,10,0,0,0,0,10,4.000,0,0,0,0,0,10,NASIR E,MEDICINE,FALL,2021
MSCI,689,603,10,0,0,0,0,10,4.000,0,0,0,0,0,10,NASIR E,MEDICINE,FALL,2021
NEXT,603,600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,WINZER-SERHAN U,MEDICINE,FALL,2021
