Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
EDHP,622,700,7,2,0,0,0,9,3.777,0,0,0,0,1,10,KIDDER K,MEDICINE,SPRING,2022
EDHP,631,700,11,1,0,0,0,12,3.916,0,0,0,2,2,16,ARNOLD S,MEDICINE,SPRING,2022
MCMD,677,600,4,1,0,0,0,5,3.800,0,0,0,0,0,5,LIU F,MEDICINE,SPRING,2022
MPHY,614,601,3,2,0,0,0,5,3.600,0,0,0,0,0,5,MUTHUCHAMY M,MEDICINE,SPRING,2022
MPHY,625,601,5,0,0,0,0,5,4.000,0,0,0,0,0,5,VANBUREN V,MEDICINE,SPRING,2022
MPHY,625,602,6,0,0,0,0,6,4.000,0,0,0,0,0,6,VANBUREN V,MEDICINE,SPRING,2022
MSCI,612,601,4,1,0,0,0,5,3.800,0,0,0,0,0,5,TRACHE A,MEDICINE,SPRING,2022
MSCI,612,602,4,1,0,0,0,5,3.800,0,0,0,0,0,5,TRACHE A,MEDICINE,SPRING,2022
MSCI,650,600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HUSTON D,MEDICINE,SPRING,2022
MSCI,685,616,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MITCHELL B,MEDICINE,SPRING,2022
MSCI,689,650,15,0,0,0,0,15,4.000,0,0,0,0,0,15,,MEDICINE,SPRING,2022
NEXT,605,601,9,2,0,0,0,11,3.818,0,0,0,0,0,11,DUBOIS D,MEDICINE,SPRING,2022
NEXT,620,600,10,6,2,0,0,18,3.444,0,0,0,2,0,20,BRAKORA K,MEDICINE,SPRING,2022
NEXT,621,600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,ALLEN G,MEDICINE,SPRING,2022
