Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
AERS,101,500,29,2,0,0,0,31,3.935,0,0,0,0,0,31,PARRISH J,MILITARY SCIENCE,FALL,2023
AERS,101,501,33,0,1,0,0,34,3.941,0,0,0,0,0,34,PARRISH J,MILITARY SCIENCE,FALL,2023
AERS,101,502,27,2,0,0,0,29,3.931,0,0,0,0,0,29,PARRISH J,MILITARY SCIENCE,FALL,2023
AERS,101,503,31,1,1,0,0,33,3.909,0,0,0,0,0,33,PARRISH J,MILITARY SCIENCE,FALL,2023
AERS,101,504,30,0,0,0,0,30,4.000,0,0,0,0,0,30,PARRISH J,MILITARY SCIENCE,FALL,2023
AERS,101,505,29,0,1,0,0,30,3.933,0,0,0,0,0,30,PARRISH J,MILITARY SCIENCE,FALL,2023
AERS,101,508,31,0,0,0,0,31,4.000,0,0,0,0,0,31,PARRISH J,MILITARY SCIENCE,FALL,2023
AERS,101,509,29,2,1,0,0,32,3.875,0,0,0,1,0,33,PARRISH J,MILITARY SCIENCE,FALL,2023
AERS,101,510,23,1,1,0,0,25,3.880,0,0,0,0,0,25,PARRISH J,MILITARY SCIENCE,FALL,2023
AERS,101,511,28,1,0,0,0,29,3.965,0,0,0,1,0,30,PARRISH J,MILITARY SCIENCE,FALL,2023
AERS,101,512,26,0,0,0,0,26,4.000,0,0,0,1,0,27,PARRISH J,MILITARY SCIENCE,FALL,2023
AERS,201,501,31,2,0,0,0,33,3.939,0,0,0,0,0,33,BIEDEBACH J,MILITARY SCIENCE,FALL,2023
AERS,201,502,30,2,0,0,0,32,3.937,0,0,0,0,0,32,BIEDEBACH J,MILITARY SCIENCE,FALL,2023
AERS,201,505,32,1,0,0,0,33,3.969,0,0,0,0,0,33,BIEDEBACH J,MILITARY SCIENCE,FALL,2023
AERS,201,507,29,2,0,0,0,31,3.935,0,0,0,0,0,31,BIEDEBACH J,MILITARY SCIENCE,FALL,2023
AERS,201,508,28,1,0,0,0,29,3.965,0,0,0,0,0,29,BIEDEBACH J,MILITARY SCIENCE,FALL,2023
AERS,201,510,32,0,0,0,0,32,4.000,0,0,0,0,0,32,BIEDEBACH J,MILITARY SCIENCE,FALL,2023
AERS,201,511,33,1,0,0,0,34,3.970,0,0,0,0,0,34,BIEDEBACH J,MILITARY SCIENCE,FALL,2023
AERS,303,501,24,0,0,0,0,24,4.000,0,0,0,0,0,24,RAABE D,MILITARY SCIENCE,FALL,2023
AERS,303,503,22,0,0,0,0,22,4.000,0,0,0,0,0,22,RAABE D,MILITARY SCIENCE,FALL,2023
AERS,303,504,26,0,0,0,0,26,4.000,0,0,0,0,0,26,RAABE D,MILITARY SCIENCE,FALL,2023
AERS,403,501,30,0,0,0,0,30,4.000,0,0,0,0,0,30,POLK J,MILITARY SCIENCE,FALL,2023
AERS,403,503,16,0,0,0,0,16,4.000,0,0,0,0,0,16,POLK J,MILITARY SCIENCE,FALL,2023
AERS,403,504,25,0,0,0,0,25,4.000,0,0,0,0,0,25,POLK J,MILITARY SCIENCE,FALL,2023
SOMS,111,500,19,3,2,0,0,24,3.695,0,0,0,0,0,24,DE SOUSA S,MILITARY SCIENCE,FALL,2023
SOMS,111,501,19,2,1,1,0,23,3.666,0,0,0,1,0,24,SIMPSON M,MILITARY SCIENCE,FALL,2023
SOMS,111,502,15,6,3,0,0,24,3.565,0,0,0,0,0,24,SIMPSON M,MILITARY SCIENCE,FALL,2023
SOMS,111,503,11,10,3,1,0,25,3.250,0,0,0,0,0,25,SIMPSON M,MILITARY SCIENCE,FALL,2023
SOMS,111,504,13,4,3,2,1,23,3.263,0,0,0,0,0,23,COX E,MILITARY SCIENCE,FALL,2023
SOMS,111,505,21,4,0,0,0,25,3.833,0,0,0,0,0,25,COX E,MILITARY SCIENCE,FALL,2023
SOMS,111,506,22,4,0,0,0,26,3.818,0,0,0,0,0,26,VELA C,MILITARY SCIENCE,FALL,2023
SOMS,111,507,15,6,0,1,1,23,3.684,0,0,0,0,0,23,VELA C,MILITARY SCIENCE,FALL,2023
SOMS,111,508,19,4,0,1,0,24,3.714,0,0,0,0,0,24,COX E,MILITARY SCIENCE,FALL,2023
SOMS,111,509,23,1,1,0,0,25,3.875,0,0,0,0,0,25,HIGGINS K,MILITARY SCIENCE,FALL,2023
