Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
AERS,102,501,27,0,0,0,0,27,4.000,0,0,0,0,0,27,PARRISH J,MILITARY SCIENCE,SPRING,2024
AERS,102,502,34,0,0,0,0,34,4.000,0,0,0,0,0,34,PARRISH J,MILITARY SCIENCE,SPRING,2024
AERS,102,503,37,0,0,0,0,37,4.000,0,0,0,0,0,37,PARRISH J,MILITARY SCIENCE,SPRING,2024
AERS,102,504,22,0,0,0,1,23,3.826,0,0,0,0,0,23,PARRISH J,MILITARY SCIENCE,SPRING,2024
AERS,102,505,35,1,0,0,0,36,3.972,0,0,0,0,0,36,PARRISH J,MILITARY SCIENCE,SPRING,2024
AERS,102,507,34,2,0,0,0,36,3.944,0,0,0,0,0,36,PARRISH J,MILITARY SCIENCE,SPRING,2024
AERS,102,508,29,1,0,0,0,30,3.966,0,0,0,0,0,30,PARRISH J,MILITARY SCIENCE,SPRING,2024
AERS,102,510,34,0,0,0,0,34,4.000,0,0,0,0,0,34,PARRISH J,MILITARY SCIENCE,SPRING,2024
AERS,102,511,34,0,0,0,0,34,4.000,0,0,0,0,0,34,PARRISH J,MILITARY SCIENCE,SPRING,2024
AERS,202,501,15,0,0,0,0,15,4.000,0,0,0,0,0,15,BIEDEBACH J,MILITARY SCIENCE,SPRING,2024
AERS,202,502,30,1,0,0,0,31,3.967,0,0,0,0,0,31,BIEDEBACH J,MILITARY SCIENCE,SPRING,2024
AERS,202,506,28,0,0,0,0,28,4.000,0,0,0,1,0,29,BIEDEBACH J,MILITARY SCIENCE,SPRING,2024
AERS,202,507,32,0,0,0,0,32,4.000,0,0,0,0,0,32,BIEDEBACH J,MILITARY SCIENCE,SPRING,2024
AERS,304,501,16,0,0,0,0,16,4.000,0,0,0,0,0,16,RAABE D,MILITARY SCIENCE,SPRING,2024
AERS,304,503,21,0,0,0,0,21,4.000,0,0,0,0,0,21,RAABE D,MILITARY SCIENCE,SPRING,2024
AERS,304,504,31,0,0,0,0,31,4.000,0,0,0,0,0,31,RAABE D,MILITARY SCIENCE,SPRING,2024
AERS,404,501,21,0,0,0,0,21,4.000,0,0,0,0,0,21,POLK J,MILITARY SCIENCE,SPRING,2024
AERS,404,503,19,0,0,0,0,19,4.000,0,0,0,0,0,19,POLK J,MILITARY SCIENCE,SPRING,2024
AERS,404,504,30,0,0,0,0,30,4.000,0,0,0,0,0,30,POLK J,MILITARY SCIENCE,SPRING,2024
SOMS,111,501,3,1,3,0,0,7,2.750,0,0,0,0,0,7,BROOKINS B,MILITARY SCIENCE,SPRING,2024
SOMS,181,502,27,5,2,0,1,35,3.636,0,0,0,0,0,35,BRUMMETT K,MILITARY SCIENCE,SPRING,2024
SOMS,181,503,23,6,5,0,1,35,3.529,0,0,0,0,0,35,GRIFFING K,MILITARY SCIENCE,SPRING,2024
SOMS,181,504,29,3,1,0,0,33,3.947,0,0,0,0,0,33,ANDERSON C,MILITARY SCIENCE,SPRING,2024
SOMS,181,505,31,5,0,0,0,36,3.875,0,0,0,0,0,36,WASHINGTON R,MILITARY SCIENCE,SPRING,2024
SOMS,181,506,29,6,0,0,0,35,3.880,0,0,0,0,0,35,GRIFFING K,MILITARY SCIENCE,SPRING,2024
SOMS,181,507,29,2,0,0,0,31,3.928,0,0,0,0,0,31,ANDERSON C,MILITARY SCIENCE,SPRING,2024
SOMS,181,508,30,3,1,0,0,34,3.789,0,0,0,0,0,34,REGAN J,MILITARY SCIENCE,SPRING,2024
SOMS,181,509,30,3,2,0,0,35,3.904,0,0,0,0,0,35,BRUMMETT K,MILITARY SCIENCE,SPRING,2024
SOMS,181,510,31,3,0,0,0,34,3.954,0,0,0,0,0,34,PARKER C,MILITARY SCIENCE,SPRING,2024
SOMS,181,511,28,5,1,0,0,34,3.857,0,0,0,0,0,34,WOOD F,MILITARY SCIENCE,SPRING,2024
SOMS,181,512,26,7,2,0,0,35,3.736,0,0,0,0,0,35,SCHLATHER B,MILITARY SCIENCE,SPRING,2024
SOMS,181,513,32,1,0,0,0,33,4.000,0,0,0,0,0,33,LEIBLE J,MILITARY SCIENCE,SPRING,2024
SOMS,181,514,35,1,0,0,0,36,3.954,0,0,0,0,0,36,PARKER C,MILITARY SCIENCE,SPRING,2024
SOMS,181,515,35,0,0,0,0,35,4.000,0,0,0,0,0,35,LEIBLE J,MILITARY SCIENCE,SPRING,2024
SOMS,181,516,29,1,5,0,0,35,3.826,0,0,0,0,0,35,WOOD F,MILITARY SCIENCE,SPRING,2024
SOMS,181,517,30,3,1,0,0,34,3.904,0,0,0,0,0,34,WOOD F,MILITARY SCIENCE,SPRING,2024
SOMS,181,518,26,4,3,0,0,33,3.857,0,0,0,0,0,33,SCHLATHER B,MILITARY SCIENCE,SPRING,2024
SOMS,181,519,33,1,1,0,0,35,3.941,0,0,0,0,0,35,WASHINGTON R,MILITARY SCIENCE,SPRING,2024
SOMS,181,520,29,3,2,0,1,35,3.900,0,0,0,0,0,35,GRIFFING K,MILITARY SCIENCE,SPRING,2024
SOMS,181,521,25,4,5,0,1,35,3.444,0,0,0,0,0,35,REGAN J,MILITARY SCIENCE,SPRING,2024
SOMS,281,500,23,2,2,0,0,27,3.857,0,0,0,0,0,27,PAINE D,MILITARY SCIENCE,SPRING,2024
SOMS,281,501,26,0,0,0,1,27,4.000,0,0,0,0,0,27,PAINE D,MILITARY SCIENCE,SPRING,2024
SOMS,281,502,26,0,0,0,0,26,4.000,0,0,0,0,0,26,WENTLING D,MILITARY SCIENCE,SPRING,2024
SOMS,281,503,15,7,1,0,2,25,3.285,0,0,0,0,0,25,ALLISON K,MILITARY SCIENCE,SPRING,2024
SOMS,281,504,20,5,3,0,0,28,3.640,0,0,0,0,0,28,BROWN T,MILITARY SCIENCE,SPRING,2024
SOMS,281,505,25,1,0,0,0,26,3.954,0,0,0,0,0,26,PAINE D,MILITARY SCIENCE,SPRING,2024
SOMS,281,506,14,7,5,0,0,26,3.600,0,0,0,1,0,27,PAINE D,MILITARY SCIENCE,SPRING,2024
SOMS,281,507,25,0,0,0,0,25,4.000,0,0,0,0,0,25,WENTLING D,MILITARY SCIENCE,SPRING,2024
SOMS,281,508,17,8,2,0,0,27,3.560,0,0,0,0,0,27,PAINE D,MILITARY SCIENCE,SPRING,2024
SOMS,281,509,15,8,1,0,0,24,3.619,0,0,0,0,0,24,PAINE D,MILITARY SCIENCE,SPRING,2024
SOMS,281,510,17,4,6,0,0,27,3.454,0,0,0,0,0,27,PAINE D,MILITARY SCIENCE,SPRING,2024
SOMS,281,511,28,0,0,0,0,28,4.000,0,0,0,0,0,28,IVIE R,MILITARY SCIENCE,SPRING,2024
SOMS,381,531,14,2,4,0,0,20,3.625,0,0,0,0,1,21,KELLER D,MILITARY SCIENCE,SPRING,2024
SOMS,381,532,16,7,0,0,0,23,3.650,0,0,0,0,0,23,KELLER D,MILITARY SCIENCE,SPRING,2024
SOMS,381,533,24,0,0,0,0,24,4.000,0,0,0,0,0,24,CRAWFORD K,MILITARY SCIENCE,SPRING,2024
SOMS,381,534,18,4,2,0,0,24,3.687,0,0,0,0,0,24,PAINE D,MILITARY SCIENCE,SPRING,2024
SOMS,381,535,23,1,0,0,0,24,4.000,0,0,0,0,0,24,LONG M,MILITARY SCIENCE,SPRING,2024
SOMS,381,536,20,2,1,0,0,23,3.823,0,0,0,0,0,23,KELLER D,MILITARY SCIENCE,SPRING,2024
SOMS,381,539,23,1,0,0,0,24,4.000,0,0,0,0,0,24,KELLER D,MILITARY SCIENCE,SPRING,2024
SOMS,381,541,22,0,2,0,0,24,4.000,0,0,0,0,0,24,MATTHEWS B,MILITARY SCIENCE,SPRING,2024
SOMS,381,544,23,1,0,0,0,24,4.000,0,0,0,0,0,24,MATTHEWS B,MILITARY SCIENCE,SPRING,2024
SOMS,381,545,11,6,3,0,2,22,3.636,1,0,0,0,0,23,KELLER D,MILITARY SCIENCE,SPRING,2024
SOMS,381,548,21,1,2,0,0,24,3.782,0,0,0,0,0,24,WALLER M,MILITARY SCIENCE,SPRING,2024
SOMS,482,501,28,0,0,0,0,28,4.000,0,0,0,0,0,28,GARDNER J,MILITARY SCIENCE,SPRING,2024
SOMS,482,502,20,0,0,0,0,20,4.000,0,0,0,0,0,20,KELLER D,MILITARY SCIENCE,SPRING,2024
SOMS,482,503,16,0,0,0,0,16,4.000,0,0,0,0,0,16,KELLER D,MILITARY SCIENCE,SPRING,2024
SOMS,482,550,17,5,2,0,0,24,3.800,0,0,0,0,0,24,ALEXANDER S,MILITARY SCIENCE,SPRING,2024
SOMS,482,551,31,0,0,0,0,31,4.000,0,0,0,0,0,31,KELLER D,MILITARY SCIENCE,SPRING,2024
