Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
NURS,305,700,62,6,0,0,0,68,3.911,0,0,0,0,0,68,BRANDFORD A,NURSING-SCHOOL,FALL,2023
NURS,305,702,49,0,0,0,0,49,4.000,0,0,0,0,0,49,BRUCE C,NURSING-SCHOOL,FALL,2023
NURS,306,500,40,32,0,0,0,72,3.555,0,0,0,0,0,72,ROSEN C,NURSING-SCHOOL,FALL,2023
NURS,306,501,27,21,0,0,0,48,3.562,0,0,0,0,0,48,BLOOM R,NURSING-SCHOOL,FALL,2023
NURS,307,500,18,0,0,0,0,18,4.000,0,0,0,0,0,18,ROSEN C,NURSING-SCHOOL,FALL,2023
NURS,307,501,16,0,0,0,0,16,4.000,0,0,0,0,0,16,HAMILTON V,NURSING-SCHOOL,FALL,2023
NURS,307,502,18,0,0,0,0,18,4.000,0,0,0,0,0,18,LANG B,NURSING-SCHOOL,FALL,2023
NURS,307,503,18,0,0,0,0,18,4.000,0,0,0,0,0,18,ANDERSON L,NURSING-SCHOOL,FALL,2023
NURS,307,504,18,0,0,0,0,18,4.000,0,0,0,0,0,18,GREENWOOD W,NURSING-SCHOOL,FALL,2023
NURS,307,505,16,0,0,0,0,16,4.000,0,0,0,0,0,16,DEMING K,NURSING-SCHOOL,FALL,2023
NURS,307,506,16,0,0,0,0,16,4.000,0,0,0,0,0,16,VILLALON-ARRIAGA L,NURSING-SCHOOL,FALL,2023
NURS,312,501,47,1,0,0,0,48,3.979,0,0,0,0,0,48,BRUCE C,NURSING-SCHOOL,FALL,2023
NURS,312,502,33,36,3,0,0,72,3.416,0,0,0,0,0,72,MARKLUND L,NURSING-SCHOOL,FALL,2023
NURS,315,500,41,19,0,0,0,60,3.683,0,0,0,0,0,60,VAN S,NURSING-SCHOOL,FALL,2023
NURS,316,500,48,0,0,0,0,48,4.000,0,0,0,0,0,48,MOFFITT C,NURSING-SCHOOL,FALL,2023
NURS,323,500,2,4,0,0,0,6,3.333,0,0,0,0,0,6,MAXA T,NURSING-SCHOOL,FALL,2023
NURS,323,501,4,3,1,0,0,8,3.375,0,0,0,0,0,8,MAXA T,NURSING-SCHOOL,FALL,2023
NURS,323,502,2,5,0,0,0,7,3.285,0,0,0,0,0,7,MAXA T,NURSING-SCHOOL,FALL,2023
NURS,323,503,3,3,0,0,0,6,3.500,0,0,0,0,0,6,MAXA T,NURSING-SCHOOL,FALL,2023
NURS,323,504,1,4,0,0,0,5,3.200,0,0,0,0,0,5,MAXA T,NURSING-SCHOOL,FALL,2023
NURS,323,506,2,4,0,0,0,6,3.333,0,0,0,0,0,6,MAXA T,NURSING-SCHOOL,FALL,2023
NURS,323,507,3,4,1,0,0,8,3.250,0,0,0,0,0,8,MAXA T,NURSING-SCHOOL,FALL,2023
NURS,323,508,3,5,0,0,0,8,3.375,0,0,0,0,0,8,MAXA T,NURSING-SCHOOL,FALL,2023
NURS,323,509,1,6,0,0,0,7,3.142,0,0,0,0,0,7,MAXA T,NURSING-SCHOOL,FALL,2023
NURS,323,513,4,4,0,0,0,8,3.500,0,0,0,0,0,8,VILLALON-ARRIAGA L,NURSING-SCHOOL,FALL,2023
NURS,323,514,3,2,0,0,0,5,3.600,0,0,0,0,0,5,VILLALON-ARRIAGA L,NURSING-SCHOOL,FALL,2023
NURS,323,515,7,1,0,0,0,8,3.875,0,0,0,0,0,8,VILLALON-ARRIAGA L,NURSING-SCHOOL,FALL,2023
NURS,323,516,7,1,0,0,0,8,3.875,0,0,0,0,0,8,VILLALON-ARRIAGA L,NURSING-SCHOOL,FALL,2023
NURS,323,517,5,3,0,0,0,8,3.625,0,0,0,0,0,8,VILLALON-ARRIAGA L,NURSING-SCHOOL,FALL,2023
NURS,411,900,16,0,0,0,0,16,4.000,0,0,0,0,0,16,BHATTARAI M,NURSING-SCHOOL,FALL,2023
NURS,411,901,21,0,0,0,0,21,4.000,0,0,0,0,0,21,BRANDFORD A,NURSING-SCHOOL,FALL,2023
NURS,411,902,18,0,0,0,0,18,4.000,0,0,0,0,0,18,DOWNING N,NURSING-SCHOOL,FALL,2023
NURS,411,903,20,0,0,0,0,20,4.000,0,0,0,0,0,20,HUANG Y,NURSING-SCHOOL,FALL,2023
NURS,411,904,20,0,0,0,0,20,4.000,0,0,0,0,0,20,HUANG Y,NURSING-SCHOOL,FALL,2023
NURS,411,970,5,0,0,0,0,5,4.000,0,0,0,0,0,5,BHATTARAI M,NURSING-SCHOOL,FALL,2023
NURS,412,500,25,38,1,0,0,64,3.375,0,0,0,0,0,64,MCKEE S,NURSING-SCHOOL,FALL,2023
NURS,413,500,3,5,0,0,0,8,3.375,0,0,0,0,0,8,PITTMAN A,NURSING-SCHOOL,FALL,2023
NURS,413,501,2,8,0,0,0,10,3.200,0,0,0,0,0,10,PITTMAN A,NURSING-SCHOOL,FALL,2023
NURS,413,502,4,4,0,0,0,8,3.500,0,0,0,0,0,8,PITTMAN A,NURSING-SCHOOL,FALL,2023
NURS,413,503,2,7,0,0,0,9,3.222,0,0,0,0,0,9,PITTMAN A,NURSING-SCHOOL,FALL,2023
NURS,413,504,4,4,0,0,0,8,3.500,0,0,0,0,0,8,PITTMAN A,NURSING-SCHOOL,FALL,2023
NURS,413,505,1,6,0,0,0,7,3.142,0,0,0,0,0,7,PITTMAN A,NURSING-SCHOOL,FALL,2023
NURS,413,506,3,5,0,0,0,8,3.375,0,0,0,0,0,8,PITTMAN A,NURSING-SCHOOL,FALL,2023
NURS,413,507,8,1,0,0,0,9,3.888,0,0,0,0,0,9,MOFFITT C,NURSING-SCHOOL,FALL,2023
NURS,413,508,9,1,0,0,0,10,3.900,0,0,0,0,0,10,MOFFITT C,NURSING-SCHOOL,FALL,2023
NURS,413,509,8,1,0,0,0,9,3.888,0,0,0,0,0,9,MOFFITT C,NURSING-SCHOOL,FALL,2023
