Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
FORS,601,700,6,0,0,0,0,6,4.000,0,0,0,0,0,6,CLEMENTS P,NURSING-SCHOOL,SPRING,2023
NURS,305,598,58,4,0,0,0,62,3.935,0,0,0,0,0,62,BRANDFORD A,NURSING-SCHOOL,SPRING,2023
NURS,305,599,36,3,2,0,0,41,3.829,0,0,0,0,0,41,MAULDIN B,NURSING-SCHOOL,SPRING,2023
NURS,306,500,27,36,1,0,0,64,3.406,0,0,0,0,0,64,ROSEN C,NURSING-SCHOOL,SPRING,2023
NURS,306,501,17,23,0,0,0,40,3.425,0,0,0,0,0,40,BLOOM R,NURSING-SCHOOL,SPRING,2023
NURS,307,500,16,0,0,0,0,16,4.000,0,0,0,0,0,16,GREENWOOD W,NURSING-SCHOOL,SPRING,2023
NURS,307,501,13,0,0,0,0,13,4.000,0,0,0,0,0,13,GRUBEN D,NURSING-SCHOOL,SPRING,2023
NURS,307,502,16,0,0,0,0,16,4.000,0,0,0,0,0,16,GREENWOOD W,NURSING-SCHOOL,SPRING,2023
NURS,307,503,16,0,0,0,0,16,4.000,0,0,0,0,0,16,GREENWOOD W,NURSING-SCHOOL,SPRING,2023
NURS,307,504,16,0,0,0,0,16,4.000,0,0,0,0,0,16,GREENWOOD W,NURSING-SCHOOL,SPRING,2023
NURS,307,505,14,0,0,0,0,14,4.000,0,0,0,0,0,14,GRUBEN D,NURSING-SCHOOL,SPRING,2023
NURS,307,506,13,0,0,0,0,13,4.000,0,0,0,0,0,13,FLEETING M,NURSING-SCHOOL,SPRING,2023
NURS,312,500,24,40,0,0,0,64,3.375,0,0,0,0,0,64,MARKLUND L,NURSING-SCHOOL,SPRING,2023
NURS,312,501,39,1,0,0,0,40,3.975,0,0,0,0,0,40,BRUCE C,NURSING-SCHOOL,SPRING,2023
NURS,315,500,21,5,0,0,0,26,3.807,0,0,0,0,0,26,PULLIUM C,NURSING-SCHOOL,SPRING,2023
NURS,315,501,22,1,0,0,0,23,3.956,0,0,0,0,0,23,EHLERT P,NURSING-SCHOOL,SPRING,2023
NURS,315,502,8,2,0,0,0,10,3.800,0,0,0,0,0,10,GREENWOOD W,NURSING-SCHOOL,SPRING,2023
