Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
NURS,315,300,8,0,0,0,0,8,4.000,0,0,0,0,0,8,VILLALON-ARRIAGA L,NURSING-SCHOOL,SUMMER,2024
NURS,315,301,6,0,0,0,0,6,4.000,0,0,0,0,0,6,VILLALON-ARRIAGA L,NURSING-SCHOOL,SUMMER,2024
NURS,315,302,5,0,0,0,0,5,4.000,0,0,0,0,0,5,VILLALON-ARRIAGA L,NURSING-SCHOOL,SUMMER,2024
NURS,315,303,8,1,0,0,0,9,3.888,0,0,0,0,0,9,VILLALON-ARRIAGA L,NURSING-SCHOOL,SUMMER,2024
NURS,315,304,10,0,0,0,0,10,4.000,0,0,0,0,0,10,VILLALON-ARRIAGA L,NURSING-SCHOOL,SUMMER,2024
NURS,315,305,8,0,0,0,0,8,4.000,0,0,0,0,0,8,VILLALON-ARRIAGA L,NURSING-SCHOOL,SUMMER,2024
NURS,316,300,46,34,0,0,0,80,3.575,0,0,0,0,0,80,ANDERSON L,NURSING-SCHOOL,SUMMER,2024
NURS,320,300,2,5,1,0,0,8,3.125,0,0,0,0,0,8,ROSS A,NURSING-SCHOOL,SUMMER,2024
NURS,320,301,2,6,0,0,0,8,3.250,0,0,0,0,0,8,ROSS A,NURSING-SCHOOL,SUMMER,2024
NURS,320,302,3,5,0,0,0,8,3.375,0,0,0,0,0,8,ROSS A,NURSING-SCHOOL,SUMMER,2024
NURS,320,304,0,8,0,0,0,8,3.000,1,0,0,0,0,9,ROSS A,NURSING-SCHOOL,SUMMER,2024
NURS,320,305,2,6,0,0,0,8,3.250,0,0,0,0,0,8,MULCAHY A,NURSING-SCHOOL,SUMMER,2024
NURS,320,306,3,4,0,0,0,7,3.428,0,0,0,0,0,7,ROSS A,NURSING-SCHOOL,SUMMER,2024
NURS,320,307,2,5,1,0,0,8,3.125,0,0,0,0,0,8,MULCAHY A,NURSING-SCHOOL,SUMMER,2024
NURS,320,308,1,6,1,0,0,8,3.000,0,0,0,0,0,8,ROSS A,NURSING-SCHOOL,SUMMER,2024
NURS,320,314,0,8,0,0,0,8,3.000,0,0,0,0,0,8,ROSS A,NURSING-SCHOOL,SUMMER,2024
NURS,320,315,3,5,0,0,0,8,3.375,0,0,0,0,0,8,ROSS A,NURSING-SCHOOL,SUMMER,2024
NURS,323,300,6,3,0,0,0,9,3.666,0,0,0,0,0,9,MAXA T,NURSING-SCHOOL,SUMMER,2024
NURS,323,301,4,1,0,0,0,5,3.800,0,0,0,0,0,5,MAXA T,NURSING-SCHOOL,SUMMER,2024
NURS,323,302,4,1,0,0,0,5,3.800,0,0,0,0,0,5,MAXA T,NURSING-SCHOOL,SUMMER,2024
