Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ARTS,103,501,12,0,0,1,0,13,3.769,0,0,0,0,0,13,PUGH R,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,104,500,8,4,1,0,0,13,3.538,0,0,0,0,0,13,GOODMAN J,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,104,701,21,2,0,0,0,23,3.913,0,0,0,0,0,23,HONEYCUTT A,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,115,501,17,1,0,0,0,18,3.944,0,0,0,0,0,18,PUGH R,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,115,502,12,6,0,0,0,18,3.666,0,0,0,0,0,18,HOUSE F,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,115,503,6,11,2,0,1,20,3.050,0,0,0,0,0,20,KOUSTOV D,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,115,504,5,11,2,0,1,19,3.000,0,0,0,0,0,19,PARMAR N,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,115,505,3,12,1,0,1,17,2.941,0,0,0,0,0,17,KOUSTOV D,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,115,506,6,8,3,0,0,17,3.176,0,0,0,0,0,17,STEELE Z,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,115,507,3,14,0,0,0,17,3.176,0,0,0,0,0,17,KOUSTOV D,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,149,200,6,1,0,0,1,8,3.375,0,0,0,1,0,9,SUTHERLAND S,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,149,500,143,36,4,1,0,184,3.744,0,0,0,4,0,188,SUTHERLAND S,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,149,501,21,2,1,0,0,24,3.833,0,0,0,0,0,24,SUTHERLAND S,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,149,701,45,18,2,3,0,68,3.544,0,0,0,1,0,69,SUTHERLAND S,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,149,702,38,21,5,1,1,66,3.424,0,0,0,0,0,66,SUTHERLAND S,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,150,501,27,2,0,0,1,30,3.800,0,0,0,0,0,30,WORLEY S,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,150,502,137,6,2,1,4,150,3.806,0,0,0,2,0,152,WORLEY S,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,150,701,31,29,3,0,1,64,3.390,0,0,0,4,0,68,LEIDERMAN D,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,150,702,55,8,4,1,2,70,3.614,0,0,0,0,0,70,WORLEY S,"PERF, VISUAL & FINE ARTS",FALL,2023
ARTS,150,703,53,8,2,0,1,64,3.750,0,0,0,0,0,64,WORLEY S,"PERF, VISUAL & FINE ARTS",FALL,2023
