Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ARTS,103,501,8,1,0,0,0,9,3.888,0,0,0,0,0,9,PUGH R,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,104,501,13,5,0,0,0,18,3.722,0,0,0,0,0,18,GOODMAN J,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,149,501,13,4,3,0,0,20,3.500,0,0,0,0,0,20,SUTHERLAND S,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,149,502,75,42,14,3,1,135,3.385,0,0,0,5,0,140,SUTHERLAND S,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,149,702,50,17,2,0,1,70,3.642,0,0,0,0,0,70,SUTHERLAND S,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,149,703,37,7,2,2,1,49,3.571,0,0,0,2,0,51,SUTHERLAND S,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,149,704,10,5,1,2,0,18,3.277,0,0,0,1,0,19,SUTHERLAND S,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,150,201,6,1,0,0,0,7,3.857,0,0,0,0,0,7,LEIDERMAN D,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,150,501,12,1,0,0,0,13,3.923,0,0,0,0,0,13,LEIDERMAN D,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,150,502,54,34,11,3,4,106,3.235,0,0,0,7,0,113,LEIDERMAN D,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,150,701,34,19,8,1,1,63,3.333,0,0,0,4,0,67,LEIDERMAN D,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,150,702,47,11,3,1,1,63,3.619,0,0,0,6,0,69,SCHULD D,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,210,500,11,1,1,0,0,13,3.769,0,0,0,4,0,17,WEAVER T,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,212,502,9,7,1,0,1,18,3.277,0,0,0,0,0,18,KOUSTOV D,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,212,504,18,5,0,0,0,23,3.782,0,0,0,0,0,23,WOODFIN S,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,303,700,6,4,4,0,1,15,2.933,0,0,0,0,0,15,HONEYCUTT A,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,304,500,11,4,2,0,1,18,3.333,0,0,0,0,0,18,BOLOGAN A,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,305,501,7,8,3,0,0,18,3.222,0,0,0,0,0,18,HOUSE F,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,312,500,10,0,0,0,0,10,4.000,0,0,0,1,0,11,VIGUS G,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,325,501,18,2,0,0,0,20,3.900,0,0,0,1,0,21,NGUYEN D,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,325,700,14,2,1,0,1,18,3.555,1,0,0,1,0,20,WOODFIN S,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,330,500,6,9,5,2,0,22,2.863,0,0,0,3,0,25,BIEBER S,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,339,500,17,8,5,2,1,33,3.151,0,0,0,0,0,33,SCHULD D,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,341,501,23,7,0,0,0,30,3.766,0,0,0,0,0,30,ANDREASSON M,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,349,501,2,6,2,0,0,10,3.000,0,0,0,1,0,11,BIEBER S,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,349,502,2,13,20,0,1,36,2.416,0,0,0,7,0,43,BIEBER S,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,353,500,14,4,0,0,0,18,3.777,0,0,0,0,0,18,PUGH R,"PERF, VISUAL & FINE ARTS",SPRING,2023
ARTS,403,500,7,4,0,0,0,11,3.636,0,0,0,0,0,11,HONEYCUTT A,"PERF, VISUAL & FINE ARTS",SPRING,2023
DCED,168,500,17,0,0,0,0,17,4.000,0,0,0,0,0,17,PETUCH J,"PERF, VISUAL & FINE ARTS",SPRING,2023
DCED,201,500,23,1,0,0,0,24,3.958,0,0,0,0,0,24,PETUCH J,"PERF, VISUAL & FINE ARTS",SPRING,2023
DCED,202,500,13,3,0,1,0,17,3.647,0,0,0,0,0,17,POOLEY-DETWILER A,"PERF, VISUAL & FINE ARTS",SPRING,2023
DCED,202,597,52,15,5,0,0,72,3.652,0,0,0,4,0,76,ALVAREZ A,"PERF, VISUAL & FINE ARTS",SPRING,2023
DCED,202,599,76,1,0,0,0,77,3.987,0,0,0,1,0,78,POOLEY-DETWILER A,"PERF, VISUAL & FINE ARTS",SPRING,2023
DCED,202,701,63,5,5,1,0,74,3.756,0,0,0,1,0,75,POOLEY-DETWILER A,"PERF, VISUAL & FINE ARTS",SPRING,2023
