Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
ARTS,149,700,62,10,0,0,2,74,3.756,0,0,0,1,0,75,SUTHERLAND S,"PERF, VISUAL & FINE ARTS",SUMMER,2023
ARTS,150,701,11,2,0,0,0,13,3.846,0,0,0,0,0,13,LEIDERMAN D,"PERF, VISUAL & FINE ARTS",SUMMER,2023
DCED,202,701,92,4,0,0,0,96,3.958,0,0,0,1,0,97,BERGERON C,"PERF, VISUAL & FINE ARTS",SUMMER,2023
DCED,202,702,91,3,0,2,1,97,3.865,1,0,0,0,0,98,ARMSTRONG C,"PERF, VISUAL & FINE ARTS",SUMMER,2023
DCED,202,704,90,1,3,2,0,96,3.864,0,0,0,0,0,96,POOLEY-DETWILER A,"PERF, VISUAL & FINE ARTS",SUMMER,2023
PERF,200,200,19,1,0,0,0,20,3.950,0,0,0,0,0,20,QUACKENBUSH AMMONS,"PERF, VISUAL & FINE ARTS",SUMMER,2023
PERF,201,200,1,2,2,0,0,5,2.800,0,0,0,0,0,5,IMHOFF A,"PERF, VISUAL & FINE ARTS",SUMMER,2023
PERF,226,200,12,1,0,0,1,14,3.642,0,0,0,0,0,14,CAMPBELL M,"PERF, VISUAL & FINE ARTS",SUMMER,2023
PERF,301,200,16,0,0,0,1,17,3.764,0,0,0,0,0,17,CONNOR W,"PERF, VISUAL & FINE ARTS",SUMMER,2023
PERF,301,701,43,5,2,0,0,50,3.820,0,0,0,1,0,51,LAFEVERS C,"PERF, VISUAL & FINE ARTS",SUMMER,2023
VIST,205,300,19,6,0,0,0,25,3.760,0,0,0,0,0,25,BUJNOCH E,"PERF, VISUAL & FINE ARTS",SUMMER,2023
VIST,405,300,9,0,0,0,0,9,4.000,0,0,0,0,0,9,THOMAS A,"PERF, VISUAL & FINE ARTS",SUMMER,2023
VIST,405,301,6,0,0,0,0,6,4.000,0,0,0,0,0,6,ANDREASSON M,"PERF, VISUAL & FINE ARTS",SUMMER,2023
VIST,439,100,3,1,2,0,0,6,3.166,0,0,0,0,0,6,BOLOGAN A,"PERF, VISUAL & FINE ARTS",SUMMER,2023
VIST,485,300,6,0,0,0,0,6,4.000,0,0,0,0,0,6,ANDREASSON M,"PERF, VISUAL & FINE ARTS",SUMMER,2023
VIZA,627,100,17,0,0,0,0,17,4.000,0,0,0,0,0,17,ANDREASSON M,"PERF, VISUAL & FINE ARTS",SUMMER,2023
VIZA,627,101,7,0,0,0,0,7,4.000,0,0,0,0,0,7,THOMAS A,"PERF, VISUAL & FINE ARTS",SUMMER,2023
VIZA,627,200,17,0,0,0,0,17,4.000,0,0,0,0,0,17,KICKLIGHTER C,"PERF, VISUAL & FINE ARTS",SUMMER,2023
VIZA,627,201,7,0,0,0,0,7,4.000,0,0,0,0,0,7,THOMAS A,"PERF, VISUAL & FINE ARTS",SUMMER,2023
