Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
PHEO,605,600,39,0,0,0,0,39,4.000,0,0,0,0,0,39,MCDONALD T,PUBLIC HEALTH,FALL,2023
PHEO,613,700,7,0,0,0,0,7,4.000,0,0,0,1,0,8,CARRILLO G,PUBLIC HEALTH,FALL,2023
PHEO,618,600,5,6,2,2,0,15,2.933,0,0,0,0,0,15,PICKENS A,PUBLIC HEALTH,FALL,2023
PHEO,621,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,MENDOZA SANCHEZ I,PUBLIC HEALTH,FALL,2023
PHEO,630,600,25,3,0,0,0,28,3.892,0,0,0,0,0,28,JOHNSON N,PUBLIC HEALTH,FALL,2023
PHEO,674,601,12,5,2,0,0,19,3.526,0,0,0,0,0,19,PERES C,PUBLIC HEALTH,FALL,2023
PHEO,678,600,17,3,0,0,0,20,3.850,0,0,0,0,0,20,DOUPHRATE D,PUBLIC HEALTH,FALL,2023
PHEB,602,600,19,9,4,0,0,32,3.468,0,0,0,0,0,32,HAN G,PUBLIC HEALTH,FALL,2023
PHEB,602,700,6,5,2,0,1,14,3.071,0,0,0,3,0,17,TARWATER P,PUBLIC HEALTH,FALL,2023
PHEB,605,600,6,7,6,1,0,20,2.900,0,0,0,0,0,20,GORMAN D,PUBLIC HEALTH,FALL,2023
PHEB,605,700,8,6,1,0,0,15,3.466,0,0,0,1,0,16,SHALTOUT M,PUBLIC HEALTH,FALL,2023
PHEB,606,699,2,3,0,0,0,5,3.400,0,0,0,0,0,5,ZHENG Q,PUBLIC HEALTH,FALL,2023
PHEB,609,600,26,4,0,0,0,30,3.866,0,0,0,0,0,30,ZHAO H,PUBLIC HEALTH,FALL,2023
PHEB,609,700,21,10,0,0,1,32,3.562,0,0,0,0,0,32,ZHAO H,PUBLIC HEALTH,FALL,2023
PHEB,610,600,30,3,0,0,0,33,3.909,0,0,0,0,0,33,ROH T,PUBLIC HEALTH,FALL,2023
PHEB,610,700,18,9,1,0,1,29,3.482,0,0,0,1,0,30,XU X,PUBLIC HEALTH,FALL,2023
PHEB,617,699,7,0,0,1,1,9,3.222,1,0,0,0,0,10,GORMAN D,PUBLIC HEALTH,FALL,2023
PHEB,618,600,8,2,0,0,0,10,3.800,0,0,0,0,0,10,HAN D,PUBLIC HEALTH,FALL,2023
PHEB,618,700,6,2,2,0,2,12,2.833,0,0,0,6,0,18,HAN D,PUBLIC HEALTH,FALL,2023
PHEB,619,600,8,2,0,0,0,10,3.800,0,0,0,0,0,10,FISCHER R,PUBLIC HEALTH,FALL,2023
PHEB,631,601,16,2,0,0,0,18,3.888,0,0,0,1,0,19,XU X,PUBLIC HEALTH,FALL,2023
HPCH,603,600,12,5,0,0,0,17,3.705,0,0,0,0,0,17,STASI S,PUBLIC HEALTH,FALL,2023
HPCH,604,600,7,0,0,0,0,7,4.000,1,0,0,0,0,8,COLWELL G,PUBLIC HEALTH,FALL,2023
HPCH,613,600,12,0,0,0,0,12,4.000,0,0,0,1,1,14,MA P,PUBLIC HEALTH,FALL,2023
HPCH,635,600,10,0,0,0,0,10,4.000,0,0,0,0,0,10,BURDINE J,PUBLIC HEALTH,FALL,2023
HPCH,637,601,13,2,0,0,0,15,3.866,0,0,0,0,0,15,GILREATH T,PUBLIC HEALTH,FALL,2023
HPCH,672,600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,MA P,PUBLIC HEALTH,FALL,2023
HLTH,210,501,60,44,7,2,1,114,3.403,0,0,0,0,0,114,FEHR S,PUBLIC HEALTH,FALL,2023
HLTH,210,502,80,46,7,2,0,135,3.511,0,0,0,0,0,135,FEHR S,PUBLIC HEALTH,FALL,2023
HLTH,210,503,35,59,11,0,0,105,3.228,0,0,0,2,0,107,BAETGE C,PUBLIC HEALTH,FALL,2023
HLTH,210,504,32,27,9,0,0,68,3.338,0,0,0,0,0,68,WILLIAMS M,PUBLIC HEALTH,FALL,2023
HLTH,221,501,31,0,1,0,0,32,3.937,0,0,0,0,0,32,GILREATH T,PUBLIC HEALTH,FALL,2023
HLTH,222,500,35,2,1,0,0,38,3.894,0,0,0,0,0,38,RAHN R,PUBLIC HEALTH,FALL,2023
HLTH,231,503,96,10,3,0,2,111,3.783,0,0,0,0,0,111,HANIK B,PUBLIC HEALTH,FALL,2023
HLTH,231,598,118,22,3,0,0,143,3.804,0,0,0,0,0,143,AMO C,PUBLIC HEALTH,FALL,2023
HLTH,231,599,126,13,3,0,0,142,3.866,0,0,0,2,0,144,VERA S,PUBLIC HEALTH,FALL,2023
HLTH,236,500,13,0,0,0,0,13,4.000,0,0,0,0,0,13,JI Q,PUBLIC HEALTH,FALL,2023
HLTH,236,501,32,0,0,0,0,32,4.000,0,0,0,0,0,32,SHERMAN L,PUBLIC HEALTH,FALL,2023
HLTH,236,597,266,37,2,0,1,306,3.852,0,0,0,0,0,306,MAKHDOOMI M,PUBLIC HEALTH,FALL,2023
HLTH,236,598,148,5,1,0,0,154,3.954,0,0,0,1,0,155,PATINO I,PUBLIC HEALTH,FALL,2023
HLTH,240,598,94,17,4,0,1,116,3.750,0,0,0,1,0,117,NABIL A,PUBLIC HEALTH,FALL,2023
HLTH,240,599,86,25,1,1,1,114,3.701,0,0,0,0,0,114,NABIL A,PUBLIC HEALTH,FALL,2023
HLTH,331,500,60,4,1,0,0,65,3.907,0,0,0,0,0,65,PROCHNOW T,PUBLIC HEALTH,FALL,2023
HLTH,331,501,37,23,4,1,0,65,3.476,0,0,0,0,0,65,BLAKE J,PUBLIC HEALTH,FALL,2023
HLTH,331,503,40,17,5,2,0,64,3.484,0,0,0,0,0,64,BLAKE J,PUBLIC HEALTH,FALL,2023
HLTH,334,501,37,21,2,1,0,61,3.540,0,0,0,0,0,61,FEHR S,PUBLIC HEALTH,FALL,2023
