Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
PHEO,612,698,24,1,0,0,0,25,3.960,0,0,0,0,0,25,CARRILLO G,PUBLIC HEALTH,SPRING,2024
PHEO,639,601,17,1,0,0,0,18,3.944,0,0,0,0,0,18,CIZMAS L,PUBLIC HEALTH,SPRING,2024
PHEO,640,600,5,12,6,1,0,24,2.875,0,0,0,0,0,24,PICKENS A,PUBLIC HEALTH,SPRING,2024
PHEO,645,600,9,2,0,0,0,11,3.818,0,0,0,0,0,11,MOATS J,PUBLIC HEALTH,SPRING,2024
PHEO,650,699,16,2,0,0,0,18,3.888,0,0,0,1,0,19,VITUCCI E,PUBLIC HEALTH,SPRING,2024
PHEO,655,600,19,0,0,0,0,19,4.000,0,0,0,0,0,19,RHEE J,PUBLIC HEALTH,SPRING,2024
PHEO,679,600,18,4,0,0,0,22,3.818,0,0,0,0,0,22,BENDEN M,PUBLIC HEALTH,SPRING,2024
PHEO,682,601,16,0,0,0,0,16,4.000,0,0,0,0,0,16,DOUPHRATE D,PUBLIC HEALTH,SPRING,2024
PHEB,603,601,28,7,0,0,0,35,3.800,0,0,0,0,0,35,ERICKSON T,PUBLIC HEALTH,SPRING,2024
PHEB,603,700,4,8,2,0,0,14,3.142,0,0,0,0,0,14,DATZMAN J,PUBLIC HEALTH,SPRING,2024
PHEB,605,600,13,5,0,0,0,18,3.722,0,0,0,0,0,18,HAN D,PUBLIC HEALTH,SPRING,2024
PHEB,612,600,22,9,0,0,0,31,3.709,0,0,0,1,0,32,XU X,PUBLIC HEALTH,SPRING,2024
PHEB,612,700,13,7,0,0,0,20,3.650,0,0,0,0,0,20,ROH T,PUBLIC HEALTH,SPRING,2024
PHEB,613,600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,DIXON B,PUBLIC HEALTH,SPRING,2024
PHEB,614,699,6,1,0,0,0,7,3.857,0,0,0,0,0,7,ZHENG Q,PUBLIC HEALTH,SPRING,2024
PHEB,615,600,13,1,0,0,0,14,3.928,0,0,0,0,0,14,CLENDENIN M,PUBLIC HEALTH,SPRING,2024
PHEB,615,700,13,2,0,0,0,15,3.866,1,0,0,0,0,16,CLENDENIN M,PUBLIC HEALTH,SPRING,2024
PHEB,621,600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,KALBASI S,PUBLIC HEALTH,SPRING,2024
PHEB,621,700,8,12,0,0,0,20,3.400,0,0,0,1,0,21,KALBASI S,PUBLIC HEALTH,SPRING,2024
PHEB,624,600,6,2,0,0,0,8,3.750,0,0,0,0,0,8,ALLGOOD K,PUBLIC HEALTH,SPRING,2024
