Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
PHEB,622,399,5,4,0,0,0,9,3.555,0,0,0,0,0,9,REGAN A,PUBLIC HEALTH,SUMMER,2023
PHEB,622,700,12,3,0,0,0,15,3.800,0,0,0,0,0,15,REGAN A,PUBLIC HEALTH,SUMMER,2023
PHEB,689,699,20,2,0,0,0,22,3.909,0,0,0,0,0,22,ROH T,PUBLIC HEALTH,SUMMER,2023
PHEB,689,700,14,2,0,0,0,16,3.875,0,0,0,0,0,16,ROH T,PUBLIC HEALTH,SUMMER,2023
HLTH,214,700,4,2,0,0,1,7,3.142,0,0,0,0,0,7,LIU J,PUBLIC HEALTH,SUMMER,2023
HLTH,216,100,12,4,0,0,1,17,3.529,0,0,0,0,0,17,VENABLE L,PUBLIC HEALTH,SUMMER,2023
HLTH,231,700,48,9,2,0,0,59,3.779,0,0,0,0,0,59,AMO C,PUBLIC HEALTH,SUMMER,2023
HLTH,231,701,35,7,6,0,0,48,3.604,0,0,0,0,1,49,JOSEPH WILLIAMS E,PUBLIC HEALTH,SUMMER,2023
HLTH,236,702,54,8,1,0,0,63,3.841,0,0,0,0,0,63,ZHANG Z,PUBLIC HEALTH,SUMMER,2023
HLTH,236,703,66,9,0,0,0,75,3.880,0,0,0,0,0,75,ALEXANDER-BADY J,PUBLIC HEALTH,SUMMER,2023
HLTH,240,700,17,11,2,0,0,30,3.500,0,0,0,0,1,31,NABIL A,PUBLIC HEALTH,SUMMER,2023
HLTH,331,100,7,4,0,0,0,11,3.636,0,0,0,1,0,12,PATTERSON M,PUBLIC HEALTH,SUMMER,2023
HLTH,334,700,41,4,0,0,0,45,3.911,0,0,0,0,0,45,KLIMEK S,PUBLIC HEALTH,SUMMER,2023
HLTH,334,702,22,16,2,2,1,43,3.302,0,0,0,0,1,44,FEHR S,PUBLIC HEALTH,SUMMER,2023
HLTH,335,700,31,2,2,0,0,35,3.828,0,0,0,0,0,35,RAHN R,PUBLIC HEALTH,SUMMER,2023
HLTH,342,700,23,9,8,0,0,40,3.375,0,0,0,0,0,40,PORTER K,PUBLIC HEALTH,SUMMER,2023
HLTH,353,700,33,2,0,0,0,35,3.942,0,0,0,0,0,35,FENG S,PUBLIC HEALTH,SUMMER,2023
HLTH,354,700,44,15,1,0,0,60,3.716,0,0,0,0,0,60,HANIK B,PUBLIC HEALTH,SUMMER,2023
HLTH,403,700,23,9,2,0,0,34,3.617,0,0,0,1,0,35,BAETGE C,PUBLIC HEALTH,SUMMER,2023
HLTH,410,700,25,3,0,0,0,28,3.892,0,0,0,0,0,28,MENG X,PUBLIC HEALTH,SUMMER,2023
HLTH,429,700,25,4,3,0,1,33,3.575,0,0,0,0,0,33,MIN J,PUBLIC HEALTH,SUMMER,2023
HLTH,429,701,9,0,0,0,0,9,4.000,0,0,0,0,0,9,MADHIRI E,PUBLIC HEALTH,SUMMER,2023
HLTH,484,302,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MENDEZ S,PUBLIC HEALTH,SUMMER,2023
HLTH,484,352,7,0,0,0,0,7,4.000,0,0,0,0,0,7,MENDEZ S,PUBLIC HEALTH,SUMMER,2023
PHPM,680,600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,DICKEY N,PUBLIC HEALTH,SUMMER,2023
PHLT,302,700,11,6,1,0,0,18,3.555,0,0,0,0,0,18,LIN S,PUBLIC HEALTH,SUMMER,2023
PHLT,303,101,14,1,0,0,1,16,3.687,0,0,0,0,0,16,DELEON J,PUBLIC HEALTH,SUMMER,2023
PHLT,305,200,17,6,1,0,0,24,3.666,0,0,0,0,0,24,TARWATER P,PUBLIC HEALTH,SUMMER,2023
PHLT,307,700,62,9,2,2,0,75,3.746,0,0,0,1,0,76,CARRILLO G,PUBLIC HEALTH,SUMMER,2023
PHLT,330,200,15,0,0,0,0,15,4.000,0,0,0,0,1,16,RHEE J,PUBLIC HEALTH,SUMMER,2023
PHLT,331,399,6,6,5,1,0,18,2.944,0,0,0,0,0,18,BOKELMANN A,PUBLIC HEALTH,SUMMER,2023
PHLT,434,399,2,4,6,2,1,15,2.266,0,0,0,2,0,17,PICKENS A,PUBLIC HEALTH,SUMMER,2023
PHLT,470,150,27,0,0,0,0,27,4.000,0,0,0,0,0,27,CLENDENIN M,PUBLIC HEALTH,SUMMER,2023
PHLT,485,150,25,2,0,0,0,27,3.925,0,0,0,0,0,27,SANSOM G,PUBLIC HEALTH,SUMMER,2023
