Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
CHEN,204,200,4,0,0,0,1,5,3.200,0,0,0,0,0,5,ELBASHIR N,QATAR CAMPUS,FALL,2023
CHEN,204,500,6,9,8,1,0,24,2.833,0,0,0,0,0,24,ELBASHIR N,QATAR CAMPUS,FALL,2023
CHEN,304,200,5,0,0,0,0,5,4.000,0,0,0,0,0,5,SALAMA G,QATAR CAMPUS,FALL,2023
CHEN,304,500,5,6,8,0,0,19,2.842,0,0,0,0,0,19,SALAMA G,QATAR CAMPUS,FALL,2023
CHEN,320,500,11,9,4,0,0,24,3.291,0,0,0,0,0,24,AL-MOHANNADI D,QATAR CAMPUS,FALL,2023
CHEN,322,500,10,9,5,1,0,25,3.120,0,0,0,0,0,25,ABDALLA A,QATAR CAMPUS,FALL,2023
CHEN,354,500,6,5,14,0,0,25,2.680,0,0,0,0,0,25,ABDEL-WAHAB A,QATAR CAMPUS,FALL,2023
CHEN,364,500,1,0,3,1,0,5,2.200,0,0,0,0,0,5,AL-RAWASHDEH M,QATAR CAMPUS,FALL,2023
CHEN,425,500,15,13,6,0,0,34,3.264,1,0,0,0,0,35,LINKE P,QATAR CAMPUS,FALL,2023
CHEN,432,900,4,7,1,0,0,12,3.250,0,0,0,0,0,12,SALAMA G,QATAR CAMPUS,FALL,2023
CHEN,432,901,8,5,0,0,0,13,3.615,0,0,0,0,0,13,SALAMA G,QATAR CAMPUS,FALL,2023
CHEN,455,500,15,7,5,0,0,27,3.370,0,0,0,0,0,27,VECHOT L,QATAR CAMPUS,FALL,2023
CHEN,459,500,4,1,1,0,0,6,3.500,0,0,0,0,0,6,ELBASHIR N,QATAR CAMPUS,FALL,2023
CHEN,461,500,12,10,11,2,0,35,2.914,0,0,0,0,0,35,NOUNOU M,QATAR CAMPUS,FALL,2023
CHEN,481,500,20,12,2,0,0,34,3.529,0,0,0,0,0,34,AL-RAWASHDEH M,QATAR CAMPUS,FALL,2023
CHEN,601,600,15,0,0,0,0,15,4.000,0,0,0,0,0,15,VECHOT L,QATAR CAMPUS,FALL,2023
CHEN,604,600,8,2,2,1,0,13,3.307,0,0,0,0,0,13,NOUNOU M,QATAR CAMPUS,FALL,2023
CHEN,629,600,4,10,1,0,0,15,3.200,0,0,0,0,0,15,KAKOSIMOS K,QATAR CAMPUS,FALL,2023
CHEN,659,600,14,1,0,0,0,15,3.933,0,0,0,0,0,15,ELBASHIR N,QATAR CAMPUS,FALL,2023
ASCC,289,502,2,2,2,0,1,7,2.571,0,0,0,0,0,7,ELSHEIKH A,QATAR CAMPUS,FALL,2023
