Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
CHEN,205,500,5,14,5,0,0,24,3.000,0,0,0,0,0,24,ABDEL-WAHAB A,QATAR CAMPUS,SPRING,2020
CHEN,322,500,10,7,5,0,0,22,3.227,0,0,0,0,0,22,ABDALLA A,QATAR CAMPUS,SPRING,2020
CHEN,323,500,8,7,5,0,0,20,3.150,0,0,0,0,0,20,NOUNOU M,QATAR CAMPUS,SPRING,2020
CHEN,426,500,11,3,0,0,0,14,3.785,0,0,0,0,0,14,LINKE P,QATAR CAMPUS,SPRING,2020
CHEN,433,900,1,10,1,0,0,12,3.000,0,0,0,0,0,12,SALAMA G,QATAR CAMPUS,SPRING,2020
CHEN,461,500,6,5,3,0,0,14,3.214,0,0,0,0,0,14,NOUNOU M,QATAR CAMPUS,SPRING,2020
CHEN,482,500,13,8,0,0,0,21,3.619,0,0,0,0,0,21,VECHOT L,QATAR CAMPUS,SPRING,2020
CHEN,489,501,10,0,0,0,0,10,4.000,0,0,0,0,0,10,CHENG Z,QATAR CAMPUS,SPRING,2020
CHEN,489,502,2,5,0,0,1,8,2.875,0,0,0,0,0,8,AL-MOHANNADI D,QATAR CAMPUS,SPRING,2020
CHEN,489,503,12,10,1,0,0,23,3.478,0,0,0,0,0,23,LINKE P,QATAR CAMPUS,SPRING,2020
CHEN,624,600,7,5,0,0,0,12,3.583,0,0,0,0,0,12,AL-RAWASHDEH M,QATAR CAMPUS,SPRING,2020
CHEN,629,600,9,9,0,0,0,18,3.500,0,0,0,0,0,18,KAKOSIMOS K,QATAR CAMPUS,SPRING,2020
CHEN,655,600,6,1,2,0,0,9,3.444,0,0,0,0,0,9,VECHOT L,QATAR CAMPUS,SPRING,2020
CHEN,665,600,3,1,1,0,0,5,3.400,0,0,0,0,0,5,AL-MOHANNADI D,QATAR CAMPUS,SPRING,2020
ASCC,289,501,1,4,4,0,1,10,2.400,1,0,0,0,0,11,ELSHEIKH A,QATAR CAMPUS,SPRING,2020
ASCC,289,502,0,6,4,0,0,10,2.600,0,0,0,0,0,10,TELAFICI M,QATAR CAMPUS,SPRING,2020
ASCC,289,503,9,2,0,0,0,11,3.818,0,0,0,0,0,11,WARD S,QATAR CAMPUS,SPRING,2020
COMM,365,500,12,2,3,1,0,18,3.388,0,0,0,1,0,19,CREEL W,QATAR CAMPUS,SPRING,2020
ENGL,104,501,11,4,2,0,0,17,3.529,0,0,0,0,0,17,HINGTGEN L,QATAR CAMPUS,SPRING,2020
ENGL,104,502,7,5,0,2,1,15,3.000,0,0,0,0,0,15,HINGTGEN L,QATAR CAMPUS,SPRING,2020
ENGL,104,503,7,0,1,0,0,8,3.750,0,0,0,0,0,8,RUDD L,QATAR CAMPUS,SPRING,2020
ENGL,210,501,15,3,0,0,0,18,3.833,0,0,0,0,0,18,TELAFICI M,QATAR CAMPUS,SPRING,2020
ENGL,210,502,18,0,0,0,0,18,4.000,0,0,0,0,0,18,HODGES A,QATAR CAMPUS,SPRING,2020
ENGL,210,503,12,6,0,0,0,18,3.666,0,0,0,0,0,18,HODGES A,QATAR CAMPUS,SPRING,2020
ENGL,251,500,24,5,0,0,0,29,3.827,0,0,0,0,0,29,WARD S,QATAR CAMPUS,SPRING,2020
ENGR,482,901,13,22,0,0,0,35,3.371,0,0,0,0,0,35,BASHIR H,QATAR CAMPUS,SPRING,2020
ENGR,482,902,9,23,2,0,0,34,3.205,0,0,0,0,0,34,BASHIR H,QATAR CAMPUS,SPRING,2020
HIST,105,501,17,4,1,0,1,23,3.565,1,0,0,1,0,25,BOUNDS B,QATAR CAMPUS,SPRING,2020
HIST,105,502,22,6,1,0,0,29,3.724,1,0,0,1,0,31,BOUNDS B,QATAR CAMPUS,SPRING,2020
HIST,106,501,35,3,3,0,1,42,3.690,0,0,0,0,0,42,VAN DE LOGT M,QATAR CAMPUS,SPRING,2020
HIST,106,502,35,12,2,0,0,49,3.673,0,0,0,0,0,49,VAN DE LOGT M,QATAR CAMPUS,SPRING,2020
INST,222,500,16,6,3,0,0,25,3.520,0,0,0,2,0,27,ELSHEIKH A,QATAR CAMPUS,SPRING,2020
MUSC,201,500,25,3,0,0,0,28,3.892,0,0,0,2,0,30,HINGTGEN L,QATAR CAMPUS,SPRING,2020
POLS,206,500,53,9,3,0,2,67,3.656,1,0,0,0,0,68,URA J,QATAR CAMPUS,SPRING,2020
POLS,207,500,65,4,0,0,0,69,3.942,0,0,0,1,0,70,GRAY P,QATAR CAMPUS,SPRING,2020
CHEM,107,501,3,16,5,5,0,29,2.586,1,0,0,0,0,30,BAZZI H,QATAR CAMPUS,SPRING,2020
CHEM,107,502,2,2,3,0,8,15,1.333,0,2,0,0,1,18,BROTHERS E,QATAR CAMPUS,SPRING,2020
CHEM,117,501,0,7,12,0,2,21,2.142,1,0,0,0,0,22,BAZZI H,QATAR CAMPUS,SPRING,2020
CHEM,117,502,1,5,5,0,1,12,2.416,0,0,0,0,0,12,BROTHERS E,QATAR CAMPUS,SPRING,2020
CHEM,120,501,5,6,3,1,0,15,3.000,0,0,0,0,0,15,MADRAHIMOV S,QATAR CAMPUS,SPRING,2020
CHEM,120,502,5,7,2,1,0,15,3.066,0,0,0,0,0,15,MADRAHIMOV S,QATAR CAMPUS,SPRING,2020
CHEM,228,500,9,8,4,1,0,22,3.136,0,0,0,0,0,22,MADRAHIMOV S,QATAR CAMPUS,SPRING,2020
CHEM,238,501,5,4,0,0,0,9,3.555,0,0,0,0,0,9,MADRAHIMOV S,QATAR CAMPUS,SPRING,2020
