Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
CHEN,432,900,6,0,0,0,0,6,4.000,0,0,0,0,0,6,SALAMA G,QATAR CAMPUS,SUMMER,2021
ASCC,289,300,5,10,1,0,0,16,3.250,0,0,0,0,0,16,ELSHEIKH A,QATAR CAMPUS,SUMMER,2021
COMM,335,300,15,0,0,0,0,15,4.000,0,0,0,0,0,15,HILLMAN S,QATAR CAMPUS,SUMMER,2021
ENGL,104,301,8,1,0,0,0,9,3.888,0,0,0,0,0,9,SCHMALSTIG A,QATAR CAMPUS,SUMMER,2021
ENGL,104,302,3,2,0,0,0,5,3.600,0,0,0,0,0,5,ABBAS N,QATAR CAMPUS,SUMMER,2021
ENGL,210,301,5,0,0,0,0,5,4.000,0,0,0,0,0,5,QUEEN M,QATAR CAMPUS,SUMMER,2021
ENGL,219,300,8,0,1,0,0,9,3.777,0,0,0,0,0,9,RUDD L,QATAR CAMPUS,SUMMER,2021
ENGL,219,302,16,0,0,0,1,17,3.764,0,0,0,0,0,17,SCHMALSTIG A,QATAR CAMPUS,SUMMER,2021
HIST,230,302,6,2,0,0,0,8,3.750,0,0,0,1,0,9,MAKOWICKI S,QATAR CAMPUS,SUMMER,2021
HIST,258,300,10,7,2,0,0,19,3.421,0,0,0,0,0,19,VAN DE LOGT M,QATAR CAMPUS,SUMMER,2021
POLS,206,300,6,2,0,0,0,8,3.750,0,0,0,0,0,8,BASHIR H,QATAR CAMPUS,SUMMER,2021
POLS,207,300,13,1,0,0,0,14,3.928,0,0,0,0,0,14,GRAY P,QATAR CAMPUS,SUMMER,2021
MATH,151,301,2,6,4,2,0,14,2.571,0,0,0,2,0,16,ELGINDI A,QATAR CAMPUS,SUMMER,2021
MATH,152,301,2,6,6,3,1,18,2.277,0,0,0,1,0,19,SOUKIASSIAN Y,QATAR CAMPUS,SUMMER,2021
MATH,152,302,8,6,5,2,0,21,2.952,0,0,0,1,0,22,SOUKIASSIAN Y,QATAR CAMPUS,SUMMER,2021
MATH,152,303,6,4,5,3,1,19,2.578,0,0,0,1,0,20,SOUKIASSIAN Y,QATAR CAMPUS,SUMMER,2021
MATH,308,300,11,8,4,1,0,24,3.208,0,0,0,0,0,24,ELGINDI A,QATAR CAMPUS,SUMMER,2021
MATH,311,300,5,11,7,0,0,23,2.913,0,0,0,0,0,23,HUANG T,QATAR CAMPUS,SUMMER,2021
PHYS,206,300,12,20,20,3,3,58,2.603,0,0,0,1,0,59,BELIC M,QATAR CAMPUS,SUMMER,2021
PHYS,207,300,8,3,5,2,2,20,2.650,0,0,0,3,0,23,NHA H,QATAR CAMPUS,SUMMER,2021
ECEN,214,301,2,5,3,0,0,10,2.900,0,0,0,0,0,10,ZILANY M,QATAR CAMPUS,SUMMER,2021
ECEN,214,302,2,4,3,0,0,9,2.888,0,0,0,0,0,9,ZILANY M,QATAR CAMPUS,SUMMER,2021
ECEN,314,300,8,3,0,0,0,11,3.727,0,0,0,0,0,11,SERPEDIN E,QATAR CAMPUS,SUMMER,2021
ECEN,370,300,2,4,0,0,0,6,3.333,0,0,0,0,0,6,JI J,QATAR CAMPUS,SUMMER,2021
ECEN,403,900,5,0,0,0,0,5,4.000,0,0,0,0,0,5,ABU-RUB H,QATAR CAMPUS,SUMMER,2021
ECEN,446,300,4,12,0,0,0,16,3.250,0,0,0,0,0,16,BOUTROS J,QATAR CAMPUS,SUMMER,2021
ENGR,102,300,3,5,2,0,1,11,2.818,0,0,0,0,0,11,ALNUWEIRI H,QATAR CAMPUS,SUMMER,2021
ENGR,217,302,1,2,2,0,0,5,2.800,0,0,0,0,0,5,ZILANY M,QATAR CAMPUS,SUMMER,2021
ENGR,216,301,1,4,1,0,1,7,2.571,0,0,0,0,0,7,KARKOUB M,QATAR CAMPUS,SUMMER,2021
ENGR,216,303,5,4,0,0,0,9,3.555,0,0,0,0,0,9,KARKOUB M,QATAR CAMPUS,SUMMER,2021
ENGR,216,304,6,2,1,0,0,9,3.555,0,0,0,0,0,9,KARKOUB M,QATAR CAMPUS,SUMMER,2021
ENGR,216,306,3,5,2,0,0,10,3.100,0,0,0,0,0,10,KARKOUB M,QATAR CAMPUS,SUMMER,2021
ENGR,216,307,4,4,1,0,0,9,3.333,0,0,0,1,0,10,KARKOUB M,QATAR CAMPUS,SUMMER,2021
MEEN,315,300,8,4,0,0,0,12,3.666,0,0,0,0,0,12,SCHULLER M,QATAR CAMPUS,SUMMER,2021
MEEN,461,300,8,4,1,0,0,13,3.538,0,0,0,0,0,13,SCHULLER M,QATAR CAMPUS,SUMMER,2021
PETE,311,300,3,3,2,0,0,8,3.125,0,0,0,0,0,8,FADLELMULA M,QATAR CAMPUS,SUMMER,2021
