Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
BIOL,100,500,16,1,0,0,0,17,3.941,0,0,0,0,0,17,RAO A,SCIENCE,FALL,2020
BIOL,107,500,17,3,3,0,0,23,3.608,0,0,0,0,0,23,LEE C,SCIENCE,FALL,2020
BIOL,107,507,14,6,2,1,0,23,3.434,0,0,0,0,0,23,LEE C,SCIENCE,FALL,2020
BIOL,107,508,7,11,4,1,1,24,2.916,0,0,0,0,0,24,LEE C,SCIENCE,FALL,2020
BIOL,107,509,10,7,2,0,0,19,3.421,0,0,0,1,0,20,LEE C,SCIENCE,FALL,2020
BIOL,107,510,7,8,2,2,3,22,2.636,0,0,0,0,0,22,LEE C,SCIENCE,FALL,2020
BIOL,107,511,14,5,0,2,1,22,3.318,0,0,0,1,0,23,LEE C,SCIENCE,FALL,2020
BIOL,107,512,16,7,1,0,0,24,3.625,0,0,0,0,0,24,LEE C,SCIENCE,FALL,2020
BIOL,107,513,12,9,0,1,0,22,3.454,0,0,0,0,0,22,LEE C,SCIENCE,FALL,2020
BIOL,107,514,11,7,2,1,0,21,3.333,0,0,0,1,0,22,LEE C,SCIENCE,FALL,2020
BIOL,107,515,15,6,2,0,0,23,3.565,0,0,0,0,0,23,LEE C,SCIENCE,FALL,2020
BIOL,111,201,6,3,2,0,0,11,3.363,0,0,0,1,0,12,RYAN K,SCIENCE,FALL,2020
BIOL,111,202,8,2,2,0,0,12,3.500,0,0,0,0,0,12,RYAN K,SCIENCE,FALL,2020
BIOL,111,203,5,4,2,0,0,11,3.272,0,0,0,1,0,12,RYAN K,SCIENCE,FALL,2020
BIOL,111,204,7,2,1,0,0,10,3.600,0,0,0,1,0,11,RYAN K,SCIENCE,FALL,2020
BIOL,111,205,7,3,0,0,0,10,3.700,0,0,0,1,0,11,RYAN K,SCIENCE,FALL,2020
BIOL,111,206,5,2,1,0,0,8,3.500,0,0,0,1,0,9,RYAN K,SCIENCE,FALL,2020
BIOL,111,501,7,9,5,2,0,23,2.913,0,0,0,1,0,24,RAO A,SCIENCE,FALL,2020
BIOL,111,502,8,7,4,1,1,21,2.952,0,0,0,0,0,21,RAO A,SCIENCE,FALL,2020
BIOL,111,503,6,5,8,1,2,22,2.545,0,0,0,0,0,22,RAO A,SCIENCE,FALL,2020
BIOL,111,504,7,4,3,3,1,18,2.722,0,0,0,3,0,21,RAO A,SCIENCE,FALL,2020
BIOL,111,505,6,5,6,0,2,19,2.684,0,0,0,1,0,20,RAO A,SCIENCE,FALL,2020
BIOL,111,506,7,3,1,1,2,14,2.857,0,0,0,1,0,15,RAO A,SCIENCE,FALL,2020
BIOL,111,507,7,4,9,0,0,20,2.900,0,0,0,1,0,21,RAO A,SCIENCE,FALL,2020
BIOL,111,508,9,4,9,1,0,23,2.913,0,0,0,1,0,24,RAO A,SCIENCE,FALL,2020
BIOL,111,509,4,0,2,0,0,6,3.333,0,0,0,0,0,6,RAO A,SCIENCE,FALL,2020
BIOL,111,510,11,6,2,2,0,21,3.238,0,0,0,2,0,23,RAO A,SCIENCE,FALL,2020
BIOL,111,511,6,2,3,1,0,12,3.083,0,0,0,1,0,13,RAO A,SCIENCE,FALL,2020
BIOL,111,512,10,6,6,0,0,22,3.181,0,0,0,2,0,24,RAO A,SCIENCE,FALL,2020
BIOL,111,513,12,5,7,0,1,25,3.080,0,0,0,0,0,25,HAWKINS A,SCIENCE,FALL,2020
BIOL,111,514,9,10,4,1,0,24,3.125,0,0,0,1,0,25,HAWKINS A,SCIENCE,FALL,2020
BIOL,111,515,10,8,5,1,1,25,3.000,0,0,0,1,0,26,HAWKINS A,SCIENCE,FALL,2020
BIOL,111,516,11,5,9,0,1,26,2.961,0,0,0,1,0,27,HAWKINS A,SCIENCE,FALL,2020
BIOL,111,517,15,6,2,0,1,24,3.416,0,0,0,1,0,25,HAWKINS A,SCIENCE,FALL,2020
BIOL,111,518,8,9,4,0,1,22,3.045,0,0,0,2,0,24,HAWKINS A,SCIENCE,FALL,2020
BIOL,111,519,16,5,4,0,0,25,3.480,0,0,0,1,0,26,HAWKINS A,SCIENCE,FALL,2020
BIOL,111,520,14,6,4,0,0,24,3.416,0,0,0,0,0,24,HAWKINS A,SCIENCE,FALL,2020
BIOL,111,521,14,5,4,0,2,25,3.160,0,0,0,0,0,25,HAWKINS A,SCIENCE,FALL,2020
BIOL,111,522,9,9,6,1,0,25,3.040,0,0,0,1,0,26,HAWKINS A,SCIENCE,FALL,2020
BIOL,111,523,15,4,7,0,1,27,3.185,0,0,0,0,0,27,HAWKINS A,SCIENCE,FALL,2020
BIOL,111,524,12,8,4,1,0,25,3.240,0,0,0,1,0,26,HAWKINS A,SCIENCE,FALL,2020
BIOL,111,525,9,8,4,4,0,25,2.880,0,0,0,0,0,25,TAG A,SCIENCE,FALL,2020
BIOL,111,526,16,5,1,0,0,22,3.681,0,0,0,2,0,24,TAG A,SCIENCE,FALL,2020
BIOL,111,527,10,10,3,0,0,23,3.304,0,0,0,1,0,24,TAG A,SCIENCE,FALL,2020
BIOL,111,528,8,5,5,1,2,21,2.761,0,0,0,3,0,24,TAG A,SCIENCE,FALL,2020
BIOL,111,529,3,17,2,0,0,22,3.045,0,0,0,2,0,24,TAG A,SCIENCE,FALL,2020
BIOL,111,530,7,6,5,0,1,19,2.947,0,0,0,1,0,20,TAG A,SCIENCE,FALL,2020
BIOL,111,531,7,6,1,0,1,15,3.200,0,0,0,0,0,15,TAG A,SCIENCE,FALL,2020
BIOL,111,532,14,4,5,1,1,25,3.160,0,0,0,0,0,25,TAG A,SCIENCE,FALL,2020
BIOL,111,533,10,6,4,0,0,20,3.300,0,0,0,3,0,23,TAG A,SCIENCE,FALL,2020
BIOL,111,534,10,9,3,1,0,23,3.217,0,0,0,0,0,23,TAG A,SCIENCE,FALL,2020
BIOL,111,535,8,7,3,2,1,21,2.904,0,0,0,1,0,22,TAG A,SCIENCE,FALL,2020
BIOL,111,536,11,6,5,3,0,25,3.000,0,0,0,0,0,25,TAG A,SCIENCE,FALL,2020
BIOL,111,537,11,6,4,2,2,25,2.880,0,0,0,0,0,25,FLETCHER S,SCIENCE,FALL,2020
BIOL,111,538,13,8,3,0,0,24,3.416,0,0,0,1,0,25,FLETCHER S,SCIENCE,FALL,2020
BIOL,111,539,13,9,1,0,2,25,3.240,0,0,0,1,0,26,FLETCHER S,SCIENCE,FALL,2020
BIOL,111,540,13,7,1,1,0,22,3.454,0,0,0,1,0,23,FLETCHER S,SCIENCE,FALL,2020
BIOL,111,541,9,9,6,2,0,26,2.961,0,0,0,0,0,26,FLETCHER S,SCIENCE,FALL,2020
BIOL,111,542,12,10,2,1,0,25,3.320,0,0,0,1,0,26,FLETCHER S,SCIENCE,FALL,2020
BIOL,111,543,7,7,5,0,0,19,3.105,0,0,0,1,0,20,FLETCHER S,SCIENCE,FALL,2020
BIOL,111,544,11,10,2,0,0,23,3.391,0,0,0,1,0,24,FLETCHER S,SCIENCE,FALL,2020
BIOL,111,545,11,12,0,0,0,23,3.478,0,0,0,1,0,24,FLETCHER S,SCIENCE,FALL,2020
BIOL,111,546,8,7,4,5,0,24,2.750,0,0,0,2,0,26,FLETCHER S,SCIENCE,FALL,2020
BIOL,111,547,9,9,1,1,2,22,3.000,0,0,0,1,0,23,FLETCHER S,SCIENCE,FALL,2020
BIOL,111,548,9,5,4,1,1,20,3.000,0,0,0,3,0,23,FLETCHER S,SCIENCE,FALL,2020
BIOL,111,549,12,8,0,4,0,24,3.166,0,0,0,2,0,26,FLETCHER S,SCIENCE,FALL,2020
