Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
BIOL,100,500,30,0,0,0,0,30,0.000,0,0,0,0,0,30,RAO A,SCIENCE,SPRING,2020
BIOL,107,501,5,9,7,1,0,22,2.818,0,0,0,0,0,22,WINEMILLER L,SCIENCE,SPRING,2020
BIOL,107,502,5,5,9,1,1,21,2.571,0,0,0,1,0,22,WINEMILLER L,SCIENCE,SPRING,2020
BIOL,107,503,7,8,1,0,1,17,3.176,0,0,0,0,0,17,WINEMILLER L,SCIENCE,SPRING,2020
BIOL,107,504,0,3,3,1,2,9,1.777,0,0,0,0,0,9,WINEMILLER L,SCIENCE,SPRING,2020
BIOL,107,505,3,3,2,1,1,10,2.600,0,0,0,0,0,10,WINEMILLER L,SCIENCE,SPRING,2020
BIOL,107,506,1,8,7,2,2,20,2.200,1,0,0,0,0,21,WINEMILLER L,SCIENCE,SPRING,2020
BIOL,107,507,6,4,5,1,1,17,2.764,0,0,0,0,0,17,WINEMILLER L,SCIENCE,SPRING,2020
BIOL,107,508,3,2,1,1,1,8,2.625,0,0,0,0,0,8,WINEMILLER L,SCIENCE,SPRING,2020
BIOL,107,509,9,6,3,1,0,19,3.210,0,0,0,3,0,22,WINEMILLER L,SCIENCE,SPRING,2020
BIOL,107,510,1,3,1,2,0,7,2.428,0,0,0,1,0,8,WINEMILLER L,SCIENCE,SPRING,2020
BIOL,111,501,4,7,7,1,1,20,2.600,0,0,0,0,0,20,FLETCHER S,SCIENCE,SPRING,2020
BIOL,111,502,5,7,11,1,0,24,2.666,0,0,0,0,0,24,FLETCHER S,SCIENCE,SPRING,2020
BIOL,111,503,4,5,5,2,2,18,2.388,0,0,0,0,0,18,FLETCHER S,SCIENCE,SPRING,2020
BIOL,111,504,6,4,2,1,0,13,3.153,0,0,0,1,0,14,FLETCHER S,SCIENCE,SPRING,2020
BIOL,111,505,7,6,5,0,0,18,3.111,0,0,0,0,0,18,FLETCHER S,SCIENCE,SPRING,2020
BIOL,111,506,4,10,5,1,0,20,2.850,0,0,0,0,0,20,FLETCHER S,SCIENCE,SPRING,2020
BIOL,111,507,4,3,0,1,1,9,2.888,0,0,0,0,0,9,FLETCHER S,SCIENCE,SPRING,2020
BIOL,111,508,4,6,3,0,1,14,2.857,0,0,0,0,0,14,FLETCHER S,SCIENCE,SPRING,2020
