Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
BIOL,111,100,5,2,2,1,2,12,2.583,0,0,0,0,0,12,HAWKINS A,SCIENCE,SUMMER,2022
BIOL,111,101,4,2,2,0,1,9,2.888,0,0,0,0,0,9,HAWKINS A,SCIENCE,SUMMER,2022
BIOL,111,102,3,6,3,3,0,15,2.600,0,0,0,0,0,15,HAWKINS A,SCIENCE,SUMMER,2022
BIOL,111,103,10,5,0,0,0,15,3.666,0,0,0,0,0,15,HAWKINS A,SCIENCE,SUMMER,2022
BIOL,111,104,6,3,0,1,0,10,3.400,0,0,0,0,0,10,HAWKINS A,SCIENCE,SUMMER,2022
BIOL,112,201,10,6,3,2,0,21,3.142,0,0,0,0,0,21,LEE C,SCIENCE,SUMMER,2022
BIOL,112,202,12,5,3,2,1,23,3.086,0,0,0,1,0,24,LEE C,SCIENCE,SUMMER,2022
BIOL,112,203,9,4,1,1,2,17,3.000,0,0,0,0,0,17,LEE C,SCIENCE,SUMMER,2022
BIOL,112,204,9,7,7,0,1,24,2.958,0,0,0,0,0,24,LEE C,SCIENCE,SUMMER,2022
BIOL,112,205,7,9,1,1,0,18,3.222,0,0,0,0,0,18,LEE C,SCIENCE,SUMMER,2022
BIOL,113,199,24,8,4,3,1,40,3.275,0,0,0,2,0,42,RAO A,SCIENCE,SUMMER,2022
BIOL,206,101,6,9,4,0,0,19,3.105,0,0,0,0,0,19,JANES D,SCIENCE,SUMMER,2022
BIOL,206,102,5,4,3,0,0,12,3.166,0,0,0,0,0,12,JANES D,SCIENCE,SUMMER,2022
BIOL,213,100,10,5,5,2,1,23,2.913,1,0,0,0,0,24,FLETCHER S,SCIENCE,SUMMER,2022
BIOL,214,200,6,11,2,1,1,21,2.952,0,0,0,0,0,21,PEPPER A,SCIENCE,SUMMER,2022
