Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
CHEM,107,100,2,2,6,1,1,12,2.250,0,0,0,0,0,12,ARONSON C,TAMU AT GALVESTON,SUMMER,2022
MATH,142,199,3,2,1,1,1,8,2.625,1,0,0,0,0,9,QIU L,TAMU AT GALVESTON,SUMMER,2022
MATH,147,100,3,1,3,1,0,8,2.750,0,0,0,0,0,8,QIU L,TAMU AT GALVESTON,SUMMER,2022
MATH,151,301,4,12,12,5,1,34,2.382,1,0,0,0,0,35,ARONSON C,TAMU AT GALVESTON,SUMMER,2022
MATH,152,401,1,3,2,0,1,7,2.428,0,0,0,0,0,7,BROWN P,TAMU AT GALVESTON,SUMMER,2022
PHYS,201,101,4,3,2,1,2,12,2.500,0,0,0,2,0,14,BOULAHOUACHE C,TAMU AT GALVESTON,SUMMER,2022
PHYS,206,301,5,5,2,1,0,13,3.076,0,0,0,1,0,14,BOULAHOUACHE C,TAMU AT GALVESTON,SUMMER,2022
ANTH,210,700,8,1,2,0,2,13,3.000,0,0,0,0,0,13,FURTH B,TAMU AT GALVESTON,SUMMER,2022
COMM,203,700,4,4,0,0,1,9,3.111,0,0,0,1,0,10,VISER V,TAMU AT GALVESTON,SUMMER,2022
DIVE,489,101,5,0,0,0,0,5,4.000,0,0,0,0,0,5,PINTACUDA J,TAMU AT GALVESTON,SUMMER,2022
HIST,105,700,9,10,3,2,1,25,2.960,0,0,0,1,0,26,FALVO K,TAMU AT GALVESTON,SUMMER,2022
HIST,106,700,6,1,2,0,1,10,3.100,0,0,0,0,0,10,FALVO K,TAMU AT GALVESTON,SUMMER,2022
PERF,226,700,9,0,0,0,0,9,4.000,0,0,0,0,0,9,KATES-HAMMOND C,TAMU AT GALVESTON,SUMMER,2022
PERF,301,700,5,1,0,1,2,9,2.666,0,0,0,0,0,9,NEALON W,TAMU AT GALVESTON,SUMMER,2022
POLS,206,399,1,5,4,1,1,12,2.333,0,0,0,0,0,12,HANEY A,TAMU AT GALVESTON,SUMMER,2022
POLS,206,700,1,3,1,0,0,5,3.000,0,0,0,0,0,5,HANEY A,TAMU AT GALVESTON,SUMMER,2022
POLS,207,399,9,3,3,1,1,17,3.058,0,0,0,1,0,18,HANEY A,TAMU AT GALVESTON,SUMMER,2022
POLS,207,701,2,4,5,2,0,13,2.461,0,0,0,0,0,13,HANEY A,TAMU AT GALVESTON,SUMMER,2022
MARS,210,200,3,5,1,0,0,9,3.222,0,0,0,0,0,9,SMITH C,TAMU AT GALVESTON,SUMMER,2022
MARS,489,701,4,7,1,1,0,13,3.076,0,0,0,0,0,13,SMITH C,TAMU AT GALVESTON,SUMMER,2022
MARB,437,100,5,2,0,0,1,8,3.250,0,0,0,0,0,8,PETERSEN L,TAMU AT GALVESTON,SUMMER,2022
MARB,489,100,5,0,0,0,1,6,3.333,0,0,0,0,0,6,HALA D,TAMU AT GALVESTON,SUMMER,2022
MARE,200,350,0,5,5,0,1,11,2.272,1,0,0,0,0,12,REEVES A,TAMU AT GALVESTON,SUMMER,2022
MARE,211,301,4,3,0,0,0,7,3.571,0,0,0,0,0,7,FATHI N,TAMU AT GALVESTON,SUMMER,2022
MARE,307,200,0,5,1,0,0,6,2.833,0,0,0,0,0,6,POTIER P,TAMU AT GALVESTON,SUMMER,2022
MARE,400,300,8,5,1,0,0,14,3.500,0,0,0,0,0,14,PEDERSEN F,TAMU AT GALVESTON,SUMMER,2022
MARE,485,300,3,1,0,0,2,6,2.500,0,0,0,0,0,6,MOORE A,TAMU AT GALVESTON,SUMMER,2022
ECON,202,399,15,2,1,0,0,18,3.777,2,0,0,0,0,20,BOUDREAUX L,TAMU AT GALVESTON,SUMMER,2022
ECON,203,299,9,1,0,0,0,10,3.900,0,0,0,0,0,10,BOUDREAUX L,TAMU AT GALVESTON,SUMMER,2022
ECON,452,299,12,1,0,0,0,13,3.923,0,0,0,0,0,13,BRHO M,TAMU AT GALVESTON,SUMMER,2022
MARA,301,399,20,6,4,0,1,31,3.419,3,0,0,0,0,34,BOUDREAUX L,TAMU AT GALVESTON,SUMMER,2022
MARA,363,399,13,12,1,1,0,27,3.370,2,0,0,0,0,29,NWABUEZE U,TAMU AT GALVESTON,SUMMER,2022
MARA,373,700,14,10,2,2,0,28,3.285,1,0,0,0,0,29,NWABUEZE U,TAMU AT GALVESTON,SUMMER,2022
MARA,416,299,23,9,2,0,1,35,3.514,0,0,0,0,0,35,BRHO M,TAMU AT GALVESTON,SUMMER,2022
MARA,421,399,22,5,0,1,0,28,3.714,2,0,0,0,0,30,WOODS K,TAMU AT GALVESTON,SUMMER,2022
MARA,424,700,16,4,0,0,0,20,3.800,0,0,0,0,0,20,BRHO M,TAMU AT GALVESTON,SUMMER,2022
MARA,466,900,23,10,1,0,0,34,3.647,0,0,0,0,0,34,NWABUEZE U,TAMU AT GALVESTON,SUMMER,2022
MARA,610,700,2,6,0,0,0,8,3.250,0,0,0,0,0,8,JAZAYRLI A,TAMU AT GALVESTON,SUMMER,2022
MARA,625,700,5,0,0,0,0,5,4.000,0,0,0,0,0,5,WOODS K,TAMU AT GALVESTON,SUMMER,2022
MARA,640,600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,BRHO M,TAMU AT GALVESTON,SUMMER,2022
MARA,664,299,8,1,0,0,0,9,3.888,0,0,0,0,0,9,WANG P,TAMU AT GALVESTON,SUMMER,2022
MARA,689,301,2,2,1,1,0,6,2.833,0,0,0,1,0,7,JAZAYRLI A,TAMU AT GALVESTON,SUMMER,2022
SCMT,364,299,14,3,2,1,0,20,3.500,0,0,0,0,0,20,WANG P,TAMU AT GALVESTON,SUMMER,2022
MART,200,301,31,27,0,0,0,58,3.534,0,0,0,0,0,58,FARIS J,TAMU AT GALVESTON,SUMMER,2022
MART,400,301,40,25,0,0,0,65,3.615,0,0,0,0,0,65,WEAVER S,TAMU AT GALVESTON,SUMMER,2022
MART,404,101,2,1,3,0,0,6,2.833,1,0,0,0,0,7,ROTH A,TAMU AT GALVESTON,SUMMER,2022
