Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
VMID,935,301,137,0,0,0,0,137,4.000,0,0,0,0,0,137,STICKNEY M,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VMID,989,321,11,0,0,0,0,11,4.000,0,0,0,0,0,11,TAYCE J,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VIBS,910,301,38,74,40,6,1,159,2.893,0,0,0,0,0,159,HOFFMAN A,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VIBS,911,301,90,63,6,0,0,159,3.528,0,0,0,0,0,159,KNEESE D,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VIBS,928,300,81,60,2,0,0,143,3.552,0,0,0,0,0,143,BUDKE C,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VIBS,936,301,156,3,0,0,0,159,3.981,0,0,0,0,0,159,VEMULAPALLI T,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VLCS,925,301,28,89,19,1,0,137,3.051,0,0,0,0,0,137,VOGES A,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VLCS,948,302,31,0,0,0,0,31,4.000,0,0,0,0,0,31,DOMINGUEZ B,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VLCS,948,321,50,0,0,0,0,50,4.000,0,0,0,0,0,50,CHAFFIN M,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VLCS,948,322,52,4,0,0,0,56,3.928,0,0,0,0,0,56,CERFOGLI J,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VLCS,956,301,57,77,3,0,0,137,3.394,0,0,0,0,0,137,WATKINS J,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VLCS,958,301,25,4,0,0,0,29,3.862,0,0,0,0,0,29,NAGY D,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VLCS,959,301,18,5,0,0,0,23,3.782,0,0,0,0,0,23,COLEMAN M,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VTPP,910,301,77,61,17,3,1,159,3.320,0,0,0,0,0,159,STEWART R,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VTPP,914,301,132,26,1,0,0,159,3.823,0,0,0,0,0,159,BLUE MCLENDON A,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VTPP,924,300,52,69,22,0,0,143,3.209,0,0,0,0,0,143,FAJT V,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VTPP,948,302,9,4,0,0,0,13,3.692,0,0,0,0,0,13,FAJT V,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VSCS,910,301,21,115,22,1,0,159,2.981,0,0,0,0,0,159,ECKMAN S,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VSCS,926,300,52,76,13,0,1,142,3.253,1,0,0,0,0,143,MCCOOL K,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VSCS,934,301,80,54,2,0,0,136,3.573,1,0,0,0,0,137,SCALLAN E,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VSCS,948,301,74,2,0,0,0,76,3.973,0,0,0,0,0,76,HEATLEY J,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VSCS,948,302,66,0,0,0,0,66,4.000,0,0,0,0,0,66,DAVIDSON J,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VSCS,948,303,24,0,0,0,0,24,4.000,0,0,0,0,0,24,TAYCE J,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VSCS,948,321,84,0,0,0,0,84,4.000,0,0,0,0,0,84,AUDREY C,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VSCS,948,322,35,0,0,0,0,35,4.000,0,0,0,0,0,35,WARRY E,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VSCS,948,323,24,13,0,0,0,37,3.648,0,0,0,0,0,37,HEATLEY J,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VSCS,956,301,35,75,26,1,0,137,3.051,0,0,0,0,0,137,HESELTINE J,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VSCS,958,301,42,42,1,0,0,85,3.482,0,0,0,0,0,85,BARNES K,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VTPB,910,301,63,70,26,0,0,159,3.232,0,0,0,0,0,159,VEMULAPALLI R,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VTPB,923,300,47,73,22,0,1,143,3.153,0,0,0,0,0,143,PORTER B,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VTPB,927,300,66,71,5,1,0,143,3.412,0,0,0,0,0,143,RUSSELL K,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VTPB,930,300,95,47,1,0,0,143,3.657,0,0,0,0,0,143,LAWHON S,VETERINARY MED & BIOMEDICAL SC,FALL,2019
VTPB,948,302,76,0,0,0,0,76,4.000,0,0,0,0,0,76,COOK W,VETERINARY MED & BIOMEDICAL SC,FALL,2019
