Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
BIMS,101,501,108,4,1,0,0,113,3.946,0,0,0,0,0,113,IVANOV I,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,101,502,107,5,0,0,1,113,3.920,0,0,0,0,0,113,IVANOV I,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,101,504,112,1,0,0,0,113,3.991,1,0,0,0,0,114,TIAN Y,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,110,501,95,2,1,0,0,98,3.959,0,0,0,1,0,99,YOUNG C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,110,502,89,2,0,0,1,92,3.934,0,0,0,0,0,92,YOUNG C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,201,500,21,11,2,0,0,34,3.558,0,0,0,2,0,36,CROUCH E,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,289,500,71,0,0,0,1,72,3.944,0,0,0,0,0,72,YOUNG C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,289,501,80,4,1,0,1,86,3.883,0,0,0,0,0,86,YOUNG C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,320,200,10,2,0,0,0,12,3.833,0,0,0,0,0,12,SEABURY C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,320,502,61,48,18,6,0,133,3.233,1,0,0,0,3,137,DERR J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,320,503,15,29,20,2,1,67,2.820,1,0,0,7,0,75,MURPHY W,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,320,504,29,27,24,1,1,82,3.000,0,0,0,4,0,86,SKOW L,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,421,500,21,4,0,0,0,25,3.840,0,0,0,0,0,25,VENKATRAJ V,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,481,500,8,10,0,0,0,18,3.444,0,0,0,0,0,18,CURLEY K,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,481,501,17,0,0,0,0,17,4.000,1,0,0,0,0,18,WELSH C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,481,502,15,0,0,0,0,15,4.000,0,0,0,0,0,15,SUVA L,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,481,503,17,0,0,0,0,17,4.000,0,0,0,1,0,18,DAVIS B,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,485,501,19,0,0,0,0,19,4.000,0,1,0,0,2,22,CROUCH E,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,485,543,19,0,0,0,0,19,4.000,0,0,0,1,0,20,CROUCH E,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,489,500,40,4,0,0,0,44,3.909,0,0,0,1,0,45,YOUNG C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,489,501,48,1,0,0,1,50,3.900,0,0,0,0,0,50,YOUNG C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,489,502,23,2,1,0,0,26,3.846,0,0,0,0,0,26,YOUNG C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,489,503,42,2,1,0,0,45,3.911,0,0,0,0,0,45,YOUNG C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
BIMS,491,932,6,0,0,0,0,6,4.000,0,0,0,0,1,7,CROUCH E,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VMID,686,600,42,0,0,0,0,42,4.000,0,0,0,0,0,42,JOHNSON G,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,243,500,42,8,3,0,0,53,3.735,0,0,0,2,0,55,JOHNSON L,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,243,501,37,18,5,0,0,60,3.533,0,0,0,3,0,63,JOHNSON L,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,285,515,5,0,0,0,0,5,4.000,0,0,0,0,0,5,JOHNSON L,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,289,599,43,7,1,0,3,54,3.611,0,0,0,0,0,54,KLEMM W,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,305,200,7,11,4,0,0,22,3.136,0,0,0,3,0,25,PINE M,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,305,500,16,34,30,9,2,91,2.582,0,0,0,5,0,96,PINE M,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,305,501,28,29,20,11,3,91,2.747,1,0,0,3,0,95,PINE M,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,420,501,11,1,0,0,0,12,3.916,0,0,0,0,0,12,SNELL J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,420,502,11,0,0,0,0,11,4.000,0,0,0,0,0,11,SNELL J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,422,500,83,3,0,0,0,86,3.965,0,0,0,1,0,87,AROSH S,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,443,900,10,10,3,4,2,29,2.758,0,0,0,3,0,32,JOHNSON L,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,456,900,8,2,0,0,1,11,3.454,0,0,0,0,0,11,CURLEY K,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,485,500,10,0,0,0,0,10,4.000,0,0,0,1,0,11,JOHNSON L,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,485,532,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GADDY D,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,489,500,15,0,0,0,0,15,4.000,0,0,0,0,0,15,PINE M,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,602,601,8,3,0,0,0,11,3.727,0,0,0,0,0,11,JOHNSON L,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,609,600,11,0,0,0,0,11,4.000,0,0,0,0,0,11,LI Q,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,622,600,26,0,0,0,0,26,4.000,0,0,0,0,0,26,AROSH S,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,627,600,4,1,0,0,0,5,3.800,0,0,0,0,1,6,BURGHARDT R,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,645,600,6,3,0,0,0,9,3.666,0,0,0,0,0,9,RUSYN I,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,658,600,2,3,0,0,0,5,3.400,0,0,0,0,0,5,HARTBERG Y,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,664,600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,GASTEL B,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,670,600,5,5,0,0,0,10,3.500,0,0,0,0,0,10,RUSYN I,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VIBS,689,600,2,3,0,0,0,5,3.400,0,0,0,0,0,5,GASTEL B,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VLCS,422,501,122,6,1,0,0,129,3.937,0,0,0,0,0,129,COHEN N,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VLCS,485,503,22,0,0,0,0,22,4.000,0,0,0,0,0,22,COHEN N,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,123,501,33,4,2,0,0,39,3.794,0,0,0,0,0,39,LYONS L,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,123,502,31,9,0,0,0,40,3.775,0,0,0,0,0,40,LYONS L,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,123,503,39,1,0,0,0,40,3.975,0,0,0,0,0,40,LYONS L,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,123,504,39,1,0,0,0,40,3.975,0,0,0,0,0,40,LYONS L,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,224,501,15,0,0,0,0,15,4.000,0,0,0,0,0,15,QUICK C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,224,502,18,0,0,0,0,18,4.000,0,0,0,0,0,18,QUICK C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,235,500,27,0,0,0,0,27,4.000,0,0,0,0,0,27,QUICK C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,235,501,31,0,1,0,1,33,3.818,0,0,0,0,0,33,QUICK C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,235,502,9,0,0,0,0,9,4.000,0,0,0,0,0,9,QUICK C,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,285,503,15,1,0,0,0,16,3.937,0,0,0,1,0,17,RAMADOSS J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,323,500,31,20,16,7,1,75,2.973,0,0,0,0,0,75,BLUE MCLENDON A,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,401,550,11,0,0,0,0,11,4.000,0,0,0,0,0,11,WASSER J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,423,501,24,32,22,14,1,93,2.688,1,0,0,1,0,95,HERMAN J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,423,502,9,21,15,17,5,67,2.179,0,0,0,7,0,74,HERMAN J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,423,503,14,38,20,12,2,86,2.581,0,0,0,2,0,88,DAVIS A,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,423,550,10,1,0,0,0,11,3.909,0,0,0,0,0,11,WASSER J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,425,500,3,3,1,0,0,7,3.285,0,0,0,0,0,7,HERMAN J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,429,500,3,10,0,0,0,13,3.230,0,0,0,9,0,22,BAILEY E,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,435,501,24,37,14,0,0,75,3.133,0,0,0,2,0,77,RAMADOSS J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,435,502,30,33,13,1,0,77,3.194,0,0,0,1,0,78,RAMADOSS J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,435,550,9,1,0,0,0,10,3.900,0,0,0,0,0,10,WASSER J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,452,501,4,4,2,0,0,10,3.200,0,0,0,5,0,15,GOLDING M,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,485,500,15,0,0,0,0,15,4.000,0,0,0,1,0,16,RAMADOSS J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,485,508,22,1,0,0,0,23,3.750,18,0,0,1,0,42,BLUE MCLENDON A,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,489,500,4,1,0,0,0,5,3.800,0,0,0,0,0,5,IVANOV I,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,489,550,5,0,0,0,0,5,4.000,0,0,0,0,0,5,FAJT V,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,606,601,2,3,3,0,0,8,2.875,0,0,0,0,0,8,STALLONE J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,625,600,11,6,3,0,0,20,3.400,0,0,0,0,0,20,HERMAN J,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,626,600,14,5,1,0,0,20,3.650,0,0,0,0,0,20,HAN G,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,652,601,3,5,0,0,0,8,3.375,0,0,0,1,0,9,GOLDING M,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPP,676,600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,TIAN Y,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VPAT,652,600,6,2,2,0,0,10,3.400,0,0,0,1,0,11,WEEKS B,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTMI,689,601,7,1,1,0,0,9,3.666,0,0,0,0,0,9,SUBASHCHANDRABOSE S,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPB,221,500,152,130,31,5,3,321,3.317,0,0,0,3,0,324,OMRAN M,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPB,301,500,34,15,12,2,0,63,3.285,0,0,0,0,0,63,COOK W,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPB,334,501,12,18,11,6,1,48,2.708,0,0,0,0,0,48,REDDY S,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
VTPB,405,502,36,21,10,0,1,68,3.338,0,0,0,1,0,69,PAYNE S,VETERINARY MED & BIOMEDICAL SC,SPRING,2019
