Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
BIMS,602,599,5,0,0,0,0,5,4.000,0,0,0,0,0,5,CRISCITIELLO M,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
BIMS,602,600,18,0,0,0,0,18,4.000,0,0,0,1,0,19,CRISCITIELLO M,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,111,500,88,0,0,0,0,88,4.000,0,0,0,0,0,88,YOUNG C,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,111,501,74,2,0,0,0,76,3.973,0,0,0,0,0,76,YOUNG C,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,211,501,65,1,0,0,1,67,3.925,0,0,0,0,0,67,YOUNG C,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,211,502,25,1,0,0,0,26,3.961,0,0,0,0,0,26,YOUNG C,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,243,500,30,8,1,0,1,40,3.650,0,0,0,0,0,40,KNEESE D,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,243,501,27,9,0,1,0,37,3.675,0,0,0,0,0,37,KNEESE D,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,277,500,35,19,6,5,2,67,3.194,0,0,0,2,0,69,KO G,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,305,501,15,32,22,7,3,79,2.620,0,0,0,6,0,85,WILSON P,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,305,502,19,25,15,13,4,76,2.552,0,0,0,5,0,81,WILSON P,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,305,503,4,22,16,3,3,48,2.437,0,0,0,3,0,51,WILSON P,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,343,500,6,11,4,0,0,21,3.095,0,0,0,14,0,35,JOHNSON G,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,401,500,8,7,4,0,0,19,3.210,0,0,0,2,0,21,SRIVASTAVA V,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,404,200,22,0,0,0,0,22,4.000,0,0,0,0,0,22,PHILLIPS T,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,424,204,8,5,0,0,0,13,3.615,0,0,0,0,0,13,AROSH J,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,445,500,15,0,0,0,0,15,4.000,0,0,0,0,0,15,PINE M,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,450,500,8,4,5,2,1,20,2.800,0,0,0,12,0,32,KO G,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,485,522,11,0,0,0,0,11,4.000,0,0,0,0,0,11,KNEESE D,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,602,601,17,16,1,0,0,34,3.470,0,0,0,8,0,42,JOHNSON G,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,603,600,2,6,0,0,0,8,3.250,0,0,0,0,0,8,FRANK-CANNON T,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,604,604,22,1,0,0,0,23,3.956,1,0,0,0,0,24,AROSH J,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,619,600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,PHILLIPS T,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,627,600,8,0,0,0,0,8,4.000,0,0,0,0,0,8,BURGHARDT R,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,641,600,8,2,0,0,0,10,3.800,0,0,0,0,0,10,CHIU W,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,650,601,26,1,0,0,0,27,3.962,0,0,0,0,0,27,RIJNKELS M,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,655,601,10,0,0,0,0,10,4.000,0,0,0,0,0,10,GASTEL B,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,657,600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,HARTBERG Y,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,660,600,6,2,0,0,0,8,3.750,0,0,0,0,0,8,GASTEL B,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VIBS,688,600,3,2,0,0,0,5,3.600,0,0,0,0,0,5,MBAH M,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VTPP,207,501,69,0,0,0,0,69,4.000,0,0,0,0,0,69,LYONS L,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VTPP,232,502,28,0,0,0,0,28,4.000,1,0,0,0,0,29,CISNEROS M,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VTPP,232,503,9,0,0,0,1,10,3.600,1,0,0,0,0,11,CISNEROS M,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VTPP,234,505,40,0,0,0,0,40,4.000,0,0,0,0,0,40,LYONS L,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VTPP,234,506,40,0,0,0,0,40,4.000,0,0,0,0,0,40,IVANOV I,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
VTPP,285,508,5,0,0,0,0,5,4.000,8,0,0,0,0,13,BLUE MCLENDON A,VETERINARY MED & BIO SC-SCHOOL,FALL,2022
