Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
VMID,686,600,40,0,0,0,0,40,4.000,0,0,0,0,0,40,JOHNSON G,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VIBS,489,501,3,3,0,0,0,6,3.500,0,0,0,1,0,7,SRIVASTAVA V,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VIBS,601,600,8,3,0,0,0,11,3.727,0,0,0,0,0,11,FRANK-CANNON T,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VIBS,602,601,22,4,2,0,0,28,3.714,0,0,0,0,0,28,KNEESE D,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VIBS,607,601,11,2,0,0,0,13,3.846,0,0,0,0,0,13,HAMER S,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VIBS,611,600,11,0,1,0,0,12,3.833,0,0,0,1,0,13,PORTER W,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VIBS,622,600,21,0,0,0,0,21,4.000,0,0,0,0,3,24,BANU S,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VIBS,650,633,11,0,0,0,0,11,4.000,0,0,0,0,0,11,RIJNKELS M,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VIBS,655,601,7,2,0,0,1,10,3.400,0,0,0,0,0,10,GASTEL B,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VIBS,665,600,6,1,0,0,0,7,3.857,0,0,0,0,0,7,GASTEL B,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VIBS,689,601,13,3,0,0,0,16,3.812,0,0,0,0,0,16,CAI J,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VLCS,689,601,5,0,0,0,0,5,4.000,0,0,0,0,0,5,SCOTT M,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VLCS,689,700,6,0,1,0,0,7,3.714,0,0,0,0,0,7,PINNELL L,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VTPP,323,500,7,6,4,0,0,17,3.176,0,0,0,1,0,18,BLUE MCLENDON A,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VTPP,404,500,7,1,0,0,0,8,3.875,0,0,0,0,0,8,PHILLIPS T,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VTPP,489,502,46,0,0,0,0,46,4.000,0,0,0,1,0,47,LYONS L,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VTPP,625,600,10,8,0,0,0,18,3.555,0,0,0,2,0,20,HERMAN J,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VTPP,645,601,7,2,0,0,0,9,3.777,0,0,0,0,1,10,RUSYN I,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VTPP,652,601,4,4,0,0,0,8,3.500,0,0,0,0,0,8,GOLDING M,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VTPP,670,601,4,6,0,0,0,10,3.400,0,0,0,0,0,10,,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VTMI,626,600,6,1,0,0,0,7,3.857,0,0,0,0,0,7,SCOTT H,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VTMI,631,602,7,0,0,0,0,7,4.000,0,0,0,0,0,7,COOK W,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VTMI,649,601,10,4,0,0,0,14,3.714,0,0,0,0,1,15,CRISCITIELLO M,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
VTPB,334,501,10,4,13,8,0,35,2.457,0,0,0,2,0,37,REDDY S,VETERINARY MED & BIO SC-SCHOOL,SPRING,2024
