Department,Course,Section,A,B,C,D,F,A-F,GPA,I,S,U,Q,X,Total,Instructor,College,Semester,Year
VIBS,489,199,7,0,0,0,0,7,4.000,0,0,0,0,0,7,KNEESE D,VETERINARY MED & BIO SC-SCHOOL,SUMMER,2024
VIBS,608,399,13,4,1,0,0,18,3.666,0,0,0,0,0,18,NORMAN K,VETERINARY MED & BIO SC-SCHOOL,SUMMER,2024
VIBS,615,399,11,1,0,0,0,12,3.916,0,0,0,0,0,12,NORMAN K,VETERINARY MED & BIO SC-SCHOOL,SUMMER,2024
VIBS,633,299,23,2,0,0,1,26,3.769,0,0,0,0,0,26,BUDKE C,VETERINARY MED & BIO SC-SCHOOL,SUMMER,2024
VIBS,664,300,6,0,0,0,0,6,4.000,0,0,0,0,0,6,GASTEL B,VETERINARY MED & BIO SC-SCHOOL,SUMMER,2024
VLCS,485,313,8,0,0,0,0,8,4.000,0,0,0,0,0,8,COHEN N,VETERINARY MED & BIO SC-SCHOOL,SUMMER,2024
VTPP,485,250,11,0,0,0,0,11,4.000,0,0,0,0,0,11,IVANOV I,VETERINARY MED & BIO SC-SCHOOL,SUMMER,2024
VTPP,485,302,8,0,1,0,0,9,3.840,0,0,0,0,1,10,BLUE MCLENDON A,VETERINARY MED & BIO SC-SCHOOL,SUMMER,2024
VTPP,485,308,5,0,0,0,0,5,0.000,0,0,0,0,0,5,BLUE MCLENDON A,VETERINARY MED & BIO SC-SCHOOL,SUMMER,2024
VTPP,489,250,11,0,0,0,0,11,4.000,0,0,0,0,0,11,IVANOV I,VETERINARY MED & BIO SC-SCHOOL,SUMMER,2024
VTPB,485,150,7,0,0,0,0,7,4.000,0,0,0,0,0,7,DERR J,VETERINARY MED & BIO SC-SCHOOL,SUMMER,2024
VTPB,485,351,6,0,0,0,0,6,4.000,0,0,0,0,0,6,DERR J,VETERINARY MED & BIO SC-SCHOOL,SUMMER,2024
